scan_id,z_index_0based,z_um,r_um,distance_from_vessel_bottom_um,V,B_left,B_right,B,B_standard_deviation,B_median_diagnostic,B_scaled_mad_diagnostic,background_mode,T,P,tail_z_fraction,background_left_valid_count,background_right_valid_count,region,validity,frame_id,bscan_index,flow_speed_mm_s
flow07,198,1326.6000000000001,-138.04999999999998,-138.04999999999998,24919495.95984844,35852680.889776394,9478127.105045434,22665403.997410916,23614987.43783787,14303739.632513516,11676129.142828537,bilateral,2254091.962437524,286269679.2295655,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,199,1333.3,-131.35,-131.35,24730056.848304402,14112107.234015744,11675688.704740938,12893897.969378341,8237347.065829446,9406251.504066553,7737658.697516988,bilateral,11836158.878926061,1503192177.6236098,0.0,5,5,other,valid,flow07_Bscan249,249,7.0
flow07,200,1340.0,-124.64999999999999,-124.64999999999999,35696521.76241483,21962337.9885966,25309377.980237894,23635857.98441725,15798328.845294861,19087739.004497968,10703572.587190852,bilateral,12060663.777997578,1531704299.8056922,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,201,1346.7,-117.94999999999999,-117.94999999999999,102181267.5387936,11118290.576787516,12714727.134726623,11916508.855757069,7764888.8490439225,10261427.187341984,8923989.646647237,bilateral,90264758.6830365,11463624352.745636,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,202,1353.4,-111.24999999999999,-111.24999999999999,180362104.05479255,21580890.168674596,13948668.289315963,17764779.22899528,17870874.736508638,9019882.152174009,9192660.425127724,bilateral,162597324.82579726,20649860252.87625,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,203,1360.1000000000001,-104.55,-104.55,113069242.68545778,14549370.413053844,13711238.907581294,14130304.66031757,10340854.16247582,15179843.862122873,13964809.97023471,bilateral,98938938.02514018,12565245129.192802,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,204,1366.8,-97.85,-97.85,61673785.451456346,13804248.486180577,21179416.294911705,17491832.390546136,10704801.761776563,17773102.796667513,13302224.869756613,bilateral,44181953.06091023,5611108038.735599,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,205,1373.5,-91.14999999999999,-91.14999999999999,96984751.01854943,15485994.136181619,17281555.629004024,16383774.882592821,10884248.283978304,18006645.073513035,15220614.531583043,bilateral,80600976.1359566,10236323969.266487,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,206,1380.2,-84.44999999999999,-84.44999999999999,104202346.08891863,26292614.86890711,22583397.76808957,24438006.318498336,14997056.329320312,23499170.283343166,20313043.267717283,bilateral,79764339.77042028,10130071150.843376,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,207,1386.9,-77.74999999999999,-77.74999999999999,66745842.298376344,14297351.094476182,20775439.67962601,17536395.387051094,11700558.233295726,17520642.105883624,6502324.922392438,bilateral,49209446.91132525,6249599757.738307,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,208,1393.6000000000001,-71.05,-71.05,134262884.53293496,65602905.68844702,32209303.1555126,48906104.421979815,41989035.86688086,28114142.34782497,21402627.014819723,bilateral,85356780.11095515,10840311074.091305,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,209,1400.3,-64.35,-64.35,59262269.684564635,16976268.953238048,29904399.133106567,23440334.043172304,26875231.558945242,6204261.177152542,8264657.227791298,bilateral,35821935.641392335,4549385826.456826,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,210,1407.0,-57.64999999999999,-57.64999999999999,70046952.71357563,16251782.710948195,15411601.60969705,15831692.160322621,9115133.07355442,16386978.019711897,10897644.268738406,bilateral,54215260.55325302,6885338090.263133,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,211,1413.7,-50.94999999999999,-50.94999999999999,126999940.17191538,24831774.180372868,27464425.30069971,26148099.740536287,26356191.53324041,18560963.90180121,15845692.237831015,bilateral,100851840.43137905,12808183734.785137,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,212,1420.4,-44.24999999999999,-44.24999999999999,200194630.8427981,27343845.24978158,26682382.842613522,27013114.046197545,12398791.063404262,26764795.820159193,10484192.982528374,bilateral,173181516.79660058,21994052633.168274,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,213,1427.1000000000001,-37.54999999999999,-37.54999999999999,139846441.6437869,34971266.67815771,37896455.700201936,36433861.18917982,33295794.062376607,22312594.038661323,17429973.25011226,bilateral,103412580.4546071,13133397717.7351,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,214,1433.8,-30.84999999999999,-30.84999999999999,109699546.11722441,20627088.97495051,13370375.97350358,16998732.47422705,14311011.76536026,12750213.58546988,16579378.083599655,bilateral,92700813.64299735,11773003332.660664,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,215,1440.5,-24.149999999999988,-24.149999999999988,220127187.29494324,13814718.480794534,28269499.786161225,21042109.13347788,15829784.148001058,14811521.629306547,7417101.862322719,bilateral,199085078.16146532,25283804926.506092,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,216,1447.2,-17.44999999999999,-17.44999999999999,158897979.7878422,25701068.055802353,23008467.33641945,24354767.6961109,16765613.410168,22149784.62553513,20325472.521409158,bilateral,134543212.09173134,17086987935.649878,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,217,1453.9,-10.74999999999999,-10.74999999999999,201918842.91622916,18574678.681425363,13215184.159593036,15894931.4205092,17775625.825742777,7834925.2195575815,9083860.484384686,bilateral,186023911.49571997,23625036759.956432,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,218,1460.6000000000001,-4.049999999999989,-4.049999999999989,53637227.65385391,21891297.887921277,34497218.46333627,28194258.17562877,22724044.155293856,23928561.450248845,21012835.322323415,bilateral,25442969.478225138,3231257123.7345924,0.0,5,5,source,valid,flow07_Bscan249,249,7.0
flow07,219,1467.3,2.6500000000000115,2.6500000000000115,110813180.10095505,26534531.5087106,47855961.10966226,37195246.309186436,29324300.08351653,33644826.5365431,32731319.524529178,bilateral,73617933.79176861,9349477591.554613,0.8955223880597032,5,5,source_tail_boundary,valid,flow07_Bscan249,249,7.0
flow07,220,1474.0,9.350000000000012,9.350000000000012,56266782.59999518,21857502.409699928,14209369.415555999,18033435.91262796,15442083.248584362,11405235.11365533,9671453.649675164,bilateral,38233346.68736722,4855635029.295637,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,221,1480.7,16.05000000000001,16.05000000000001,71903088.95209895,62595860.010087624,26585572.063997146,44590716.03704238,38775793.46622721,25820904.584629476,15493020.864175847,bilateral,27312372.915056556,3468671360.2121825,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,222,1487.4,22.75000000000001,22.75000000000001,86587287.46721181,21529521.174653668,40341400.57720639,30935460.875930022,24887501.50359788,24320756.650740832,24594525.06771332,bilateral,55651826.591281794,7067781977.092788,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,223,1494.1000000000001,29.450000000000014,29.450000000000014,114780930.88722782,14998787.125509065,29899704.017694753,22449245.57160191,15859527.05645059,18932545.474113144,15681157.770597558,bilateral,92331685.31562592,11726124035.084492,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,224,1500.8,36.15000000000001,36.15000000000001,102592968.7690774,23942103.540645737,22531603.86637465,23236853.70351019,22418272.61307825,13740967.52051896,11847553.562541723,bilateral,79356115.06556721,10078226613.327034,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,225,1507.5,42.850000000000016,42.850000000000016,108262492.78328359,8400237.99805001,32181225.210113693,20290731.604081854,19311792.31448127,14162254.42689025,19225401.00290908,bilateral,87971761.17920175,11172413669.758621,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
flow07,226,1514.2,49.55000000000001,49.55000000000001,82659128.11769578,29091036.78725197,73574755.61357883,51332896.200415395,56757372.17561142,15621110.654837811,20003500.712085556,bilateral,31326231.917280383,3978431453.4946084,1.0,5,5,tail,valid,flow07_Bscan249,249,7.0
