scan_id,z_index_0based,z_um,r_um,distance_from_vessel_bottom_um,V,B_left,B_right,B,B_standard_deviation,B_median_diagnostic,B_scaled_mad_diagnostic,background_mode,T,P,tail_z_fraction,background_left_valid_count,background_right_valid_count,region,validity,frame_id,bscan_index,flow_speed_mm_s
flow01,62,415.40000000000003,-1042.55,-1042.55,7185495.741505358,6850215.116005519,3293757.1337074325,5071986.124856476,4352733.745507364,4439432.017091665,3946159.103163892,bilateral,2113509.616648882,348940437.70873046,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,63,422.1,-1035.85,-1035.85,5551081.686152691,4621541.482708344,3685408.32210188,4153474.902405112,2672871.9423942696,4000175.0656886874,3252037.8530518296,bilateral,1397606.7837475797,230744879.99672538,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,64,428.8,-1029.15,-1029.15,4101989.4420215245,5954653.381254738,2178818.64808433,4066736.0146695348,3348360.6836950453,3193306.8710637484,2544504.6354990113,bilateral,35253.42735199091,5820340.855813699,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,65,435.5,-1022.45,-1022.45,6334713.409421688,6220870.734473786,4952344.580810711,5586607.657642249,4404965.049599435,4406693.947276928,4417634.898110741,bilateral,748105.7517794406,123512259.61878562,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,66,442.2,-1015.75,-1015.75,5491384.471508222,8172863.789514281,6342362.498639608,7257613.144076945,4694516.251522867,6571543.55307564,5342317.0744516235,bilateral,-1766228.672568722,-291604353.841096,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,67,448.90000000000003,-1009.0500000000001,-1009.0500000000001,4063056.1552182483,8585033.14267838,4976732.272658287,6780882.707668332,5239182.158640614,5797350.575034388,3032222.885845819,bilateral,-2717826.552450085,-448713163.809509,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,68,455.6,-1002.35,-1002.35,4797312.807755225,9204618.00345853,1349986.901967796,5277302.452713163,7009944.787235257,1910585.3718248978,1915033.5546552995,bilateral,-479989.6449579369,-79246290.38255537,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,69,462.3,-995.65,-995.65,4855134.375421097,3415418.0738376305,4438638.3632678855,3927028.218552758,3131395.2137610903,3542976.670792301,4284259.376216216,bilateral,928106.1568683388,153230326.49896273,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,70,469.0,-988.95,-988.95,4701211.286940423,3674820.9454662986,3917248.3387873443,3796034.642126822,3705978.336462706,1814745.4490623167,1603823.165234743,bilateral,905176.6448136015,149444664.0587256,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,71,475.7,-982.25,-982.25,6791125.291656663,4337365.2014584355,4940997.815528977,4639181.508493706,2864395.157889106,4792383.563777109,3549688.6852019415,bilateral,2151943.783162957,355285918.60020417,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,72,482.40000000000003,-975.5500000000001,-975.5500000000001,5914582.533398438,5276542.486085216,1415386.2695356512,3345964.377810433,3719083.390478562,1500161.6472696452,1706570.7179140795,bilateral,2568618.155588004,424078857.48757935,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
flow01,73,489.1,-968.85,-968.85,4525721.674728355,15573027.691748586,3608679.626576271,9590853.659162428,10776376.119576026,6306285.897884795,4250916.474943651,bilateral,-5065131.984434073,-836253290.6300653,0.0,5,5,other,valid,flow01_Bscan249,249,1.0
