scan_id,flow_mm_s,lag_frames,pair_count,acf
flow05,5,87,401,-0.049476030362182323
flow05,5,88,400,-0.088058656085260451
flow05,5,89,399,-0.083796946649232568
flow05,5,90,398,-0.090207921409985736
flow05,5,91,397,-0.043634136292592995
flow05,5,92,396,-0.08598588862685777
flow05,5,93,395,-0.11345884016538332
flow05,5,94,394,-0.068114711249136775
flow05,5,95,393,-0.048550222864556208
flow05,5,96,392,-0.0045583920595113651
flow05,5,97,391,0.017787631191391307
flow05,5,98,390,-0.017193381962975329
flow05,5,99,389,-0.0039643857081976958
flow05,5,100,388,0.00082863082806345755
flow05,5,101,387,0.0050056247134086813
flow05,5,102,386,-0.0053888238240978516
flow05,5,103,385,-0.0066697116940682109
flow05,5,104,384,-0.059940712776685341
flow05,5,105,383,-0.096831755103344727
flow05,5,106,382,-0.09443067054870137
flow05,5,107,381,-0.18826442953631939
flow05,5,108,380,-0.12126992554574004
flow05,5,109,379,-0.10536550011137354
flow05,5,110,378,-0.056542875719396778
flow05,5,111,377,-0.14668348541143847
flow05,5,112,376,-0.10791407403924894
flow05,5,113,375,-0.060986064731935706
flow05,5,114,374,-0.040837452938346404
flow05,5,115,373,-0.056554111059946781
flow05,5,116,372,-0.081029195567466517
flow05,5,117,371,-0.037229235661954727
flow05,5,118,370,-0.013675181385108636
flow05,5,119,369,0.013647655071542237
flow05,5,120,368,-0.017879646262313784
flow05,5,121,367,0.0022977664560388036
flow05,5,122,366,-0.0094771902422690069
flow05,5,123,365,-0.0986111365491633
flow05,5,124,364,-0.041490983177971098
flow05,5,125,363,-0.03893975164561872
flow05,5,126,362,0.0055693449131245347
flow05,5,127,361,-0.060579401357741799
flow05,5,128,360,-0.067673509096763451
flow05,5,129,359,-0.084098743481390764
flow05,5,130,358,-0.10142622623972643
flow05,5,131,357,-0.010997605816475405
flow05,5,132,356,-0.09294324229189832
flow05,5,133,355,-0.018858681157294034
flow05,5,134,354,-0.11428296645823741
flow05,5,135,353,-0.044082853299952485
flow05,5,136,352,-0.049479545830812557
flow05,5,137,351,-0.056400963588182168
flow05,5,138,350,-0.043607506935457438
flow05,5,139,349,-0.016221441522723555
flow05,5,140,348,-0.00076744159139947052
flow05,5,141,347,-0.01383635652852171
flow05,5,142,346,0.028607477845531762
flow05,5,143,345,0.0086522163195871301
flow05,5,144,344,-0.054819295549406587
flow05,5,145,343,0.011031744905584161
flow05,5,146,342,-0.033321930795255084
flow05,5,147,341,-0.016493874196738503
flow05,5,148,340,-0.016094004314352119
flow05,5,149,339,-0.018514952423494501
flow05,5,150,338,0.018792960918759854
flow05,5,151,337,0.04384441547999255
flow05,5,152,336,0.05050624601979236
flow05,5,153,335,0.015987577032148967
flow05,5,154,334,0.0021466561131320201
flow05,5,155,333,-0.03963647867081501
flow05,5,156,332,0.019340471087153557
flow05,5,157,331,-0.014727908178328029
flow05,5,158,330,0.043687580432946578
flow05,5,159,329,0.012751578190291291
flow05,5,160,328,0.027553756834937781
flow05,5,161,327,0.0032424586275349543
flow05,5,162,326,0.00077861096276822918
flow05,5,163,325,0.074500778970828185
flow05,5,164,324,0.044131717047642842
flow05,5,165,323,0.025347102163680944
flow05,5,166,322,-0.027879901297773763
flow05,5,167,321,0.01538937368856832
flow05,5,168,320,0.08297147626944458
flow05,5,169,319,0.031961599815830251
flow05,5,170,318,0.026899095884020136
flow05,5,171,317,-0.0046911052667694235
flow05,5,172,316,0.0060887744668292922
