scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,matched_specificity,matched_status,n_matched_far_defined
D235_F01_V01,235,1,real_matched,detrended_51,real_L_R_common,448,W100,0.24619252799692723,448,ok,0.24527921401177588,ok,42,-2,0.26043004627605237,2,ok,101,False,0.24890030115524708,ok,42
D235_F01_V01,235,1,real_matched,detrended_51,real_L_R_common,448,W500,0.33998536204905688,448,ok,0.35083251842211205,ok,42,0,0.33998536204905688,1,ok,101,False,0.36859738889378446,ok,42
D235_F01_V01,235,1,real_matched,detrended_51,real_L_R_common,448,C100,0.39241701973925625,448,ok,0.39210583513723413,ok,42,-2,0.39770666104211694,2,ok,101,False,0.37970818011447838,ok,42
D235_F01_V01,235,1,left,detrended_51,real_L_R_common,448,W100,0.11099415586326486,448,ok,0.11510231077715667,ok,42,1,0.12579633332163617,3,ok,101,False,0.10004538695452952,ok,42
D235_F01_V01,235,1,left,detrended_51,real_L_R_common,448,W500,0.12992776193112218,448,ok,0.1394384537755412,ok,42,0,0.12992776193112218,1,ok,101,False,0.12531726417049846,ok,42
D235_F01_V01,235,1,left,detrended_51,real_L_R_common,448,C100,0.063462692823842842,448,ok,0.06038218837281311,ok,42,-35,0.1321723926041328,11,ok,101,False,0.045949637228588039,ok,42
D235_F01_V01,235,1,right,detrended_51,real_L_R_common,448,W100,0.098355269216434879,448,ok,0.091549499034823428,ok,42,4,0.15161263063933167,8,ok,101,False,0.10375524960268344,ok,42
D235_F01_V01,235,1,right,detrended_51,real_L_R_common,448,W500,0.089882715936052099,448,ok,0.1005271532838564,ok,42,21,0.11859763880134964,5,ok,101,False,0.092908080053572539,ok,42
D235_F01_V01,235,1,right,detrended_51,real_L_R_common,448,C100,0.062320805147416926,448,ok,0.056413360627105433,ok,42,4,0.16146821748029117,14,ok,101,False,0.055095523655050507,ok,42
D235_F03_V01,235,3,real_matched,detrended_51,real_L_R_common,448,W100,0.25799815011656796,448,ok,0.2390157689347065,ok,42,0,0.25799815011656796,1,ok,101,False,0.23524898961086954,ok,42
D235_F03_V01,235,3,real_matched,detrended_51,real_L_R_common,448,W500,0.32820670645012101,448,ok,0.31419976074783146,ok,42,-1,0.34453608194858815,2,ok,101,False,0.31133344926753953,ok,42
D235_F03_V01,235,3,real_matched,detrended_51,real_L_R_common,448,C100,0.3042269175368118,448,ok,0.32794685789859829,ok,42,0,0.3042269175368118,1,ok,101,False,0.31677639108693534,ok,42
D235_F03_V01,235,3,left,detrended_51,real_L_R_common,448,W100,0.10335368609336347,448,ok,0.092253410366539917,ok,42,24,0.14619568270423719,5,ok,101,False,0.072072020194746414,ok,42
D235_F03_V01,235,3,left,detrended_51,real_L_R_common,448,W500,0.13108146734873788,448,ok,0.118514930891231,ok,42,-34,0.13209498052493221,2,ok,101,False,0.12682810693110258,ok,42
D235_F03_V01,235,3,left,detrended_51,real_L_R_common,448,C100,0.050325961014602086,448,ok,0.036416573826565123,ok,42,-49,0.15858354858658272,22,ok,101,False,0.027614099814960179,ok,42
