scan_id,diameter_um,flow_mm_s,mode,support,pair,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak
D235_F10_V01,235,10,detrended_101,real_all,W100,,,,,,,,,,,0.41901353807162683,461,ok,0.49356982784334069,ok,42,0,0.41901353807162683,1,ok,101,False
D235_F10_V01,235,10,detrended_101,real_all,W500,,,,,,,,,,,0.455067961669256,461,ok,0.51921634415073881,ok,42,0,0.455067961669256,1,ok,101,False
D235_F10_V01,235,10,detrended_101,real_all,C100,,,,,,,,,,,0.55280328429572401,461,ok,0.66893663840272466,ok,42,0,0.55280328429572401,1,ok,101,False
D285_F01_V01,285,1,detrended_31,real_all,C16,16,0,0.10058647863149542,0.0069281582680723493,0.19229553780972372,16,0,0,0.10058647863149542,ok,,,,,,,,,,,,
D285_F01_V01,285,1,detrended_31,real_all,W100,,,,,,,,,,,0.230079618992902,453,ok,0.19534477068027092,ok,42,0,0.230079618992902,1,ok,101,False
D285_F01_V01,285,1,detrended_31,real_all,W500,,,,,,,,,,,0.28472436297617038,453,ok,0.24205870202627111,ok,42,0,0.28472436297617038,1,ok,101,False
D285_F01_V01,285,1,detrended_31,real_all,C100,,,,,,,,,,,0.33326207253896767,453,ok,0.2923629466458505,ok,42,0,0.33326207253896767,1,ok,101,False
D285_F01_V01,285,1,detrended_101,real_all,C16,16,0,0.13040642300937375,0.025447464799695348,0.28696110046778772,16,0,0,0.13040642300937375,ok,,,,,,,,,,,,
D285_F01_V01,285,1,detrended_101,real_all,W100,,,,,,,,,,,0.3312536471638563,453,ok,0.36836717828871413,ok,42,1,0.33634951587850753,2,ok,101,False
D285_F01_V01,285,1,detrended_101,real_all,W500,,,,,,,,,,,0.3861640216839643,453,ok,0.45814993137107285,ok,42,0,0.3861640216839643,1,ok,101,False
D285_F01_V01,285,1,detrended_101,real_all,C100,,,,,,,,,,,0.40947678798244624,453,ok,0.40735233971208729,ok,42,0,0.40947678798244624,1,ok,101,False
D285_F03_V01,285,3,detrended_31,real_all,C16,16,0,0.061993508385191479,0.023444414677148428,0.13387754973356114,16,0,0,0.061993508385191479,ok,,,,,,,,,,,,
D285_F03_V01,285,3,detrended_31,real_all,W100,,,,,,,,,,,0.15879457900546876,474,ok,0.16032471961898381,ok,42,1,0.20195596573761171,4,ok,101,False
D285_F03_V01,285,3,detrended_31,real_all,W500,,,,,,,,,,,0.21644311514682063,474,ok,0.22096632579886211,ok,42,1,0.2175542793987664,2,ok,101,False
D285_F03_V01,285,3,detrended_31,real_all,C100,,,,,,,,,,,0.19764389579329478,474,ok,0.21405378535225816,ok,42,0,0.19764389579329478,1,ok,101,False
D285_F03_V01,285,3,detrended_101,real_all,C16,16,0,0.15286330717966479,0.073982955288762003,0.22180176162261875,16,0,0,0.15286330717966479,ok,,,,,,,,,,,,
D285_F03_V01,285,3,detrended_101,real_all,W100,,,,,,,,,,,0.33032976202185438,474,ok,0.5182562794603166,ok,42,1,0.3647146520522076,4,ok,101,False
D285_F03_V01,285,3,detrended_101,real_all,W500,,,,,,,,,,,0.40893245487716079,474,ok,0.62591147437840178,ok,42,1,0.41259846814868006,3,ok,101,False
D285_F03_V01,285,3,detrended_101,real_all,C100,,,,,,,,,,,0.37242141457295952,474,ok,0.5751676670529402,ok,42,0,0.37242141457295952,1,ok,101,False
