diameter_um,mode,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
235,raw,14,325,350,337.5,background_real_tail_covariation.csv,rho,5,0,0.023118782123692363,-0.022475774438562739,0.062130650734802152,4,1,0,0.023118782123692363,-0.022475774438562739,0.062130650734802152,0.00016835766956242772,0.034299897970557221
235,raw,15,350,375,362.5,background_real_tail_covariation.csv,rho,5,0,0.014796116649975337,-0.01950708826284428,0.11714584576038882,4,1,0,0.014418025995767733,0.014796116649975337,-0.01950708826284428,0.024690447415990826,0.11714584576038882
235,raw,16,375,400,387.5,background_real_tail_covariation.csv,rho,5,0,0.037606756873765163,-0.10350295002944203,0.092685594065431434,3,2,0,0.092685594065431434,0.062161947184218899,0.037606756873765163,-0.10350295002944203,-0.017905493544463646
235,raw,17,400,425,412.5,background_real_tail_covariation.csv,rho,5,0,0.050522680634711846,0.0042289582046601349,0.084987366283325858,5,0,0,0.050522680634711846,0.021355382259927783,0.084987366283325858,0.0042289582046601349,0.068858360351334039
235,raw,18,425,450,437.5,background_real_tail_covariation.csv,rho,5,0,0.012315431432662406,0.00384696897547976,0.1731764633029188,5,0,0,0.00384696897547976,0.1731764633029188,0.011847828653741706,0.035047871571066334,0.012315431432662406
235,raw,19,450,475,462.5,background_real_tail_covariation.csv,rho,5,0,-0.0088417759737197624,-0.068865956659661054,0.070147227139461935,1,4,0,-0.0053429160785553069,0.070147227139461935,-0.068865956659661054,-0.033161799535097021,-0.0088417759737197624
235,raw,20,475,500,487.5,background_real_tail_covariation.csv,rho,5,0,0.053490742022289699,-0.048107331301902381,0.14272178689456189,4,1,0,0.061747689015966022,-0.048107331301902381,0.033340575089931594,0.14272178689456189,0.053490742022289699
285,detrended_51,1,0,25,12.5,background_real_tail_covariation.csv,rho,5,0,0.029832673165723803,-0.034145231618061045,0.07418623619169068,3,2,0,0.07418623619169068,0.042008195313443908,-9.9450463140029235e-05,-0.034145231618061045,0.029832673165723803
285,detrended_51,2,25,50,37.5,background_real_tail_covariation.csv,rho,5,0,-0.050115668796661329,-0.071367839721040743,0.098617807116529593,1,4,0,-0.050115668796661329,-0.056537912543125173,-0.007924923863388094,-0.071367839721040743,0.098617807116529593
285,detrended_51,3,50,75,62.5,background_real_tail_covariation.csv,rho,5,0,-0.039340628578131101,-0.053960614341212375,0.05013217852052354,2,3,0,-0.053960614341212375,-0.039340628578131101,0.015510857338166002,-0.042124016358254926,0.05013217852052354
285,detrended_51,4,75,100,87.5,background_real_tail_covariation.csv,rho,5,0,0.011942296265732972,-0.054561023073673574,0.072996265808405597,3,2,0,0.012653834278784911,0.072996265808405597,0.011942296265732972,-0.054561023073673574,-0.046160518495686205
285,detrended_51,5,100,125,112.5,background_real_tail_covariation.csv,rho,5,0,0.023364916567077169,-0.048733287879406305,0.060346525783873159,3,2,0,0.060346525783873159,0.023364916567077169,-0.0061915998321542265,-0.048733287879406305,0.028235304071922821
285,detrended_51,6,125,150,137.5,background_real_tail_covariation.csv,rho,5,0,-0.012204369947316126,-0.10453774851389627,0.0084138179475535084,2,3,0,-0.012204369947316126,0.0023772852883799213,-0.10453774851389627,0.0084138179475535084,-0.053661219347175805
285,detrended_51,7,150,175,162.5,background_real_tail_covariation.csv,rho,5,0,0.011218797105361231,-0.0065601197197722293,0.037389287181373604,3,2,0,0.011218797105361231,0.037389287181373604,-0.0065601197197722293,-0.0033106553488881627,0.020876295554635819
285,detrended_51,8,175,200,187.5,background_real_tail_covariation.csv,rho,5,0,0.0037353074072869982,-0.060687909084091191,0.042513085581576147,3,2,0,-0.060687909084091191,0.016816758446033586,0.042513085581576147,-0.052457175754106369,0.0037353074072869982
285,detrended_51,9,200,225,212.5,background_real_tail_covariation.csv,rho,5,0,-0.0044972540431631796,-0.019988827628028404,0.0047144792156349159,2,3,0,-0.019559607882282355,-0.019988827628028404,-0.0044972540431631796,0.0022188237695337904,0.0047144792156349159
285,detrended_51,10,225,250,237.5,background_real_tail_covariation.csv,rho,5,0,0.0043834940656842921,-0.10255574651110927,0.038428730273985849,3,2,0,-0.10255574651110927,0.0043834940656842921,0.038428730273985849,-0.012454251550638935,0.0087032302841974201
285,detrended_51,11,250,275,262.5,background_real_tail_covariation.csv,rho,5,0,0.026713404818143351,-0.051154525004220873,0.069528884816499131,3,2,0,0.040452628887303478,-0.051154525004220873,0.026713404818143351,-0.03311312335829774,0.069528884816499131
285,detrended_51,12,275,300,287.5,background_real_tail_covariation.csv,rho,5,0,0.0058833035629476818,-0.039252556495085883,0.037926536528301025,3,2,0,0.017833438820991639,-0.039252556495085883,-0.0096614585059236757,0.037926536528301025,0.0058833035629476818
285,detrended_51,13,300,325,312.5,background_real_tail_covariation.csv,rho,5,0,-0.044921111813296985,-0.075525011667459285,0.075760281147578573,1,4,0,-0.037696827510834051,-0.049882522758482616,-0.075525011667459285,0.075760281147578573,-0.044921111813296985
285,detrended_51,14,325,350,337.5,background_real_tail_covariation.csv,rho,5,0,0.000517504311276425,-0.070139182390304158,0.066934428780463781,3,2,0,-0.070139182390304158,-0.0041004240206104813,0.000517504311276425,0.066934428780463781,0.010837548238220526
285,detrended_51,15,350,375,362.5,background_real_tail_covariation.csv,rho,5,0,-0.078469767064627882,-0.10943992754577184,-0.0058414877098409163,0,5,0,-0.10943992754577184,-0.0058414877098409163,-0.013806712026904193,-0.078469767064627882,-0.095836087858332003
285,detrended_51,16,375,400,387.5,background_real_tail_covariation.csv,rho,5,0,-0.028485725333691297,-0.070505844150636043,0.042188801236267282,1,4,0,-0.0086100116719825329,0.042188801236267282,-0.070505844150636043,-0.042289132969568946,-0.028485725333691297
285,detrended_51,17,400,425,412.5,background_real_tail_covariation.csv,rho,5,0,-0.0053551700396316047,-0.037115159801884491,0.042163666636839438,2,3,0,-0.037115159801884491,-0.019791970024230294,0.014613837395146854,-0.0053551700396316047,0.042163666636839438
285,detrended_51,18,425,450,437.5,background_real_tail_covariation.csv,rho,5,0,0.011718471650458025,-0.035332734528471618,0.067478133768456391,4,1,0,0.011718471650458025,0.038211678246242768,0.009840667824700812,-0.035332734528471618,0.067478133768456391
285,detrended_51,19,450,475,462.5,background_real_tail_covariation.csv,rho,5,0,0.010599394739804473,-0.14082164670742339,0.067405667477874923,3,2,0,0.034900046214058469,0.067405667477874923,-0.026918714358341644,-0.14082164670742339,0.010599394739804473
285,detrended_51,20,475,500,487.5,background_real_tail_covariation.csv,rho,5,0,-0.04217586179782909,-0.051980365533361446,0.051327602152333882,1,4,0,-0.051980365533361446,0.051327602152333882,-0.022327347795728838,-0.04217586179782909,-0.049337268960841667
285,raw,1,0,25,12.5,background_real_tail_covariation.csv,rho,5,0,0.11595277516516274,0.06119801205465257,0.15950977486913051,5,0,0,0.11595277516516274,0.15560191725600833,0.15950977486913051,0.06119801205465257,0.10508801543284302
285,raw,2,25,50,37.5,background_real_tail_covariation.csv,rho,5,0,0.04386018032193393,-0.032840369002846571,0.16054113496197409,4,1,0,0.065449599708362449,0.016747735477264627,0.04386018032193393,-0.032840369002846571,0.16054113496197409
285,raw,3,50,75,62.5,background_real_tail_covariation.csv,rho,5,0,0.060060706533910442,9.1119678484308144e-05,0.12931858194948845,5,0,0,0.049874254544121407,0.060060706533910442,0.12931858194948845,9.1119678484308144e-05,0.1202733994236076
285,raw,4,75,100,87.5,background_real_tail_covariation.csv,rho,5,0,0.094919811292744877,0.028767510202334586,0.16594518383093443,5,0,0,0.094919811292744877,0.16594518383093443,0.065694347057201299,0.11029846597304543,0.028767510202334586
285,raw,5,100,125,112.5,background_real_tail_covariation.csv,rho,5,0,0.15789932937232729,0.1183718669146234,0.16425692901452288,5,0,0,0.1610192443086659,0.14446538107787196,0.15789932937232729,0.16425692901452288,0.1183718669146234
285,raw,6,125,150,137.5,background_real_tail_covariation.csv,rho,5,0,0.10710686786538035,0.068021420236643898,0.21839763141296895,5,0,0,0.089903676476473168,0.16117993219460458,0.10710686786538035,0.21839763141296895,0.068021420236643898
285,raw,7,150,175,162.5,background_real_tail_covariation.csv,rho,5,0,0.14800837838319306,0.13526507654830491,0.24552668891635596,5,0,0,0.14800837838319306,0.19647085170844525,0.1476989008001646,0.24552668891635596,0.13526507654830491
285,raw,8,175,200,187.5,background_real_tail_covariation.csv,rho,5,0,0.13484101508085519,0.088092477608864919,0.20635375813774745,5,0,0,0.11575836734609575,0.13484101508085519,0.20635375813774745,0.17944400008768474,0.088092477608864919
285,raw,9,200,225,212.5,background_real_tail_covariation.csv,rho,5,0,0.12831513311069576,0.095458813276684526,0.23050761779872719,5,0,0,0.11397087393930913,0.12831513311069576,0.18777071036637005,0.23050761779872719,0.095458813276684526
285,raw,10,225,250,237.5,background_real_tail_covariation.csv,rho,5,0,0.12470037145477157,0.065140304341756244,0.2044954432846196,5,0,0,0.12067975094112231,0.16018440137864398,0.2044954432846196,0.12470037145477157,0.065140304341756244
