scan_id,diameter_um,flow_mm_s,region,side,n_defined,curve_median,curve_MAD,RCV,first_median,last_median,first_coverage,last_coverage,signed_difference,absolute_difference,relative_difference,status
D128_F03_V01,128,3,source,right,468,15617620.290824961,1359880.5928978482,0.12909514570634059,16734705.487930015,15622985.165097943,45,49,-1111720.3228320722,1111720.3228320722,-0.071183720831347497,ok
D128_F03_V01,128,3,source,bg,468,15534365.033931047,1081281.5125351017,0.10319752155836057,16702578.658048494,15492270.856013872,45,49,-1210307.8020346221,1210307.8020346221,-0.07791163651626562,ok
D128_F03_V01,128,3,tail100,left,468,16987149.373905003,1473568.081407805,0.12860969132650832,18096839.293557052,17141111.881197061,45,49,-955727.41235999018,955727.41235999018,-0.056261788916046232,ok
D128_F03_V01,128,3,tail100,right,468,16813440.507906631,1476269.5784550048,0.13017664504704621,18232827.619522136,16856551.25899918,45,49,-1376276.3605229557,1376276.3605229557,-0.081855724881278916,ok
D128_F03_V01,128,3,tail100,bg,468,16843453.549984351,1115774.2204221115,0.0982130448656926,18260244.802171856,17056937.421335619,45,49,-1203307.3808362372,1203307.3808362372,-0.071440656588942539,ok
D128_F03_V01,128,3,tail500,left,468,15919165.841712661,724503.26229341142,0.067475177239604014,17701009.455921419,16206792.772986332,45,49,-1494216.682935087,1494216.682935087,-0.093862749957653049,ok
D128_F03_V01,128,3,tail500,right,468,16124742.590011138,773460.13555000257,0.071116297861201494,17603430.504567638,16641370.765907444,45,49,-962059.73866019398,962059.73866019398,-0.059663571885864713,ok
D128_F03_V01,128,3,tail500,bg,468,15960577.851759929,567213.86790147237,0.052689275310792927,17492370.214914538,16230745.92951495,45,49,-1261624.2853995878,1261624.2853995878,-0.07904627871981916,ok
D128_F05_V01,128,5,source,left,491,15107448.765549205,1225581.6796604171,0.12027493367431445,16446426.945537446,14488852.609456019,46,51,-1957574.3360814266,1957574.3360814266,-0.12957676484367428,ok
D128_F05_V01,128,5,source,right,491,15273212.418171329,1374488.1215506457,0.13342419611649559,17330395.85515099,14640116.746103613,46,51,-2690279.1090473775,2690279.1090473775,-0.17614363209187175,ok
D128_F05_V01,128,5,source,bg,491,15138106.840381047,1009863.8920772839,0.098904322857592805,16950353.535649948,14604798.53798113,46,51,-2345554.9976688176,2345554.9976688176,-0.1549437470881119,ok
D128_F05_V01,128,5,tail100,left,491,16579866.20983679,1382403.52108608,0.12361688776150852,17653489.614254504,16056115.93228952,46,51,-1597373.6819649842,1597373.6819649842,-0.096344184069306102,ok
D128_F05_V01,128,5,tail100,right,491,16734117.129200613,1511370.28657436,0.13390354385443379,18229700.490152847,16280068.513144692,46,51,-1949631.9770081546,1949631.9770081546,-0.11650641393002419,ok
D128_F05_V01,128,5,tail100,bg,491,16584762.955259487,1103951.0085759945,0.09868804092829804,17987903.917952672,16095882.183987573,46,51,-1892021.7339650989,1892021.7339650989,-0.11408192803654672,ok
D128_F05_V01,128,5,tail500,left,491,15871132.946504267,732211.53894609399,0.06839945398356613,17641997.492474455,15284980.220298445,46,51,-2357017.2721760105,2357017.2721760105,-0.14850970501731955,ok
D128_F05_V01,128,5,tail500,right,491,16137730.763115078,733880.37464769557,0.067422803083290878,17277697.145325191,15871846.896187762,46,51,-1405850.2491374295,1405850.2491374295,-0.087115733294465814,ok
D128_F05_V01,128,5,tail500,bg,491,15999644.967162773,517647.88271320798,0.047967611311733813,17450948.860120505,15584041.959752237,46,51,-1866906.9003682677,1866906.9003682677,-0.11668427044474146,ok
D128_F07_V01,128,7,source,left,493,15253398.883330667,1313317.4644470904,0.12765184256193071,16001997.384554632,14705128.066901999,49,50,-1296869.3176526334,1296869.3176526334,-0.085021661570123086,ok
D128_F07_V01,128,7,source,right,493,15524120.071661672,1413807.6221960951,0.13502286577222838,16056852.546663543,15014224.362172952,49,50,-1042628.1844905913,1042628.1844905913,-0.067161821712126868,ok
