scan_id,diameter_um,flow_mm_s,extension,mode,support,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D235_F01_V01,235,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.19351011425566972,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.066397567834125856,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.1639759354799932,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.19939199662231699,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.1453469454975353,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.15500642624833672,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.10202899014969169,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.21258763284224688,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.16257457223198857,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.15445340638450356,448,ok
D235_F01_V01,235,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.23138918343582413,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.13232375457127996,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.17976293359703324,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.0569390387061086,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.10318174963235202,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.12022541046644544,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.065318682090142285,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.11566611316413675,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.13813014699440754,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.089484866553484033,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.08119975800971603,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.11221099979062291,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.12317591252510666,448,ok
D235_F05_V01,235,5,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.1310206671844851,424,ok
D235_F05_V01,235,5,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.17710350647057022,424,ok
D235_F05_V01,235,5,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.1482173385895309,424,ok
D235_F05_V01,235,5,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.1734814078632502,424,ok
