diameter_um,mode,support,region,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,raw,real_all,S3_T1T4,fixed_region_summary.csv,value,5,0,0.22214640011388309,0.20522783170998199,0.23057099451462865,5,0,0,0.23057099451462865,0.20522783170998199,0.2225245053065685,0.21276352193271217,0.22214640011388309
128,raw,real_all,S4_T1T4,fixed_region_summary.csv,value,5,0,0.17082242967903699,0.11325136286404049,0.20584639339905117,5,0,0,0.20584639339905117,0.18727871572321697,0.16965579535673986,0.11325136286404049,0.17082242967903699
128,raw,real_all,S5_T1T4,fixed_region_summary.csv,value,5,0,0.13702900145835517,0.069155130294827949,0.16160982281066674,5,0,0,0.16160982281066674,0.069155130294827949,0.14963646280130449,0.13702900145835517,0.13061555615648768
128,raw,real_all,S6_T1T4,fixed_region_summary.csv,value,5,0,0.13875065042250348,0.11334755501680384,0.16223759882970623,5,0,0,0.13875065042250348,0.15581269593861879,0.16223759882970623,0.11334755501680384,0.12638441791288049
235,detrended_51,real_all,C16,fixed_region_summary.csv,value,5,0,0.16824267179182878,0.12170066149577605,0.22051682113117782,5,0,0,0.18218801676042404,0.12170066149577605,0.16824267179182878,0.13413811612772078,0.22051682113117782
235,detrended_51,real_all,S1_T1T4,fixed_region_summary.csv,value,5,0,-0.020287646890410412,-0.16439533996851458,0.063150959640605936,2,3,0,-0.16439533996851458,0.063150959640605936,-0.020287646890410412,0.032515301440455627,-0.029611731259722315
235,detrended_51,real_all,S2_T1T4,fixed_region_summary.csv,value,5,0,0.14783616956746781,0.095056937521466059,0.2204065841701425,5,0,0,0.14783616956746781,0.14392470272350899,0.17492662628923406,0.095056937521466059,0.2204065841701425
235,detrended_51,real_all,S3_T1T4,fixed_region_summary.csv,value,5,0,0.18218801676042404,0.1560433440841566,0.27760826685863904,5,0,0,0.18218801676042404,0.1560433440841566,0.16266042253005056,0.18339618739469213,0.27760826685863904
235,detrended_51,real_all,S4_T1T4,fixed_region_summary.csv,value,5,0,0.16138568627949218,0.11170358004939873,0.22051682113117782,5,0,0,0.18168396605115511,0.11170358004939873,0.16138568627949218,0.13793960351679602,0.22051682113117782
235,detrended_51,real_all,S5_T1T4,fixed_region_summary.csv,value,5,0,0.17811888412236213,0.078418463438081246,0.24552203158708114,5,0,0,0.18379702954529181,0.12689813007927214,0.17811888412236213,0.078418463438081246,0.24552203158708114
235,detrended_51,real_all,S6_T1T4,fixed_region_summary.csv,value,5,0,0.15855347104055253,0.088714145305140615,0.19698187783390636,5,0,0,0.19698187783390636,0.11769345615786478,0.15949708505983068,0.088714145305140615,0.15855347104055253
235,raw,real_all,C16,fixed_region_summary.csv,value,5,0,0.20337143127021984,0.17090745226955822,0.27875019444386606,5,0,0,0.26823429929512055,0.17090745226955822,0.20337143127021984,0.19586426916936467,0.27875019444386606
235,raw,real_all,S1_T1T4,fixed_region_summary.csv,value,5,0,-0.014014058453570108,-0.23552732235478008,0.058594912664458911,2,3,0,-0.23552732235478008,0.0059823870879572591,-0.014014058453570108,0.058594912664458911,-0.021501020906849445
235,raw,real_all,S2_T1T4,fixed_region_summary.csv,value,5,0,0.18431952757486009,0.15128016984584897,0.21870145793092127,5,0,0,0.18431952757486009,0.15128016984584897,0.20679591627899654,0.18387207559094845,0.21870145793092127
235,raw,real_all,S3_T1T4,fixed_region_summary.csv,value,5,0,0.24980715107824569,0.20329786336740641,0.31695421903381915,5,0,0,0.24980715107824569,0.20329786336740641,0.20837036862115382,0.25558414833023602,0.31695421903381915
235,raw,real_all,S4_T1T4,fixed_region_summary.csv,value,5,0,0.20255641798493146,0.16026032335625989,0.2817224464934327,5,0,0,0.2817224464934327,0.16026032335625989,0.19251997386670444,0.20255641798493146,0.27112370794347596
235,raw,real_all,S5_T1T4,fixed_region_summary.csv,value,5,0,0.22666241607040247,0.1590175891263978,0.28292213304002423,5,0,0,0.25756081213819143,0.18691397950489744,0.22666241607040247,0.1590175891263978,0.28292213304002423
235,raw,real_all,S6_T1T4,fixed_region_summary.csv,value,5,0,0.17766421863807746,0.15930508589600073,0.25919782589198964,5,0,0,0.25919782589198964,0.16403168754684427,0.17766421863807746,0.15930508589600073,0.2270204708052487
285,detrended_51,real_all,C16,fixed_region_summary.csv,value,5,0,0.13442732449436331,0.083769997246192163,0.17159429904284068,5,0,0,0.13749972230141777,0.083769997246192163,0.13442732449436331,0.10966066457883336,0.17159429904284068
285,detrended_51,real_all,S1_T1T4,fixed_region_summary.csv,value,5,0,-0.019163162706403898,-0.094326392068929149,-0.011197056261051583,0,5,0,-0.016894413737227755,-0.019163162706403898,-0.094326392068929149,-0.011197056261051583,-0.052920908290276319
285,detrended_51,real_all,S2_T1T4,fixed_region_summary.csv,value,5,0,0.12800608748462777,0.094961475742265225,0.17272456284566873,5,0,0,0.17272456284566873,0.10553231523634543,0.12800608748462777,0.14137979810475781,0.094961475742265225
285,detrended_51,real_all,S3_T1T4,fixed_region_summary.csv,value,5,0,0.16400759634209017,0.086716387694690616,0.23532335439054575,5,0,0,0.23532335439054575,0.086716387694690616,0.16400759634209017,0.14649993249318932,0.22738585615425899
285,detrended_51,real_all,S4_T1T4,fixed_region_summary.csv,value,5,0,0.17174275944542755,0.089633165625041478,0.18778967868644109,5,0,0,0.17174275944542755,0.089633165625041478,0.18778967868644109,0.15794780907438905,0.18028751857844208
285,detrended_51,real_all,S5_T1T4,fixed_region_summary.csv,value,5,0,0.089201732084849439,0.073804966775372238,0.2078928862495957,5,0,0,0.089201732084849439,0.073804966775372238,0.10485380223175617,0.077390296751665213,0.2078928862495957
285,detrended_51,real_all,S6_T1T4,fixed_region_summary.csv,value,5,0,0.090450702938884561,0.057021235778611443,0.11614058959909049,5,0,0,0.10286103893849341,0.065135153401578647,0.090450702938884561,0.057021235778611443,0.11614058959909049
285,raw,real_all,C16,fixed_region_summary.csv,value,5,0,0.24506233662411814,0.18351736671123675,0.40124266257071534,5,0,0,0.18351736671123675,0.22514935074995809,0.24506233662411814,0.40124266257071534,0.26682025849315272
285,raw,real_all,S1_T1T4,fixed_region_summary.csv,value,5,0,0.010676224597437365,-0.044391688799418572,0.10164042857967838,3,2,0,0.053720908857845029,0.10164042857967838,-0.044391688799418572,-0.0024600439585311159,0.010676224597437365
285,raw,real_all,S2_T1T4,fixed_region_summary.csv,value,5,0,0.25703321112211308,0.22811453331409048,0.4438490126317855,5,0,0,0.22811453331409048,0.25703321112211308,0.26023521592796395,0.4438490126317855,0.2348301568542841
285,raw,real_all,S3_T1T4,fixed_region_summary.csv,value,5,0,0.30353928083564896,0.26354314882396934,0.44263454157777193,5,0,0,0.30353928083564896,0.26354314882396934,0.27309792260289423,0.44263454157777193,0.33412254447804784
285,raw,real_all,S4_T1T4,fixed_region_summary.csv,value,5,0,0.3065989986668966,0.22346184817549683,0.41453239585610935,5,0,0,0.22346184817549683,0.23833283800933275,0.30877967366487841,0.41453239585610935,0.3065989986668966
285,raw,real_all,S5_T1T4,fixed_region_summary.csv,value,5,0,0.23980841310914525,0.14397506158183937,0.3463111737644774,5,0,0,0.14397506158183937,0.22020093721873929,0.23980841310914525,0.3463111737644774,0.30158302606258192
285,raw,real_all,S6_T1T4,fixed_region_summary.csv,value,5,0,0.17376427805581351,0.13681517466157164,0.30227070363689923,5,0,0,0.15583690758864338,0.13681517466157164,0.17376427805581351,0.30227070363689923,0.21621180143652652
