scan_id,diameter_um,flow_mm_s,region,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,s5,right_mad,486,486,14,10294254.153116895,3737342.1571333185,21677311.969892398,486,0,0
D128_F01_V01,128,1,s5,bg_mean,486,486,14,22474825.288531121,14395423.378239959,37680879.654473275,486,0,0
D128_F01_V01,128,1,s5,bg_median,486,486,14,15467999.600691918,7899101.3827360719,25681540.789460596,486,0,0
D128_F01_V01,128,1,s5,bg_mad,486,486,14,10436031.242186021,5546319.4173266757,17815318.204695988,486,0,0
D128_F01_V01,128,1,s6,z_local,486,486,14,4.9512478037814267,-0.035040314829772955,38.211336325566364,485,1,0
D128_F01_V01,128,1,s6,real_minus_bg_mean,486,486,14,112443454.60351893,17622616.764312655,744941503.84077191,486,0,0
D128_F01_V01,128,1,s6,signed_asymmetry,486,486,14,-0.018185892918989015,-0.92681147848281731,1.0002295126758489,235,251,0
D128_F01_V01,128,1,s6,real_mean,486,486,14,135317239.47776467,43021724.365759827,774547113.02595162,486,0,0
D128_F01_V01,128,1,s6,real_median,486,486,14,89826983.921394646,21597786.736602589,324096921.90498477,486,0,0
D128_F01_V01,128,1,s6,real_mad,486,486,14,59538450.663824603,16571597.383221738,217968019.28401595,486,0,0
D128_F01_V01,128,1,s6,left_mean,486,486,14,22636778.924755603,9244517.2019366603,41220553.860639311,486,0,0
D128_F01_V01,128,1,s6,left_median,486,486,14,15787844.950857526,5071047.274189041,42728876.768417351,486,0,0
D128_F01_V01,128,1,s6,left_mad,486,486,14,10144642.324596731,2632089.1951151639,23668787.314834584,486,0,0
D128_F01_V01,128,1,s6,right_mean,486,486,14,22609020.331663653,8654868.3006326631,41105722.513440616,486,0,0
D128_F01_V01,128,1,s6,right_median,486,486,14,15980741.643787567,4281343.2261082856,39653571.87304192,486,0,0
D128_F01_V01,128,1,s6,right_mad,486,486,14,10379362.826008683,2659113.0483726077,26794243.158263102,486,0,0
D128_F01_V01,128,1,s6,bg_mean,486,486,14,22945394.205953296,8949797.8081028089,33669342.133723266,486,0,0
D128_F01_V01,128,1,s6,bg_median,486,486,14,16023908.52939669,5071047.274189041,30481053.672316473,486,0,0
D128_F01_V01,128,1,s6,bg_mad,486,486,14,10591731.854675382,3482980.3198248642,20322602.430538941,486,0,0
D128_F01_V01,128,1,s36,z_local,486,486,14,5.7408099325310857,1.4889175610614218,16.581262646636276,486,0,0
D128_F01_V01,128,1,s36,real_minus_bg_mean,486,486,14,161555486.90342289,55951634.142106235,454013503.68564957,486,0,0
D128_F01_V01,128,1,s36,signed_asymmetry,486,486,14,-0.015543907967858088,-0.44426506149411027,0.45415057921301233,225,261,0
D128_F01_V01,128,1,s36,real_mean,486,486,14,183413475.58115464,76455222.28038834,476544219.06173229,486,0,0
D128_F01_V01,128,1,s36,real_median,486,486,14,103181723.74592602,33683272.492372423,246601478.98994765,486,0,0
D128_F01_V01,128,1,s36,real_mad,486,486,14,76743243.452245533,25834266.212604802,175499998.25474963,486,0,0
D128_F01_V01,128,1,s36,left_mean,486,486,14,21888880.930448696,14669851.898531223,37678609.972396031,486,0,0
D128_F01_V01,128,1,s36,left_median,486,486,14,15342519.951308925,10070266.981866861,26649338.250821222,486,0,0
D128_F01_V01,128,1,s36,left_mad,486,486,14,10347994.921083527,5925946.0535910204,16949261.793153588,486,0,0
D128_F01_V01,128,1,s36,right_mean,486,486,14,22242501.216483451,15123344.927887352,43675411.333430409,486,0,0
D128_F01_V01,128,1,s36,right_median,486,486,14,15448263.686974514,9397577.7652413007,24531846.320917536,486,0,0
D128_F01_V01,128,1,s36,right_mad,486,486,14,10566691.229859788,7049755.8455336811,16072536.256660245,486,0,0
