scan_id,diameter_um,flow_mm_s,side,mode,kind,region,rho,n_pairs,status
D128_F10_V01,128,10,right,raw,same_ROI_structural_vs_SV,tail100,0.28789880914896193,484,ok
D128_F10_V01,128,10,right,raw,same_ROI_structural_vs_SV,tail500,0.47158262054965533,484,ok
D128_F10_V01,128,10,right,raw,structural_source_vs_tail,tail100,0.38276057506732702,484,ok
D128_F10_V01,128,10,right,raw,structural_source_vs_tail,tail500,0.40845222175241325,484,ok
D128_F10_V01,128,10,right,detrended_51,same_ROI_structural_vs_SV,source,0.24699189818934511,484,ok
D128_F10_V01,128,10,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.20339282002354481,484,ok
D128_F10_V01,128,10,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.40309331638499923,484,ok
D128_F10_V01,128,10,right,detrended_51,structural_source_vs_tail,tail100,0.30010757267512123,484,ok
D128_F10_V01,128,10,right,detrended_51,structural_source_vs_tail,tail500,0.34422782434696952,484,ok
D235_F01_V01,235,1,real,raw,same_ROI_structural_vs_SV,source,0.71778035028304088,448,ok
D235_F01_V01,235,1,real,raw,same_ROI_structural_vs_SV,tail100,0.83454083005378954,448,ok
D235_F01_V01,235,1,real,raw,same_ROI_structural_vs_SV,tail500,0.84039489586958982,448,ok
D235_F01_V01,235,1,real,raw,structural_source_vs_tail,tail100,0.61873220985379251,448,ok
D235_F01_V01,235,1,real,raw,structural_source_vs_tail,tail500,0.64507870905196807,448,ok
D235_F01_V01,235,1,real,detrended_51,same_ROI_structural_vs_SV,source,0.70714933663391144,448,ok
D235_F01_V01,235,1,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.78955099245296612,448,ok
D235_F01_V01,235,1,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.77298964399670511,448,ok
D235_F01_V01,235,1,real,detrended_51,structural_source_vs_tail,tail100,0.55869776424636819,448,ok
D235_F01_V01,235,1,real,detrended_51,structural_source_vs_tail,tail500,0.62633098074693094,448,ok
D235_F01_V01,235,1,left,raw,same_ROI_structural_vs_SV,source,0.28213383528326502,448,ok
D235_F01_V01,235,1,left,raw,same_ROI_structural_vs_SV,tail100,0.36003812669893892,448,ok
D235_F01_V01,235,1,left,raw,same_ROI_structural_vs_SV,tail500,0.53272305880544168,448,ok
D235_F01_V01,235,1,left,raw,structural_source_vs_tail,tail100,0.37330693327240466,448,ok
D235_F01_V01,235,1,left,raw,structural_source_vs_tail,tail500,0.43179127153768787,448,ok
D235_F01_V01,235,1,left,detrended_51,same_ROI_structural_vs_SV,source,0.18161503794612058,448,ok
D235_F01_V01,235,1,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.31614288364900922,448,ok
D235_F01_V01,235,1,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.41046264293191964,448,ok
D235_F01_V01,235,1,left,detrended_51,structural_source_vs_tail,tail100,0.21041513341056031,448,ok
D235_F01_V01,235,1,left,detrended_51,structural_source_vs_tail,tail500,0.27385663185956055,448,ok
D235_F01_V01,235,1,right,raw,same_ROI_structural_vs_SV,source,0.3257466523028697,448,ok
D235_F01_V01,235,1,right,raw,same_ROI_structural_vs_SV,tail100,0.25931787267753847,448,ok
D235_F01_V01,235,1,right,raw,same_ROI_structural_vs_SV,tail500,0.39435429109537118,448,ok
D235_F01_V01,235,1,right,raw,structural_source_vs_tail,tail100,0.24697340633387926,448,ok
D235_F01_V01,235,1,right,raw,structural_source_vs_tail,tail500,0.26277807613381821,448,ok
D235_F01_V01,235,1,right,detrended_51,same_ROI_structural_vs_SV,source,0.29580031494533887,448,ok
D235_F01_V01,235,1,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.26909608295094095,448,ok
D235_F01_V01,235,1,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.41904284373925144,448,ok
D235_F01_V01,235,1,right,detrended_51,structural_source_vs_tail,tail100,0.25871684099456083,448,ok
D235_F01_V01,235,1,right,detrended_51,structural_source_vs_tail,tail500,0.29179180039195912,448,ok
D235_F03_V01,235,3,real,raw,same_ROI_structural_vs_SV,source,0.77323996331466327,448,ok
D235_F03_V01,235,3,real,raw,same_ROI_structural_vs_SV,tail100,0.81476213787109741,448,ok
D235_F03_V01,235,3,real,raw,same_ROI_structural_vs_SV,tail500,0.82113349255936807,448,ok
D235_F03_V01,235,3,real,raw,structural_source_vs_tail,tail100,0.45455171500746305,448,ok
D235_F03_V01,235,3,real,raw,structural_source_vs_tail,tail500,0.54185635704783397,448,ok
