scan_id,diameter_um,flow_mm_s,mode,support,metric,old_value,new_value,new_minus_old,old_status,new_status,paired_percent_change_median,identity_max_absolute_error,direction_status
D128_F10_V01,128,10,per_frame_then_median,,RI500,0.25946745609265881,0.2231842946030006,-0.036283161489658211,derived_from_saved_same_identity_means,ok,-12.580182096407523,2.2204460492503131e-16,same_sign_reduced
D235_F01_V01,235,1,raw,real_all,C16,0.26543552092964651,0.26823429929512055,0.0027987783654740417,ok,ok,,,same_sign_increased
D235_F01_V01,235,1,raw,real_all,W100,0.11382690734923885,0.23027615965595219,0.11644925230671334,saved_v1,ok,,,same_sign_increased
D235_F01_V01,235,1,raw,real_all,W500,0.15716426404046918,0.32697020864518361,0.16980594460471443,saved_v1,ok,,,same_sign_increased
D235_F01_V01,235,1,detrended_51,real_all,C16,0.17503407285877659,0.18218801676042404,0.0071539439016474471,ok,ok,,,same_sign_increased
D235_F01_V01,235,1,detrended_51,real_all,W100,0.16132801859776003,0.24619252799692723,0.084864509399167204,saved_v1,ok,,,same_sign_increased
D235_F01_V01,235,1,detrended_51,real_all,W500,0.17405014141225839,0.33998536204905688,0.1659352206367985,saved_v1,ok,,,same_sign_increased
D235_F01_V01,235,1,per_frame_then_median,,RI100,0.28311047688752572,0.23841905035208191,-0.044691426535443807,derived_from_saved_same_identity_means,ok,-14.730524295026759,2.2204460492503131e-16,same_sign_reduced
D235_F01_V01,235,1,per_frame_then_median,,RI500,0.17777253294335632,0.14950431368691941,-0.028268219256436911,derived_from_saved_same_identity_means,ok,-16.619681723622243,2.2204460492503131e-16,same_sign_reduced
D235_F03_V01,235,3,raw,real_all,C16,0.1879213982494389,0.17090745226955822,-0.017013945979880679,ok,ok,,,same_sign_reduced
D235_F03_V01,235,3,raw,real_all,W100,0.17969195420952494,0.21562578073784933,0.035933826528324386,saved_v1,ok,,,same_sign_increased
D235_F03_V01,235,3,raw,real_all,W500,0.18932132127002158,0.31178158771916714,0.12246026644914557,saved_v1,ok,,,same_sign_increased
D235_F03_V01,235,3,detrended_51,real_all,C16,0.13700173382815728,0.12170066149577605,-0.015301072332381233,ok,ok,,,same_sign_reduced
D235_F03_V01,235,3,detrended_51,real_all,W100,0.24892521544107804,0.25799815011656796,0.0090729346754899187,saved_v1,ok,,,same_sign_increased
D235_F03_V01,235,3,detrended_51,real_all,W500,0.20637790917408902,0.32820670645012101,0.12182879727603199,saved_v1,ok,,,same_sign_increased
D235_F03_V01,235,3,per_frame_then_median,,RI100,0.28145672588177573,0.23664415643178022,-0.04481256944999551,derived_from_saved_same_identity_means,ok,-15.585016500571037,2.2204460492503131e-16,same_sign_reduced
D235_F03_V01,235,3,per_frame_then_median,,RI500,0.17681734386491271,0.1473377404585276,-0.029479603406385113,derived_from_saved_same_identity_means,ok,-16.899242879761502,3.3306690738754696e-16,same_sign_reduced
D235_F05_V01,235,5,raw,real_all,C16,0.1919836903047048,0.20337143127021984,0.011387740965515036,ok,ok,,,same_sign_increased
D235_F05_V01,235,5,raw,real_all,W100,0.27094434080336272,0.29377208932549337,0.022827748522130653,saved_v1,ok,,,same_sign_increased
D235_F05_V01,235,5,raw,real_all,W500,0.24530348470178923,0.3740112247227273,0.12870774002093807,saved_v1,ok,,,same_sign_increased
D235_F05_V01,235,5,detrended_51,real_all,C16,0.15334033614298659,0.16824267179182878,0.014902335648842191,ok,ok,,,same_sign_increased
D235_F05_V01,235,5,detrended_51,real_all,W100,0.23910718042391674,0.28455510714342497,0.04544792671950823,saved_v1,ok,,,same_sign_increased
D235_F05_V01,235,5,detrended_51,real_all,W500,0.20997745599271975,0.37201275780486248,0.16203530181214273,saved_v1,ok,,,same_sign_increased
D235_F05_V01,235,5,per_frame_then_median,,RI100,0.27347892088812464,0.22835832261995426,-0.045120598268170387,derived_from_saved_same_identity_means,ok,-15.498413306664732,3.3306690738754696e-16,same_sign_reduced
D235_F05_V01,235,5,per_frame_then_median,,RI500,0.17337407043624398,0.14241669196205986,-0.030957378474184116,derived_from_saved_same_identity_means,ok,-17.093094200537337,2.2204460492503131e-16,same_sign_reduced
D235_F07_V01,235,7,raw,real_all,C16,0.19553577977500664,0.19586426916936467,0.00032848939435803359,ok,ok,,,same_sign_increased
D235_F07_V01,235,7,raw,real_all,W100,0.25396411705793598,0.29683006363453773,0.042865946576601754,saved_v1,ok,,,same_sign_increased
D235_F07_V01,235,7,raw,real_all,W500,0.29295770013552241,0.35584751566185607,0.062889815526333659,saved_v1,ok,,,same_sign_increased
D235_F07_V01,235,7,detrended_51,real_all,C16,0.12571622844337677,0.13413811612772078,0.0084218876843440149,ok,ok,,,same_sign_increased
D235_F07_V01,235,7,detrended_51,real_all,W100,0.21470482940989288,0.26885517043200452,0.054150341022111637,saved_v1,ok,,,same_sign_increased
D235_F07_V01,235,7,detrended_51,real_all,W500,0.2524481979164494,0.32119183053452915,0.068743632618079753,saved_v1,ok,,,same_sign_increased
