scan_id,diameter_um,flow_mm_s,offset,dx_pixel,dz_pixel,support,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F05_V01,128,5,xm,-1,0,five_position_common,RI100,491,9,0.42880234853915727,0.20414566543925347,0.92478966307756327,491,0,0
D128_F05_V01,128,5,xm,-1,0,five_position_common,RI500,491,9,0.22762458484162265,0.10954462537884611,0.46885807039569127,491,0,0
D128_F05_V01,128,5,zp,0,1,all_available,source,491,9,196242619.19545788,71447577.179904118,435299741.17741346,491,0,0
D128_F05_V01,128,5,zp,0,1,all_available,tail100,491,9,75688775.908718616,41426583.20683334,153281478.95540985,491,0,0
D128_F05_V01,128,5,zp,0,1,all_available,tail500,491,9,40869718.58753778,27611813.329214551,61315609.014289007,491,0,0
D128_F05_V01,128,5,zp,0,1,all_available,RI100,491,9,0.3999093927895816,0.1987122073179316,0.89427182008598505,491,0,0
D128_F05_V01,128,5,zp,0,1,all_available,RI500,491,9,0.21399400236806609,0.097594714811020278,0.43874838676716688,491,0,0
D128_F05_V01,128,5,zp,0,1,five_position_common,source,491,9,196242619.19545788,71447577.179904118,435299741.17741346,491,0,0
D128_F05_V01,128,5,zp,0,1,five_position_common,tail100,491,9,75688775.908718616,41426583.20683334,153281478.95540985,491,0,0
D128_F05_V01,128,5,zp,0,1,five_position_common,tail500,491,9,40869718.58753778,27611813.329214551,61315609.014289007,491,0,0
D128_F05_V01,128,5,zp,0,1,five_position_common,RI100,491,9,0.3999093927895816,0.1987122073179316,0.89427182008598505,491,0,0
D128_F05_V01,128,5,zp,0,1,five_position_common,RI500,491,9,0.21399400236806609,0.097594714811020278,0.43874838676716688,491,0,0
D128_F05_V01,128,5,zm,0,-1,all_available,source,491,9,186711691.78825009,68207831.565010056,378931546.5938397,491,0,0
D128_F05_V01,128,5,zm,0,-1,all_available,tail100,491,9,82590331.033823028,42612024.600778811,161798560.07103384,491,0,0
D128_F05_V01,128,5,zm,0,-1,all_available,tail500,491,9,43390708.037946142,28428595.060990829,63771759.670183197,491,0,0
D128_F05_V01,128,5,zm,0,-1,all_available,RI100,491,9,0.45685374738957241,0.21389477796920051,0.94729915987381397,491,0,0
D128_F05_V01,128,5,zm,0,-1,all_available,RI500,491,9,0.2351822421775758,0.11941358826219693,0.46279054618368531,491,0,0
D128_F05_V01,128,5,zm,0,-1,five_position_common,source,491,9,186711691.78825009,68207831.565010056,378931546.5938397,491,0,0
D128_F05_V01,128,5,zm,0,-1,five_position_common,tail100,491,9,82590331.033823028,42612024.600778811,161798560.07103384,491,0,0
D128_F05_V01,128,5,zm,0,-1,five_position_common,tail500,491,9,43390708.037946142,28428595.060990829,63771759.670183197,491,0,0
D128_F05_V01,128,5,zm,0,-1,five_position_common,RI100,491,9,0.45685374738957241,0.21389477796920051,0.94729915987381397,491,0,0
D128_F05_V01,128,5,zm,0,-1,five_position_common,RI500,491,9,0.2351822421775758,0.11941358826219693,0.46279054618368531,491,0,0
D128_F07_V01,128,7,baseline,0,0,all_available,source,493,7,145284801.08129755,61557905.23008845,396362714.23695558,493,0,0
D128_F07_V01,128,7,baseline,0,0,all_available,tail100,493,7,80103132.622097135,34515148.205229886,141719020.12310055,493,0,0
D128_F07_V01,128,7,baseline,0,0,all_available,tail500,493,7,43169586.410262212,26818955.412837591,59576623.909768492,493,0,0
D128_F07_V01,128,7,baseline,0,0,all_available,RI100,493,7,0.55277147395786985,0.23430293817681447,1.1250743060840211,493,0,0
D128_F07_V01,128,7,baseline,0,0,all_available,RI500,493,7,0.29730363891501299,0.12100268550024909,0.51500834027596998,493,0,0
D128_F07_V01,128,7,baseline,0,0,five_position_common,source,493,7,145284801.08129755,61557905.23008845,396362714.23695558,493,0,0
D128_F07_V01,128,7,baseline,0,0,five_position_common,tail100,493,7,80103132.622097135,34515148.205229886,141719020.12310055,493,0,0
D128_F07_V01,128,7,baseline,0,0,five_position_common,tail500,493,7,43169586.410262212,26818955.412837591,59576623.909768492,493,0,0
D128_F07_V01,128,7,baseline,0,0,five_position_common,RI100,493,7,0.55277147395786985,0.23430293817681447,1.1250743060840211,493,0,0
D128_F07_V01,128,7,baseline,0,0,five_position_common,RI500,493,7,0.29730363891501299,0.12100268550024909,0.51500834027596998,493,0,0
D128_F07_V01,128,7,xp,1,0,all_available,source,493,7,144323322.09119773,59630280.042130657,396095275.66418099,493,0,0
D128_F07_V01,128,7,xp,1,0,all_available,tail100,493,7,80118818.163153544,32686797.368931275,152035806.76340598,493,0,0
D128_F07_V01,128,7,xp,1,0,all_available,tail500,493,7,42903586.260996416,25125296.907501344,61762261.800704703,493,0,0
D128_F07_V01,128,7,xp,1,0,all_available,RI100,493,7,0.56179464769196552,0.23114792604942627,1.072572353986101,493,0,0
D128_F07_V01,128,7,xp,1,0,all_available,RI500,493,7,0.30051369319288906,0.1207713863182534,0.52932045286106999,493,0,0
D128_F07_V01,128,7,xp,1,0,five_position_common,source,493,7,144323322.09119773,59630280.042130657,396095275.66418099,493,0,0
D128_F07_V01,128,7,xp,1,0,five_position_common,tail100,493,7,80118818.163153544,32686797.368931275,152035806.76340598,493,0,0
D128_F07_V01,128,7,xp,1,0,five_position_common,tail500,493,7,42903586.260996416,25125296.907501344,61762261.800704703,493,0,0
D128_F07_V01,128,7,xp,1,0,five_position_common,RI100,493,7,0.56179464769196552,0.23114792604942627,1.072572353986101,493,0,0
D128_F07_V01,128,7,xp,1,0,five_position_common,RI500,493,7,0.30051369319288906,0.1207713863182534,0.52932045286106999,493,0,0
D128_F07_V01,128,7,xm,-1,0,all_available,source,493,7,140907500.67554274,60509873.540891238,386359622.55118203,493,0,0
