scan_id,diameter_um,flow_mm_s,mode,support,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,matched_specificity,matched_status,n_matched_far_defined
D285_F01_V01,285,1,detrended_51,real_all,C100,0.42012934861809098,453,ok,0.29600837140663422,ok,42,0,0.42012934861809098,1,ok,101,False,0.28156746766196694,ok,42
D285_F03_V01,285,3,raw,real_all,W100,0.46203013354028954,474,ok,0.34409591082062996,ok,42,1,0.48834721512466678,3,ok,101,False,,,
D285_F03_V01,285,3,raw,real_all,W500,0.67636819991746167,474,ok,0.33423837346855378,ok,42,1,0.70029915102459284,2,ok,101,False,,,
D285_F03_V01,285,3,raw,real_all,C100,0.49726741721164042,474,ok,0.4716730903451008,ok,42,0,0.49726741721164042,1,ok,101,False,,,
D285_F03_V01,285,3,detrended_51,real_all,W100,0.2003444456447302,474,ok,0.22802607818729764,ok,42,1,0.23378319020699836,4,ok,101,False,0.21712972790017798,ok,42
D285_F03_V01,285,3,detrended_51,real_all,W500,0.27000212184519917,474,ok,0.29011293400246974,ok,42,0,0.27000212184519917,1,ok,101,False,0.27451013243469441,ok,42
D285_F03_V01,285,3,detrended_51,real_all,C100,0.22183742335902024,474,ok,0.25680441108082241,ok,42,0,0.22183742335902024,1,ok,101,False,0.26501051108443074,ok,42
D285_F05_V01,285,5,raw,real_all,W100,0.37920756972862235,492,ok,0.23813599564971913,ok,42,0,0.37920756972862235,1,ok,101,False,,,
D285_F05_V01,285,5,raw,real_all,W500,0.64763970435835949,492,ok,0.25626186269602624,ok,42,0,0.64763970435835949,1,ok,101,False,,,
D285_F05_V01,285,5,raw,real_all,C100,0.54019105890897379,492,ok,0.37049498479819493,ok,42,0,0.54019105890897379,1,ok,101,False,,,
D285_F05_V01,285,5,detrended_51,real_all,W100,0.22799809119776163,492,ok,0.21179563708235144,ok,42,0,0.22799809119776163,1,ok,101,False,0.2148474660163584,ok,42
D285_F05_V01,285,5,detrended_51,real_all,W500,0.28733370987447399,492,ok,0.27978107789421169,ok,42,0,0.28733370987447399,1,ok,101,False,0.29581847507251557,ok,42
D285_F05_V01,285,5,detrended_51,real_all,C100,0.33601827724343497,492,ok,0.29680260471709202,ok,42,0,0.33601827724343497,1,ok,101,False,0.30150055183743685,ok,42
D285_F07_V01,285,7,raw,real_all,W100,0.6168073400866817,458,ok,0.24616482965406711,ok,42,0,0.6168073400866817,1,ok,101,False,,,
D285_F07_V01,285,7,raw,real_all,W500,0.74119862909538148,458,ok,0.26660232592064564,ok,42,0,0.74119862909538148,1,ok,101,False,,,
D285_F07_V01,285,7,raw,real_all,C100,0.69699428094426463,458,ok,0.31545027437176842,ok,42,1,0.69925671565645664,2,ok,101,False,,,
D285_F07_V01,285,7,detrended_51,real_all,W100,0.22928497994187977,458,ok,0.21335519142293413,ok,42,0,0.22928497994187977,1,ok,101,False,0.2223759935918328,ok,42
D285_F07_V01,285,7,detrended_51,real_all,W500,0.24010875983557273,458,ok,0.21728391618158993,ok,42,0,0.24010875983557273,1,ok,101,False,0.2215531344712543,ok,42
D285_F07_V01,285,7,detrended_51,real_all,C100,0.29513468010165073,458,ok,0.28379512432967924,ok,42,1,0.30346583652080084,2,ok,101,False,0.30861012457787107,ok,42
D285_F10_V01,285,10,raw,real_all,W100,0.4544457144222277,494,ok,0.3373733036337439,ok,42,0,0.4544457144222277,1,ok,101,False,,,
D285_F10_V01,285,10,raw,real_all,W500,0.62524609656028463,494,ok,0.37564277946296631,ok,42,0,0.62524609656028463,1,ok,101,False,,,
D285_F10_V01,285,10,raw,real_all,C100,0.54624724053570006,494,ok,0.44641831809373178,ok,42,0,0.54624724053570006,1,ok,101,False,,,
D285_F10_V01,285,10,detrended_51,real_all,W100,0.25952167765251671,494,ok,0.24433929508210955,ok,42,0,0.25952167765251671,1,ok,101,False,0.25182805718183754,ok,42
D285_F10_V01,285,10,detrended_51,real_all,W500,0.31982355557276509,494,ok,0.30749357110608105,ok,42,0,0.31982355557276509,1,ok,101,False,0.32043506539662792,ok,42
D285_F10_V01,285,10,detrended_51,real_all,C100,0.42078610553026968,494,ok,0.41767623047758923,ok,42,0,0.42078610553026968,1,ok,101,False,0.40091248364127441,ok,42
