scan_id,diameter_um,flow_mm_s,offset,n_common,baseline_common_C16,C16_change,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status
D235_F03_V01,235,3,xm,448,0.12170066149577605,-0.0065910279033399161,16,0,0.11510963359243613,0.049878978540558616,0.2062522254448354,16,0,0,0.11510963359243613,ok
D235_F03_V01,235,3,zp,448,0.12170066149577605,-0.0078613143975542754,16,0,0.11383934709822177,0.052529489006985008,0.17998017988909359,16,0,0,0.11383934709822177,ok
D235_F03_V01,235,3,zm,448,0.12170066149577605,0.0055726039747295564,16,0,0.1272732654705056,0.057966648975095618,0.2101676226264951,16,0,0,0.1272732654705056,ok
D235_F05_V01,235,5,baseline,424,0.16824267179182878,0,16,0,0.16824267179182878,0.1299685101288387,0.20767248972574973,16,0,0,0.16824267179182878,ok
D235_F05_V01,235,5,xp,424,0.16824267179182878,-0.0074232580732673803,16,0,0.1608194137185614,0.11212013015025418,0.21198165260926299,16,0,0,0.1608194137185614,ok
D235_F05_V01,235,5,xm,424,0.16824267179182878,-0.0089972899941552775,16,0,0.1592453817976735,0.089756742177503873,0.21280406056467799,16,0,0,0.1592453817976735,ok
D235_F05_V01,235,5,zp,424,0.16824267179182878,-0.0089830819048655752,16,0,0.1592595898869632,0.082167862236450312,0.23719246481515247,16,0,0,0.1592595898869632,ok
D235_F05_V01,235,5,zm,424,0.16824267179182878,-0.0014783198718119617,16,0,0.16676435192001682,0.12216505155416321,0.20987293252904754,16,0,0,0.16676435192001682,ok
D235_F07_V01,235,7,baseline,444,0.13413811612772078,0,16,0,0.13413811612772078,0.042664171826972429,0.22875324937682484,16,0,0,0.13413811612772078,ok
D235_F07_V01,235,7,xp,444,0.13413811612772078,-0.0027462505532070136,16,0,0.13139186557451377,0.029434410294563597,0.2425438115742303,16,0,0,0.13139186557451377,ok
D235_F07_V01,235,7,xm,444,0.13413811612772078,-0.015081517504498015,16,0,0.11905659862322276,0.04377014547004722,0.21702306180262756,16,0,0,0.11905659862322276,ok
D235_F07_V01,235,7,zp,444,0.13413811612772078,-0.021432939342425877,16,0,0.1127051767852949,0.052625912784595885,0.21334750299043539,16,0,0,0.1127051767852949,ok
D235_F07_V01,235,7,zm,444,0.13413811612772078,0.0095279541061757123,16,0,0.14366607023389649,0.041486095531332999,0.20883865267065946,16,0,0,0.14366607023389649,ok
D235_F10_V01,235,10,baseline,461,0.22051682113117782,0,16,0,0.22051682113117782,0.11503251962813714,0.35441887317765325,16,0,0,0.22051682113117782,ok
D235_F10_V01,235,10,xp,461,0.22051682113117782,-0.013824611507100321,16,0,0.2066922096240775,0.1048727065171875,0.34236867536876969,16,0,0,0.2066922096240775,ok
D235_F10_V01,235,10,xm,461,0.22051682113117782,0.008334557651639235,16,0,0.22885137878281706,0.11320189324195709,0.35871646591622169,16,0,0,0.22885137878281706,ok
D235_F10_V01,235,10,zp,461,0.22051682113117782,-0.016448601337441027,16,0,0.20406821979373679,0.11982563741235339,0.33454748110676974,16,0,0,0.20406821979373679,ok
D235_F10_V01,235,10,zm,461,0.22051682113117782,0.0069473788726824859,16,0,0.22746420000386031,0.15313431704211755,0.36092746623473781,16,0,0,0.22746420000386031,ok
D285_F01_V01,285,1,baseline,453,0.13749972230141777,0,16,0,0.13749972230141777,0.054059753164857137,0.27068061147744515,16,0,0,0.13749972230141777,ok
D285_F01_V01,285,1,xp,453,0.13749972230141777,-0.0016893667091844311,16,0,0.13581035559223334,0.068680327369947156,0.26877358920770117,16,0,0,0.13581035559223334,ok
D285_F01_V01,285,1,xm,453,0.13749972230141777,0.00016258854209905138,16,0,0.13766231084351682,0.048815071109449833,0.28674806258739366,16,0,0,0.13766231084351682,ok
D285_F01_V01,285,1,zp,453,0.13749972230141777,0.0089891895569169655,16,0,0.14648891185833474,0.05506317009773791,0.27169861178517651,16,0,0,0.14648891185833474,ok
D285_F01_V01,285,1,zm,453,0.13749972230141777,-0.0055848928887648475,16,0,0.13191482941265292,0.017573590985536635,0.25173917167425142,16,0,0,0.13191482941265292,ok
D285_F03_V01,285,3,baseline,474,0.083769997246192163,0,16,0,0.083769997246192163,0.045069260799951605,0.1447476044386172,16,0,0,0.083769997246192163,ok
D285_F03_V01,285,3,xp,474,0.083769997246192163,0.004223603264686987,16,0,0.08799360051087915,0.04934593498237165,0.15931208925745832,16,0,0,0.08799360051087915,ok
D285_F03_V01,285,3,xm,474,0.083769997246192163,0.0059315767629374017,16,0,0.089701574009129564,0.03000715584389433,0.13354168880667502,16,0,0,0.089701574009129564,ok
D285_F03_V01,285,3,zp,474,0.083769997246192163,-0.0097311489378537619,16,0,0.074038848308338401,-0.025406602260269046,0.15151482884026957,15,1,0,0.074038848308338401,ok
D285_F03_V01,285,3,zm,474,0.083769997246192163,-0.002004728543528192,16,0,0.081765268702663971,0.020814490906292438,0.13499685291475361,16,0,0,0.081765268702663971,ok
