diameter_um,region,metric,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,s2,left_median,local_contrast_profiles.csv,median,5,0,14756799.786971949,14214256.908261441,15206712.003780903,5,0,0,14613250.595451675,15206712.003780903,14756799.786971949,15012781.49905207,14214256.908261441
128,s2,real_mad,local_contrast_profiles.csv,median,5,0,92930815.475744218,56280784.528250098,94619012.802979857,5,0,0,90510286.349325001,94619012.802979857,94512472.547454298,56280784.528250098,92930815.475744218
128,s2,real_mean,local_contrast_profiles.csv,median,5,0,232781802.1724593,134168472.59084226,233265010.86938214,5,0,0,219617930.55933774,233265010.86938214,233145810.34523815,134168472.59084226,232781802.1724593
128,s2,real_median,local_contrast_profiles.csv,median,5,0,123914622.86184567,76919789.372152746,126845688.32691352,5,0,0,122381186.56805649,124086603.98779279,126845688.32691352,76919789.372152746,123914622.86184567
128,s2,real_minus_bg_mean,local_contrast_profiles.csv,median,5,0,210140502.90120578,112105574.17950033,211428414.17866313,5,0,0,198421541.48971379,210140502.90120578,211428414.17866313,112105574.17950033,210632740.35480598
128,s2,right_mad,local_contrast_profiles.csv,median,5,0,9652880.8694076519,9525768.4524379037,10004075.995908387,5,0,0,9525768.4524379037,9652880.8694076519,9831933.3785241954,10004075.995908387,9636958.8971631657
128,s2,right_mean,local_contrast_profiles.csv,median,5,0,20967363.681523185,20634078.853493385,21756059.798519235,5,0,0,20634078.853493385,21411144.7596852,20967363.681523185,21756059.798519235,20864836.900684208
128,s2,right_median,local_contrast_profiles.csv,median,5,0,14737046.820610086,14321254.693945698,14853442.262991739,5,0,0,14321254.693945698,14712451.16230532,14777804.306699703,14853442.262991739,14737046.820610086
128,s2,signed_asymmetry,local_contrast_profiles.csv,median,5,0,0.0029239605384071689,-0.027226547651161628,0.018055216278363477,3,2,0,0.0029239605384071689,0.018055216278363477,0.010895141782291022,-0.012433142262568891,-0.027226547651161628
128,s2,z_local,local_contrast_profiles.csv,median,5,0,7.3024439955882521,4.0869688020703432,7.6788105815099286,5,0,0,7.3024439955882521,7.3006300658549019,7.6788105815099286,4.0869688020703432,7.3860446728857241
128,s3,bg_mad,local_contrast_profiles.csv,median,5,0,10274732.171785751,10021652.46158395,10618901.922682758,5,0,0,10021652.46158395,10529846.418985529,10274732.171785751,10618901.922682758,10152410.288339525
128,s3,bg_mean,local_contrast_profiles.csv,median,5,0,21825814.521187712,21404084.581175011,22564943.914753757,5,0,0,21404084.581175011,22334920.712766059,21825814.521187712,22564943.914753757,21488196.987306833
