scan_id,diameter_um,flow_mm_s,region,metric,unit,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D235_F10_V01,235,10,tail100,area,um2,461,39,23500.000000000018,23500.000000000011,23500.000000000018,461,0,0
D235_F10_V01,235,10,tail500,Q,raw_SV_instrument_units_um2,461,39,3608695734532.9888,3141247472914.8252,5168417787836.9785,461,0,0
D235_F10_V01,235,10,tail500,area,um2,461,39,117499.99999999999,117499.99999999996,117499.99999999999,461,0,0
D285_F01_V01,285,1,source,Q,raw_SV_instrument_units_um2,453,47,13879456170210.967,9338938518491.0703,20750217748818.484,453,0,0
D285_F01_V01,285,1,source,area,um2,453,47,63795.562734375002,63787.585546875001,63800.548476562501,453,0,0
D285_F01_V01,285,1,tail100,Q,raw_SV_instrument_units_um2,453,47,1288636682505.6326,1009799609896.6221,2861561346373.2559,453,0,0
D285_F01_V01,285,1,tail100,area,um2,453,47,28500.000000000036,28499.999999999982,28500.000000000036,453,0,0
D285_F01_V01,285,1,tail500,Q,raw_SV_instrument_units_um2,453,47,4112782089352.0425,3633477998393.8428,6402953798093.2461,453,0,0
D285_F01_V01,285,1,tail500,area,um2,453,47,142500.00000000012,142500.00000000009,142500.00000000012,453,0,0
D285_F03_V01,285,3,source,Q,raw_SV_instrument_units_um2,474,26,14275005301788.434,9614949602380.457,23720361886309.047,474,0,0
D285_F03_V01,285,3,source,area,um2,474,26,63795.562734374995,63787.585546875001,63800.548476562501,474,0,0
D285_F03_V01,285,3,tail100,Q,raw_SV_instrument_units_um2,474,26,1292076580543.666,1034266854881.3066,12101300135954.764,474,0,0
D285_F03_V01,285,3,tail100,area,um2,474,26,28500.000000000036,28499.999999999982,28500.000000000036,474,0,0
D285_F03_V01,285,3,tail500,Q,raw_SV_instrument_units_um2,474,26,4171362918313.5703,3597311276872.5679,16679812887643.896,474,0,0
D285_F03_V01,285,3,tail500,area,um2,474,26,142500.00000000012,142500.00000000009,142500.00000000012,474,0,0
D285_F05_V01,285,5,source,Q,raw_SV_instrument_units_um2,492,8,14069263518895.035,9602321599366.8281,27083839976605.305,492,0,0
D285_F05_V01,285,5,source,area,um2,492,8,63795.562734374995,63787.585546875001,63800.216093750001,492,0,0
D285_F05_V01,285,5,tail100,Q,raw_SV_instrument_units_um2,492,8,1298251844455.6152,1035553177231.6082,1723819562963.2461,492,0,0
