scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F07_V01,128,7,12,275,300,287.5,RI,493,7,0.20750596193682114,0.069523225656531545,0.44460765279876757,493,0,0
D128_F07_V01,128,7,13,300,325,312.5,tail_mean,493,7,28664233.24762471,15376739.503094003,44811133.276245564,493,0,0
D128_F07_V01,128,7,13,300,325,312.5,RI,493,7,0.19804321715499554,0.068107857229937022,0.41079556200936274,493,0,0
D128_F07_V01,128,7,14,325,350,337.5,tail_mean,493,7,27904312.456430022,16436571.831040399,43753569.427435279,493,0,0
D128_F07_V01,128,7,14,325,350,337.5,RI,493,7,0.19147026604059655,0.066681017663196479,0.44931338344200111,493,0,0
D128_F07_V01,128,7,15,350,375,362.5,tail_mean,493,7,26679510.74379497,16213035.855843449,43277643.170212969,493,0,0
D128_F07_V01,128,7,15,350,375,362.5,RI,493,7,0.18644627067708763,0.054382605503067324,0.39466679758338036,493,0,0
D128_F07_V01,128,7,16,375,400,387.5,tail_mean,493,7,26427447.191511232,14183954.820039513,41558970.378744505,493,0,0
D128_F07_V01,128,7,16,375,400,387.5,RI,493,7,0.17908266695742611,0.072560237808202518,0.45698928008455214,493,0,0
D128_F07_V01,128,7,17,400,425,412.5,tail_mean,493,7,26053672.351922419,14712850.403713549,40625908.746327214,493,0,0
D128_F07_V01,128,7,17,400,425,412.5,RI,493,7,0.18130377618128293,0.055580285954978118,0.42018625636376217,493,0,0
D128_F07_V01,128,7,18,425,450,437.5,tail_mean,493,7,25745314.451248165,16020963.235143391,38950717.340263948,493,0,0
D128_F07_V01,128,7,18,425,450,437.5,RI,493,7,0.17544286408289844,0.068315793716403589,0.3627040307504294,493,0,0
D128_F07_V01,128,7,19,450,475,462.5,tail_mean,493,7,24671270.699635506,14119742.026726296,42732359.871699385,493,0,0
D128_F07_V01,128,7,19,450,475,462.5,RI,493,7,0.16877050531253585,0.069014286922454024,0.40481581779432269,493,0,0
D128_F07_V01,128,7,20,475,500,487.5,tail_mean,493,7,24652155.598575022,14225767.380387587,41471248.312050559,493,0,0
D128_F07_V01,128,7,20,475,500,487.5,RI,493,7,0.16976795475619746,0.054330132122038216,0.46588158924535289,493,0,0
D128_F10_V01,128,10,1,0,25,12.5,tail_mean,484,16,102543721.54942608,34809522.442162231,235072190.35134387,484,0,0
D128_F10_V01,128,10,1,0,25,12.5,RI,484,16,0.54165151434722592,0.18138245398810326,1.3568510815202353,484,0,0
D128_F10_V01,128,10,2,25,50,37.5,tail_mean,484,16,82327289.943060488,35923853.855998479,210334941.41055748,484,0,0
D128_F10_V01,128,10,2,25,50,37.5,RI,484,16,0.4301636550492674,0.1670453707615486,1.1809622363479182,484,0,0
D128_F10_V01,128,10,3,50,75,62.5,tail_mean,484,16,73983125.232675582,37839159.598374918,177071547.28581014,484,0,0
D128_F10_V01,128,10,3,50,75,62.5,RI,484,16,0.38925524130717881,0.12761512663837246,1.2048368772623179,484,0,0
D128_F10_V01,128,10,4,75,100,87.5,tail_mean,484,16,62909412.606104903,29839549.143116876,131719445.27453759,484,0,0
D128_F10_V01,128,10,4,75,100,87.5,RI,484,16,0.33246012297988825,0.11528894639400313,0.998878805374386,484,0,0
D128_F10_V01,128,10,5,100,125,112.5,tail_mean,484,16,52680924.033922009,28848366.206373896,102237768.91562587,484,0,0
D128_F10_V01,128,10,5,100,125,112.5,RI,484,16,0.27478077275712048,0.10539993987557991,0.58139839377460978,484,0,0
D128_F10_V01,128,10,6,125,150,137.5,tail_mean,484,16,47681584.489245176,25233867.828309517,79626817.216995984,484,0,0
D128_F10_V01,128,10,6,125,150,137.5,RI,484,16,0.24760248440859123,0.10719109270657437,0.58992942183783204,484,0,0
D128_F10_V01,128,10,7,150,175,162.5,tail_mean,484,16,43501441.172254659,18373133.228703406,108727754.55739459,484,0,0
D128_F10_V01,128,10,7,150,175,162.5,RI,484,16,0.22831779459143925,0.077619224674213158,0.53619623190496779,484,0,0
D128_F10_V01,128,10,8,175,200,187.5,tail_mean,484,16,39770886.584130466,23028741.453114495,68803321.928581476,484,0,0
D128_F10_V01,128,10,8,175,200,187.5,RI,484,16,0.20773492698939605,0.076042791442792468,0.40018528420191601,484,0,0
D128_F10_V01,128,10,9,200,225,212.5,tail_mean,484,16,36437755.495145127,20479322.49970508,60982893.068817139,484,0,0
D128_F10_V01,128,10,9,200,225,212.5,RI,484,16,0.18908242026505423,0.068416170216888728,0.53235393494221739,484,0,0
D128_F10_V01,128,10,10,225,250,237.5,tail_mean,484,16,34306811.982014194,11996400.792605218,53878285.029767923,484,0,0
D128_F10_V01,128,10,10,225,250,237.5,RI,484,16,0.17761803162564588,0.081160335503103226,0.43213777786617846,484,0,0
D128_F10_V01,128,10,11,250,275,262.5,tail_mean,484,16,31651291.023789778,17633500.719208118,54112009.098707356,484,0,0
D128_F10_V01,128,10,11,250,275,262.5,RI,484,16,0.16612709645135454,0.058013625401868565,0.33719941610201609,484,0,0
D128_F10_V01,128,10,12,275,300,287.5,tail_mean,484,16,29394441.597940058,17063364.289082464,50511104.718827412,484,0,0
D128_F10_V01,128,10,12,275,300,287.5,RI,484,16,0.15527529270492546,0.050053128145689331,0.35811951447135398,484,0,0
