scan_id,diameter_um,flow_mm_s,mode,support,pair,mean_mean_rho,actual_q_q_rho,actual_q_minus_mean,theoretical_q_q_rho,theoretical_scale_error,n_pairs,status
D128_F05_V01,128,5,detrended_51,real_all,W500,0.43616941495554823,0.43628022087727836,0.00011080592173012827,0.43616941495554823,0,491,ok
D128_F05_V01,128,5,detrended_51,real_all,C100,0.36283115078167394,0.36290571426910034,7.4563487426404507e-05,0.36283115078167394,0,491,ok
D128_F07_V01,128,7,raw,real_all,W100,0.33229166061605842,0.33229506564801464,3.4050319562273224e-06,0.33229166061605842,0,493,ok
D128_F07_V01,128,7,raw,real_all,W500,0.40341716989366888,0.40343089016949246,1.3720275823581041e-05,0.40341716989366888,0,493,ok
D128_F07_V01,128,7,raw,real_all,C100,0.30621672707927777,0.3061698578158803,-4.6869263397475436e-05,0.30621672707927777,0,493,ok
D128_F07_V01,128,7,detrended_51,real_all,W100,0.37031581189108004,0.37032938196359205,1.3570072512014697e-05,0.37031581189108004,0,493,ok
D128_F07_V01,128,7,detrended_51,real_all,W500,0.43367138160144919,0.4337049313826149,3.354978116570928e-05,0.43367138160144919,0,493,ok
D128_F07_V01,128,7,detrended_51,real_all,C100,0.33710371179678894,0.33707226527008033,-3.14465267086117e-05,0.33710371179678894,0,493,ok
D128_F10_V01,128,10,raw,real_all,W100,0.3301647865194583,0.33028036305001385,0.00011557653055555006,0.3301647865194583,0,484,ok
D128_F10_V01,128,10,raw,real_all,W500,0.37827319984526292,0.37844952814187971,0.00017632829661679006,0.37827319984526292,0,484,ok
D128_F10_V01,128,10,raw,real_all,C100,0.34497625759595524,0.34500800939006393,3.1751794108692e-05,0.34497625759595524,0,484,ok
D128_F10_V01,128,10,detrended_51,real_all,W100,0.32092406318079902,0.32108642240211699,0.00016235922131796476,0.32092406318079902,0,484,ok
D128_F10_V01,128,10,detrended_51,real_all,W500,0.34910448362642715,0.34921307596908302,0.00010859234265586659,0.34910448362642715,0,484,ok
D128_F10_V01,128,10,detrended_51,real_all,C100,0.34115335738867858,0.34121421518567774,6.0857796999158609e-05,0.34115335738867858,0,484,ok
D235_F01_V01,235,1,raw,real_all,W100,0.23027615965595219,0.23007890657197094,-0.00019725308398124697,0.23027615965595219,0,448,ok
D235_F01_V01,235,1,raw,real_all,W500,0.32697020864518361,0.32682447091331113,-0.00014573773187248618,0.32697020864518361,0,448,ok
D235_F01_V01,235,1,raw,real_all,C100,0.51008406344556023,0.51010795268915476,2.3889243594532594e-05,0.51008406344556023,0,448,ok
D235_F01_V01,235,1,detrended_51,real_all,W100,0.24619252799692723,0.24606587445671788,-0.00012665354020935382,0.24619252799692723,0,448,ok
D235_F01_V01,235,1,detrended_51,real_all,W500,0.33998536204905688,0.33982801208405022,-0.00015734996500665899,0.33998536204905688,0,448,ok
D235_F01_V01,235,1,detrended_51,real_all,C100,0.39241701973925625,0.39250670450331626,8.9684764060016242e-05,0.39241701973925625,0,448,ok
D235_F03_V01,235,3,raw,real_all,W100,0.21562578073784933,0.21561029944032439,-1.5481297524932991e-05,0.21562578073784933,0,448,ok
D235_F03_V01,235,3,raw,real_all,W500,0.31178158771916714,0.31178786031385397,6.2725946868291693e-06,0.31178158771916714,0,448,ok
D235_F03_V01,235,3,raw,real_all,C100,0.37539116968142694,0.37528453557175101,-0.00010663410967592934,0.37539116968142694,0,448,ok
D235_F03_V01,235,3,detrended_51,real_all,W100,0.25799815011656796,0.25794289784423485,-5.5252272333106145e-05,0.25799815011656796,0,448,ok
