diameter_um,mode,pair,source_table,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10,region,side,offset
128,,,fixed_region_control_excess.csv,real_minus_L_value,5,0,0.12611221540686646,0.074259517480519288,0.16945493506576598,5,0,0,0.12611221540686646,0.074259517480519288,0.16945493506576598,0.10302801608522411,0.1490523674647021,,,
128,,,fixed_region_control_excess.csv,real_minus_R_value,5,0,0.10753253138710109,0.082904655221812285,0.12721885288172452,5,0,0,0.12721885288172452,0.082904655221812285,0.10753253138710109,0.11100699186205233,0.10618901531264101,,,
235,,,fixed_region_control_excess.csv,real_matched_rho_value,5,0,0.16824267179182878,0.12170066149577605,0.22051682113117782,5,0,0,0.18218801676042404,0.12170066149577605,0.16824267179182878,0.13413811612772078,0.22051682113117782,,,
235,,,fixed_region_control_excess.csv,left_rho_value,5,0,0.023803614574668272,0.0017086258507451114,0.072373671520639657,5,0,0,0.023803614574668272,0.024687600968816094,0.0017086258507451114,0.0030029499632175599,0.072373671520639657,,,
235,,,fixed_region_control_excess.csv,right_rho_value,5,0,0.015016811460331094,0.0013465756129594848,0.07099609694525981,5,0,0,0.0013465756129594848,0.028697917914410159,0.015016811460331094,0.013824967013103928,0.07099609694525981,,,
235,,,fixed_region_control_excess.csv,excess_cell_value,5,0,0.13205178920671926,0.097172600575523294,0.15840708553889274,5,0,0,0.14933695739365249,0.097172600575523294,0.15840708553889274,0.11718598786713402,0.13205178920671926,,,
235,,,fixed_region_control_excess.csv,real_minus_L_value,5,0,0.13514394593746942,0.10637461093484757,0.16604985111785869,5,0,0,0.15426969321419495,0.10637461093484757,0.16604985111785869,0.13077776983046377,0.13514394593746942,,,
235,,,fixed_region_control_excess.csv,real_minus_R_value,5,0,0.12775203589243317,0.10075048934944289,0.16192867824303142,5,0,0,0.16192867824303142,0.10075048934944289,0.131078351176831,0.12469404662098035,0.12775203589243317,,,
285,,,fixed_region_control_excess.csv,real_matched_rho_value,5,0,0.13442732449436331,0.083769997246192163,0.17159429904284068,5,0,0,0.13749972230141777,0.083769997246192163,0.13442732449436331,0.10966066457883336,0.17159429904284068,,,
285,,,fixed_region_control_excess.csv,left_rho_value,5,0,0.050351278847964351,0.042812388327475318,0.065638240117024738,5,0,0,0.065638240117024738,0.050351278847964351,0.048737968805769971,0.064279892833867924,0.042812388327475318,,,
285,,,fixed_region_control_excess.csv,right_rho_value,5,0,0.04849987359055466,0.017542588798615349,0.082495673898483113,5,0,0,0.082495673898483113,0.04849987359055466,0.017542588798615349,0.033543427161040376,0.071517198912454422,,,
285,,,fixed_region_control_excess.csv,excess_cell_value,5,0,0.078852433297037838,0.037704271512421665,0.12567746189319751,5,0,0,0.078852433297037838,0.037704271512421665,0.080785603393230987,0.069789840423362087,0.12567746189319751,,,
285,,,fixed_region_control_excess.csv,real_minus_L_value,5,0,0.078153041947956442,0.035248390275076792,0.13187240497421002,5,0,0,0.077915128838963982,0.035248390275076792,0.082533950863185032,0.078153041947956442,0.13187240497421002,,,
285,,,fixed_region_control_excess.csv,real_minus_R_value,5,0,0.087304514267733335,0.032814563945051653,0.10782269718474993,5,0,0,0.087304514267733335,0.032814563945051653,0.10443660888638304,0.05859835346214326,0.10782269718474993,,,
128,,,background_drift.csv,RCV,5,0,0.098904322857592805,0.093188987153229402,0.10319752155836057,5,0,0,0.093188987153229402,0.10319752155836057,0.098904322857592805,0.097396965750783868,0.099532353642235546,source,bg,
128,,,background_drift.csv,signed_difference,5,0,-1378478.2919437215,-2345554.9976688176,-1210307.8020346221,0,5,0,-2281603.7614606824,-1210307.8020346221,-2345554.9976688176,-1378478.2919437215,-1231732.55926539,source,bg,
128,,,background_drift.csv,absolute_difference,5,0,1378478.2919437215,1210307.8020346221,2345554.9976688176,5,0,0,2281603.7614606824,1210307.8020346221,2345554.9976688176,1378478.2919437215,1231732.55926539,source,bg,
128,,,background_drift.csv,relative_difference,5,0,-0.089679361198455917,-0.1549437470881119,-0.07791163651626562,0,5,0,-0.15151678141346619,-0.07791163651626562,-0.1549437470881119,-0.089679361198455917,-0.082540897090050247,source,bg,
128,,,background_drift.csv,RCV,5,0,0.1310680164859668,0.12027493367431445,0.14162790323039304,5,0,0,0.14162790323039304,0.1310680164859668,0.12027493367431445,0.12765184256193071,0.13418283996316105,source,left,
128,,,background_drift.csv,signed_difference,5,0,-1630796.2718972582,-1957574.3360814266,-1296869.3176526334,0,5,0,-1630796.2718972582,-1622623.137897091,-1957574.3360814266,-1296869.3176526334,-1700464.0656617898,source,left,
128,,,background_drift.csv,absolute_difference,5,0,1630796.2718972582,1296869.3176526334,1957574.3360814266,5,0,0,1630796.2718972582,1622623.137897091,1957574.3360814266,1296869.3176526334,1700464.0656617898,source,left,
128,,,background_drift.csv,relative_difference,5,0,-0.10832701160425388,-0.12957676484367428,-0.085021661570123086,0,5,0,-0.10832701160425388,-0.10413818907336063,-0.12957676484367428,-0.085021661570123086,-0.11522510262389303,source,left,
128,,,background_drift.csv,RCV,5,0,0.13342419611649559,0.12722589391824712,0.13575235527634064,5,0,0,0.13575235527634064,0.12909514570634059,0.13342419611649559,0.13502286577222838,0.12722589391824712,source,right,
128,,,background_drift.csv,signed_difference,5,0,-1938408.4639934171,-2690279.1090473775,-1042628.1844905913,0,5,0,-1956964.1344744191,-1111720.3228320722,-2690279.1090473775,-1042628.1844905913,-1938408.4639934171,source,right,
