scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,14,325,350,337.5,False,0.11361799164662477,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,15,350,375,362.5,False,0.037439196352352447,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,16,375,400,387.5,False,0.063954764254083682,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,17,400,425,412.5,False,0.0690194102456268,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,18,425,450,437.5,False,0.074563538975002841,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,19,450,475,462.5,False,-0.021501768092571177,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,4,0.5,0.66666666666666663,0.58333333333333337,20,475,500,487.5,False,0.001823878200437388,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.18536493346415131,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.20091387711739825,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.11851549658338802,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.11863211498219586,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,5,100,125,112.5,False,0.14812720755758713,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,6,125,150,137.5,False,0.12425345858818891,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,7,150,175,162.5,False,0.10913069742447383,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,8,175,200,187.5,False,0.15410229370925441,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,9,200,225,212.5,False,0.12142726656186664,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,10,225,250,237.5,False,0.082804118344519201,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,11,250,275,262.5,False,0.018360859159179625,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,12,275,300,287.5,False,0.08020644238687985,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,13,300,325,312.5,False,0.024936423689489725,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,14,325,350,337.5,False,0.02267861366403091,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,15,350,375,362.5,False,0.019701882606052892,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,16,375,400,387.5,False,0.071263236518894726,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,17,400,425,412.5,False,-0.0028875060207697667,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,18,425,450,437.5,False,0.094643483580056822,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,5,0.66666666666666663,0.83333333333333337,0.75,19,450,475,462.5,False,0.092960893820135004,486,ok
