scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status,baseline_common_rho,rho_change
D235_F05_V01,235,5,zp,five_position_common,detrended_51,424,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.14785375423500824,424,ok,0.15021891045386018,-0.0023651562188519437
D235_F05_V01,235,5,zp,five_position_common,detrended_51,424,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.11517427092286679,424,ok,0.14478004435762676,-0.029605773434759966
D235_F05_V01,235,5,zp,five_position_common,detrended_51,424,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.14402071401697977,424,ok,0.16877525966580118,-0.024754545648821402
D235_F05_V01,235,5,zp,five_position_common,detrended_51,424,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.16464546810632105,424,ok,0.18295839981497297,-0.018312931708651919
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.19722058024868014,424,ok,0.20767248972574973,-0.010451909477069588
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.14407988301400759,424,ok,0.1310206671844851,0.013059215829522491
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.17353597693347411,424,ok,0.17710350647057022,-0.0035675295370961035
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.13133386951312587,424,ok,0.1482173385895309,-0.016883469076405033
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.19432599572230699,424,ok,0.16771008391785638,0.026615911804450609
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.19197631750556707,424,ok,0.1734814078632502,0.01849490964231687
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.16550928139811022,424,ok,0.1299685101288387,0.035540771269271521
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.12258173803005394,424,ok,0.15506128864112795,-0.032479550611074007
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.18173198170716198,424,ok,0.17863954783049513,0.0030924338766668558
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.17280939918707697,424,ok,0.14909586298839622,0.023713536198680746
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.20987293252904754,424,ok,0.17759822041422912,0.032274712114818416
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.15029637149822098,424,ok,0.18625617538724032,-0.035959803889019343
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.14032980364362718,424,ok,0.15021891045386018,-0.0098891068102330004
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.12216505155416321,424,ok,0.14478004435762676,-0.022614992803463546
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.16801942244192339,424,ok,0.16877525966580118,-0.00075583722387778662
D235_F05_V01,235,5,zm,five_position_common,detrended_51,424,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.14273198603736506,424,ok,0.18295839981497297,-0.040226413777607911
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.19372045319919728,444,ok,0.19372045319919728,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.17307192159018697,444,ok,0.17307192159018697,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.22133045242072749,444,ok,0.22133045242072749,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.17050399387167486,444,ok,0.17050399387167486,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.22875324937682484,444,ok,0.22875324937682484,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.1468034642219487,444,ok,0.1468034642219487,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.11831795766106105,444,ok,0.11831795766106105,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.12907574281164333,444,ok,0.12907574281164333,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.13920048944379823,444,ok,0.13920048944379823,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.042664171826972429,444,ok,0.042664171826972429,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.084608298696377635,444,ok,0.084608298696377635,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.072228628179784857,444,ok,0.072228628179784857,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.060120150226342366,444,ok,0.060120150226342366,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.09709968029840825,444,ok,0.09709968029840825,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.080328610311872981,444,ok,0.080328610311872981,0
D235_F07_V01,235,7,baseline,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.15544602704843075,444,ok,0.15544602704843075,0
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.19686925081918979,444,ok,0.19372045319919728,0.0031487976199925105
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.15137908247647425,444,ok,0.17307192159018697,-0.021692839113712725
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.2425438115742303,444,ok,0.22133045242072749,0.021213359153502809
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.18628010936121045,444,ok,0.17050399387167486,0.015776115489535586
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.2096263984497802,444,ok,0.22875324937682484,-0.019126850927044636
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.13252063585054316,444,ok,0.1468034642219487,-0.014282828371405543
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.12781155176675255,444,ok,0.11831795766106105,0.0094935941056914913
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.12544483510065471,444,ok,0.12907574281164333,-0.0036309077109886179
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.13026309529848434,444,ok,0.13920048944379823,-0.0089373941453138872
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.029434410294563597,444,ok,0.042664171826972429,-0.013229761532408832
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.081288619543909882,444,ok,0.084608298696377635,-0.0033196791524677527
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.096059854175916046,444,ok,0.072228628179784857,0.023831225996131189
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.091026787696169953,444,ok,0.060120150226342366,0.030906637469827587
D235_F07_V01,235,7,xp,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.14772098212651774,444,ok,0.09709968029840825,0.050621301828109491
