scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,mode,rho,n_pairs,status,support
D128_F05_V01,128,5,9,200,225,212.5,detrended_51,0.018877732788545955,491,ok,real_L_R_common
D128_F05_V01,128,5,10,225,250,237.5,raw,0.10954259802376069,491,ok,real_L_R_common
D128_F05_V01,128,5,10,225,250,237.5,detrended_51,0.071261591583425057,491,ok,real_L_R_common
D128_F05_V01,128,5,11,250,275,262.5,raw,0.062677928953112222,491,ok,real_L_R_common
D128_F05_V01,128,5,11,250,275,262.5,detrended_51,0.0015990340710943139,491,ok,real_L_R_common
D128_F05_V01,128,5,12,275,300,287.5,raw,0.14444541315607262,491,ok,real_L_R_common
D128_F05_V01,128,5,12,275,300,287.5,detrended_51,0.11810725136317078,491,ok,real_L_R_common
D128_F05_V01,128,5,13,300,325,312.5,raw,0.11087367538540924,491,ok,real_L_R_common
D128_F05_V01,128,5,13,300,325,312.5,detrended_51,0.071257123153829816,491,ok,real_L_R_common
D128_F05_V01,128,5,14,325,350,337.5,raw,0.055027427492779439,491,ok,real_L_R_common
D128_F05_V01,128,5,14,325,350,337.5,detrended_51,-0.018262173109796567,491,ok,real_L_R_common
D128_F05_V01,128,5,15,350,375,362.5,raw,0.11291834403027516,491,ok,real_L_R_common
D128_F05_V01,128,5,15,350,375,362.5,detrended_51,0.11244693539388617,491,ok,real_L_R_common
D128_F05_V01,128,5,16,375,400,387.5,raw,0.12556368034273468,491,ok,real_L_R_common
D128_F05_V01,128,5,16,375,400,387.5,detrended_51,0.052640985829179004,491,ok,real_L_R_common
D128_F05_V01,128,5,17,400,425,412.5,raw,0.066214762692121704,491,ok,real_L_R_common
D128_F05_V01,128,5,17,400,425,412.5,detrended_51,-0.0027122400858633875,491,ok,real_L_R_common
D128_F05_V01,128,5,18,425,450,437.5,raw,0.1475722791227663,491,ok,real_L_R_common
D128_F05_V01,128,5,18,425,450,437.5,detrended_51,0.076159679324470139,491,ok,real_L_R_common
D128_F05_V01,128,5,19,450,475,462.5,raw,-0.049421087793321092,491,ok,real_L_R_common
D128_F05_V01,128,5,19,450,475,462.5,detrended_51,-0.1116254984457879,491,ok,real_L_R_common
D128_F05_V01,128,5,20,475,500,487.5,raw,0.11994801397783295,491,ok,real_L_R_common
