scan_id,diameter_um,flow_mm_s,mode,pair,metric,baseline_51,value,change
D128_F05_V01,128,5,detrended_101,C100,rho0,0.36283115078167394,0.35168857930997716,-0.011142571471696783
D128_F05_V01,128,5,detrended_101,C100,specificity,0.35053214202822397,0.37511421985265947,0.0245820778244355
D128_F07_V01,128,7,detrended_31,C16,rho_median,0.1424681488875999,0.14697038487463804,0.004502235987038139
D128_F07_V01,128,7,detrended_31,W100,rho0,0.37031581189108004,0.35308123537863112,-0.017234576512448918
D128_F07_V01,128,7,detrended_31,W100,specificity,0.36566146340965749,0.35037706838364863,-0.015284395026008868
D128_F07_V01,128,7,detrended_31,W500,rho0,0.43367138160144919,0.43241406432492135,-0.0012573172765278362
D128_F07_V01,128,7,detrended_31,W500,specificity,0.43907919496903425,0.43222601815300776,-0.006853176816026485
D128_F07_V01,128,7,detrended_31,C100,rho0,0.33710371179678894,0.33188219318152057,-0.0052215186152683724
D128_F07_V01,128,7,detrended_31,C100,specificity,0.32424658146510449,0.33678635163039666,0.012539770165292174
D128_F07_V01,128,7,detrended_101,C16,rho_median,0.1424681488875999,0.14446165801074196,0.0019935091231420565
D128_F07_V01,128,7,detrended_101,W100,rho0,0.37031581189108004,0.3279586524595105,-0.042357159431569535
D128_F07_V01,128,7,detrended_101,W100,specificity,0.36566146340965749,0.33614808205353397,-0.029513381356123525
D128_F07_V01,128,7,detrended_101,W500,rho0,0.43367138160144919,0.38675940941407949,-0.046911972187369699
D128_F07_V01,128,7,detrended_101,W500,specificity,0.43907919496903425,0.40071689335897354,-0.038362301610060712
D128_F07_V01,128,7,detrended_101,C100,rho0,0.33710371179678894,0.28731106151170238,-0.049792650285086559
D128_F07_V01,128,7,detrended_101,C100,specificity,0.32424658146510449,0.2760692456427033,-0.048177335822401191
D128_F10_V01,128,10,detrended_31,C16,rho_median,0.15286226842553513,0.1566865676606658,0.0038242992351306682
D128_F10_V01,128,10,detrended_31,W100,rho0,0.32092406318079902,0.36167526640111453,0.040751203220315502
D128_F10_V01,128,10,detrended_31,W100,specificity,0.3365668316651132,0.3790304830190841,0.042463651353970899
D128_F10_V01,128,10,detrended_31,W500,rho0,0.34910448362642715,0.39252637059792894,0.043421886971501789
D128_F10_V01,128,10,detrended_31,W500,specificity,0.37963812001815261,0.40919507841957625,0.029556958401423639
D128_F10_V01,128,10,detrended_31,C100,rho0,0.34115335738867858,0.37266202663798625,0.031508669249307675
D128_F10_V01,128,10,detrended_31,C100,specificity,0.36510810054084386,0.39895988387351228,0.033851783332668417
D128_F10_V01,128,10,detrended_101,C16,rho_median,0.15286226842553513,0.1534366142674301,0.00057434584189497428
D128_F10_V01,128,10,detrended_101,W100,rho0,0.32092406318079902,0.34589301825027069,0.024968955069471666
D128_F10_V01,128,10,detrended_101,W100,specificity,0.3365668316651132,0.38183723172172984,0.045270400056616644
D128_F10_V01,128,10,detrended_101,W500,rho0,0.34910448362642715,0.35975263761527176,0.010648153988844611
D128_F10_V01,128,10,detrended_101,W500,specificity,0.37963812001815261,0.41082346070594661,0.031185340687793994
D128_F10_V01,128,10,detrended_101,C100,rho0,0.34115335738867858,0.34934835301222539,0.008194995623546808
D128_F10_V01,128,10,detrended_101,C100,specificity,0.36510810054084386,0.39574039484620332,0.030632294305359464
D235_F01_V01,235,1,detrended_31,C16,rho_median,0.18218801676042404,0.11114102409965383,-0.071046992660770206
D235_F01_V01,235,1,detrended_31,W100,rho0,0.24619252799692723,0.15181370277432496,-0.094378825222602269
D235_F01_V01,235,1,detrended_31,W100,specificity,0.24527921401177588,0.15935024068762269,-0.085928973324153196
D235_F01_V01,235,1,detrended_31,W500,rho0,0.33998536204905688,0.25693099355168469,-0.083054368497372189
D235_F01_V01,235,1,detrended_31,W500,specificity,0.35083251842211205,0.2713606543142264,-0.079471864107885648
D235_F01_V01,235,1,detrended_31,C100,rho0,0.39241701973925625,0.23099779768440432,-0.16141922205485193
D235_F01_V01,235,1,detrended_31,C100,specificity,0.39210583513723413,0.23793777001715188,-0.15416806512008224
D235_F01_V01,235,1,detrended_101,C16,rho_median,0.18218801676042404,0.26228837715869091,0.080100360398266873
D235_F01_V01,235,1,detrended_101,W100,rho0,0.24619252799692723,0.34626176482884341,0.10006923683191618
D235_F01_V01,235,1,detrended_101,W100,specificity,0.24527921401177588,0.48448782504697468,0.2392086110351988
D235_F01_V01,235,1,detrended_101,W500,rho0,0.33998536204905688,0.43962174367938245,0.099636381630325566
D235_F01_V01,235,1,detrended_101,W500,specificity,0.35083251842211205,0.61074142437763712,0.25990890595552507
D235_F01_V01,235,1,detrended_101,C100,rho0,0.39241701973925625,0.50833843176365323,0.11592141202439699
D235_F01_V01,235,1,detrended_101,C100,specificity,0.39210583513723413,0.70767429952893746,0.31556846439170333
D235_F03_V01,235,3,detrended_31,C16,rho_median,0.12170066149577605,0.069743074304317781,-0.051957587191458265
D235_F03_V01,235,3,detrended_31,W100,rho0,0.25799815011656796,0.21908134382024139,-0.038916806296326573
D235_F03_V01,235,3,detrended_31,W100,specificity,0.2390157689347065,0.20747494277573106,-0.031540826158975438
D235_F03_V01,235,3,detrended_31,W500,rho0,0.32820670645012101,0.28535325006394446,-0.042853456386176547
D235_F03_V01,235,3,detrended_31,W500,specificity,0.31419976074783146,0.28018902320110933,-0.034010737546722125
D235_F03_V01,235,3,detrended_31,C100,rho0,0.3042269175368118,0.20160572340366684,-0.10262119413314497
D235_F03_V01,235,3,detrended_31,C100,specificity,0.32794685789859829,0.20352262921757228,-0.12442422868102601
D235_F03_V01,235,3,detrended_101,C16,rho_median,0.12170066149577605,0.16987837613854687,0.048177714642770819
D235_F03_V01,235,3,detrended_101,W100,rho0,0.25799815011656796,0.34621093729016644,0.088212787173598484
D235_F03_V01,235,3,detrended_101,W100,specificity,0.2390157689347065,0.45094477707435165,0.21192900813964516
D235_F03_V01,235,3,detrended_101,W500,rho0,0.32820670645012101,0.41331119192240601,0.085104485472284996
D235_F03_V01,235,3,detrended_101,W500,specificity,0.31419976074783146,0.51452030920259473,0.20032054845476327
D235_F03_V01,235,3,detrended_101,C100,rho0,0.3042269175368118,0.40897378779351051,0.10474687025669871
D235_F03_V01,235,3,detrended_101,C100,specificity,0.32794685789859829,0.56269761315323286,0.23475075525463457
D235_F05_V01,235,5,detrended_31,C16,rho_median,0.16824267179182878,0.11015532636526858,-0.058087345426560202
D235_F05_V01,235,5,detrended_31,W100,rho0,0.28455510714342497,0.21689486287646587,-0.067660244266959102
