diameter_um,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
285,1,0,25,12.5,RI,raw_depth_profiles.csv,median,5,0,0.24863352179211617,0.24389886820513396,0.25334675182218108,5,0,0,0.25334675182218108,0.24616849358467374,0.24863352179211617,0.25048870095591536,0.24389886820513396
285,1,0,25,12.5,tail_mean,raw_depth_profiles.csv,median,5,0,54969688.082742766,52660334.088566825,55569714.707243532,5,0,0,55253462.578777619,54969688.082742766,55569714.707243532,54600904.971957259,52660334.088566825
285,2,25,50,37.5,RI,raw_depth_profiles.csv,median,5,0,0.21094770114125699,0.20867388276326179,0.21541021825715667,5,0,0,0.21541021825715667,0.21094770114125699,0.20867388276326179,0.21481961633060995,0.20877139343707907
285,2,25,50,37.5,tail_mean,raw_depth_profiles.csv,median,5,0,46686337.597323954,45310926.502108693,47464414.872895487,5,0,0,47073055.832983211,47464414.872895487,46686337.597323954,46632715.541647211,45310926.502108693
285,3,50,75,62.5,RI,raw_depth_profiles.csv,median,5,0,0.18449271943734946,0.18284948456272612,0.18998104468149776,5,0,0,0.18353088188102229,0.18284948456272612,0.18449271943734946,0.18998104468149776,0.18608651021229616
285,3,50,75,62.5,tail_mean,raw_depth_profiles.csv,median,5,0,41198656.032647364,39971292.884658098,41358907.914068468,5,0,0,40406813.702841572,41198656.032647364,41246609.877343841,41358907.914068468,39971292.884658098
285,4,75,100,87.5,RI,raw_depth_profiles.csv,median,5,0,0.16745984812560374,0.1645398278450893,0.17318758778573839,5,0,0,0.16745984812560374,0.16591365450038767,0.1645398278450893,0.17318758778573839,0.16779221766096736
285,4,75,100,87.5,tail_mean,raw_depth_profiles.csv,median,5,0,37045181.311018437,35563636.405759737,37499243.432215564,5,0,0,36786718.863681331,37201036.948503748,37045181.311018437,37499243.432215564,35563636.405759737
285,5,100,125,112.5,RI,raw_depth_profiles.csv,median,5,0,0.15094811377139572,0.14869948076065254,0.15696457290761617,5,0,0,0.154345487520722,0.14869948076065254,0.14930744056994402,0.15696457290761617,0.15094811377139572
285,5,100,125,112.5,tail_mean,raw_depth_profiles.csv,median,5,0,33519052.115731709,32810256.018566646,34153504.870900624,5,0,0,33480623.049332391,33744171.226528466,33519052.115731709,34153504.870900624,32810256.018566646
285,6,125,150,137.5,RI,raw_depth_profiles.csv,median,5,0,0.13973256885656471,0.13592459701536841,0.14458043913309165,5,0,0,0.14021392666920893,0.13792706184200387,0.13592459701536841,0.14458043913309165,0.13973256885656471
285,6,125,150,137.5,tail_mean,raw_depth_profiles.csv,median,5,0,30732400.833323125,29803003.147389367,31563132.099649198,5,0,0,30583390.546623662,31038806.165203117,30732400.833323125,31563132.099649198,29803003.147389367
285,7,150,175,162.5,RI,raw_depth_profiles.csv,median,5,0,0.12916387266335844,0.12865747243871392,0.13561674889651226,5,0,0,0.12979116957768833,0.12881710751064801,0.12865747243871392,0.13561674889651226,0.12916387266335844
285,7,150,175,162.5,tail_mean,raw_depth_profiles.csv,median,5,0,28888990.486161947,28242009.78484029,29509072.305367142,5,0,0,28557569.80555848,28888990.486161947,28896093.571807142,29509072.305367142,28242009.78484029
