scan_id,diameter_um,flow_mm_s,frame_lo,frame_hi,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,400,499,RI100,92,92,8,0.51574674114642827,0.30646374775957386,0.94832411826858309,92,0,0
D128_F01_V01,128,1,400,499,RI500,92,92,8,0.26585089569749887,0.16766875503966577,0.44000770225185187,92,0,0
D128_F03_V01,128,3,0,99,source,94,94,6,197386264.81018126,110293985.18617028,399826702.86710918,94,0,0
D128_F03_V01,128,3,0,99,tail100,94,94,6,83740818.449942619,50012891.432616271,159701237.70834273,94,0,0
D128_F03_V01,128,3,0,99,tail500,94,94,6,43728975.332348131,33062729.013837464,67026219.436174043,94,0,0
D128_F03_V01,128,3,0,99,RI100,94,94,6,0.42041119913198099,0.19016133827739765,0.73120427898743168,94,0,0
D128_F03_V01,128,3,0,99,RI500,94,94,6,0.22276914194393754,0.12869176694952766,0.35958652214735659,94,0,0
D128_F03_V01,128,3,100,199,source,95,95,5,221505344.6193032,130650264.31498063,453648458.58642107,95,0,0
D128_F03_V01,128,3,100,199,tail100,95,95,5,81812751.915065408,59666967.53986574,116351133.21354914,95,0,0
D128_F03_V01,128,3,100,199,tail500,95,95,5,42517985.763798326,35769977.984402694,53409965.178778782,95,0,0
D128_F03_V01,128,3,100,199,RI100,95,95,5,0.36213954718344721,0.17670599474432483,0.72804082092630762,95,0,0
D128_F03_V01,128,3,100,199,RI500,95,95,5,0.19295924680369061,0.096022638057956952,0.3136933535510103,95,0,0
D128_F03_V01,128,3,200,299,source,87,87,13,173377378.53657657,62181293.843998581,299760051.1150822,87,0,0
D128_F03_V01,128,3,200,299,tail100,87,87,13,77125151.197536752,39955806.261068031,110615182.5439072,87,0,0
D128_F03_V01,128,3,200,299,tail500,87,87,13,40879654.111158349,26322984.725532059,49396323.496133588,87,0,0
D128_F03_V01,128,3,200,299,RI100,87,87,13,0.46124415997743246,0.2216955249920822,0.6485885252359298,87,0,0
D128_F03_V01,128,3,200,299,RI500,87,87,13,0.24566673901263522,0.12223848045241377,0.43264302762823414,87,0,0
D128_F03_V01,128,3,300,399,source,100,100,0,188985655.94362748,100728085.03465614,346149872.07969707,100,0,0
