scan_id,diameter_um,flow_mm_s,region,side,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F05_V01,128,5,t15,right,491,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,491,0
D128_F05_V01,128,5,t16,left,491,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,491,0
D128_F05_V01,128,5,t16,real,491,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,491,0
D128_F05_V01,128,5,t16,right,491,0,-4.973799150320701e-15,-8.1001871876651414e-15,-2.1316282072803005e-15,0,491,0
D128_F05_V01,128,5,t17,left,491,0,1.0231815394945442e-14,9.947598300641402e-15,1.0231815394945442e-14,491,0,0
D128_F05_V01,128,5,t17,real,491,0,1.0231815394945442e-14,1.0231815394945442e-14,1.0231815394945442e-14,491,0,0
D128_F05_V01,128,5,t17,right,491,0,1.0231815394945442e-14,7.247535904753022e-15,1.3216094885137864e-14,491,0,0
D128_F05_V01,128,5,t18,left,491,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,491,0
D128_F05_V01,128,5,t18,real,491,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,491,0
D128_F05_V01,128,5,t18,right,491,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,491,0
D128_F05_V01,128,5,t19,left,491,0,-4.973799150320701e-15,-4.973799150320701e-15,-4.973799150320701e-15,0,491,0
D128_F05_V01,128,5,t19,real,491,0,-4.973799150320701e-15,-4.973799150320701e-15,-4.973799150320701e-15,0,491,0
D128_F05_V01,128,5,t19,right,491,0,-4.973799150320701e-15,-7.8159700933611027e-15,-2.1316282072803005e-15,0,491,0
D128_F05_V01,128,5,t20,left,491,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,491,0
D128_F05_V01,128,5,t20,real,491,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,491,0
