scan_id,diameter_um,flow_mm_s,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,n_shared_positive,max_shared_pixels,max_overlap_index,median_overlap_index,n_frames
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,8,175,200,187.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,9,200,225,212.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,10,225,250,237.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,11,250,275,262.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,12,275,300,287.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,13,300,325,312.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,14,325,350,337.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,15,350,375,362.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,16,375,400,387.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,17,400,425,412.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,18,425,450,437.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,19,450,475,462.5,False,0,0,0,0,486
D128_F01_V01,128,1,5,0.66666666666666663,0.83333333333333337,0.75,20,475,500,487.5,False,0,0,0,0,486
D128_F01_V01,128,1,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,486,3,0.0044313925039808789,0.0043838534818042502,486
D128_F01_V01,128,1,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0,0,0,0,486
D128_F01_V01,128,1,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0,0,0,0,486
