scan_id,diameter_um,flow_mm_s,source_bin,tail_bin,in_C16,real_matched_rho,left_rho,right_rho,control_rho,excess_cell,real_minus_L,real_minus_R,n_common,status
D285_F03_V01,285,3,6,3,True,0.064007757136776575,0.0084070959250380339,0.023573504086826087,0.015990300005932059,0.048017457130844515,0.055600661211738539,0.040434253049950492,474,ok
D285_F03_V01,285,3,6,4,True,0.047221807336183988,-0.0097443187156203599,0.05622950436371657,0.023242592824048107,0.023979214512135881,0.056966126051804344,-0.0090076970275325824,474,ok
D285_F03_V01,285,3,6,5,False,0.048517108211816616,0.082731453136503139,-0.025829673692494223,0.028450889722004456,0.02006621848981216,-0.034214344924686522,0.074346781904310835,474,ok
D285_F03_V01,285,3,6,6,False,0.077912906011596214,0.021208305264143031,0.037248476091816127,0.029228390677979579,0.048684515333616632,0.056704600747453184,0.040664429919780087,474,ok
D285_F03_V01,285,3,6,7,False,0.086343615364170678,0.00717356444975829,0.098989057634217212,0.053081311041987753,0.033262304322182926,0.079170050914412385,-0.012645442270046534,474,ok
D285_F03_V01,285,3,6,8,False,0.071786243455395499,0.092823602992375839,0.079184592906362747,0.086004097949369293,-0.014217854493973794,-0.021037359536980341,-0.0073983494509672482,474,ok
D285_F03_V01,285,3,6,9,False,0.081036055077820968,0.018955312764756326,0.050561987981133677,0.034758650372945003,0.046277404704875964,0.062080742313064638,0.030474067096687291,474,ok
D285_F03_V01,285,3,6,10,False,-0.018722157019582908,-0.07017097238129788,-0.024959515129210321,-0.047565243755254102,0.028843086735671195,0.051448815361714972,0.0062373581096274132,474,ok
D285_F03_V01,285,3,6,11,False,0.043139760988700225,0.045924237545354331,-0.010429245268939107,0.017747496138207614,0.025392264850492612,-0.0027844765566541058,0.053569006257639329,474,ok
D285_F03_V01,285,3,6,12,False,0.02296370844353484,0.0013378589692923668,-0.016945382474525868,-0.0078037617526167512,0.030767470196151593,0.021625849474242474,0.039909090918060705,474,ok
D285_F03_V01,285,3,6,13,False,0.051872609458552814,0.084509687871432718,0.075135354330025717,0.07982252110072921,-0.027949911642176396,-0.032637078412879904,-0.023262744871472903,474,ok
D285_F03_V01,285,3,6,14,False,0.0079237577628289112,-0.019077632671729457,0.091237245426433258,0.036079806377351899,-0.028156048614522988,0.027001390434558369,-0.083313487663604344,474,ok
D285_F03_V01,285,3,6,15,False,0.02377716444136535,0.03814854317850129,0.04995644034673833,0.044052491762619814,-0.020275327321254463,-0.01437137873713594,-0.02617927590537298,474,ok
D285_F03_V01,285,3,6,16,False,0.067795257029764577,0.027978655681796805,0.012899948927647894,0.020439302304722351,0.047355954725042226,0.039816601347967773,0.05489530810211668,474,ok
D285_F03_V01,285,3,6,17,False,0.051653170431489509,0.032590494643306434,0.03665748224376638,0.03462398844353641,0.017029181987953099,0.019062675788183076,0.014995688187723129,474,ok
D285_F03_V01,285,3,6,18,False,0.052710148526822202,0.017157364355695499,-0.019677463248001473,-0.001260049446152987,0.053970197972975191,0.0355527841711267,0.072387611774823668,474,ok
D285_F03_V01,285,3,6,19,False,-0.035798348789344576,0.091131248936222112,0.08110407440823135,0.086117661672226731,-0.1219160104615713,-0.1269295977255667,-0.11690242319757593,474,ok
D285_F03_V01,285,3,6,20,False,-0.039003635994596525,0.025370191593964933,-0.0020046588133430117,0.011682766390310961,-0.050686402384907486,-0.064373827588561458,-0.036998977181253515,474,ok
D285_F05_V01,285,5,1,1,False,-0.031819445098340164,0.082756470675455912,0.024793221674686217,0.053774846175071063,-0.085594291273411227,-0.11457591577379608,-0.056612666773026385,492,ok
D285_F05_V01,285,5,1,2,False,-0.080360456255652163,0.064025955022255943,0.069919535539492941,0.066972745280874435,-0.1473332015365266,-0.14438641127790811,-0.15027999179514512,492,ok
D285_F05_V01,285,5,1,3,False,-0.10829232788220615,0.035155775718800686,0.059726284088141401,0.047441029903471044,-0.15573335778567721,-0.14344810360100685,-0.16801861197034756,492,ok
D285_F05_V01,285,5,1,4,False,-0.12770867041304509,0.045908690249683241,-0.0037132202384388678,0.021097735005622186,-0.14880640541866727,-0.17361736066272834,-0.12399545017460623,492,ok
D285_F05_V01,285,5,1,5,False,-0.11884797922086987,0.051457993182974268,0.0016410699603916546,0.026549531571682963,-0.14539751079255284,-0.17030597240384415,-0.12048904918126152,492,ok
D285_F05_V01,285,5,1,6,False,-0.04457142848554637,-0.056176149607321889,0.11988958537510276,0.03185671788389044,-0.076428146369436817,0.011604721121775519,-0.16446101386064912,492,ok
D285_F05_V01,285,5,1,7,False,0.01367007671700305,-0.0082968942593716778,0.062782239091668704,0.027242672416148514,-0.013572595699145464,0.021966970976374726,-0.049112162374665654,492,ok
D285_F05_V01,285,5,1,8,False,-0.0072231106491745627,0.099580927722501225,0.021776164859189786,0.060678546290845507,-0.067901656940020066,-0.10680403837167579,-0.028999275508364349,492,ok
D285_F05_V01,285,5,1,9,False,-0.058824379948470146,-0.032555118355188421,0.015020083985501429,-0.0087675171848434971,-0.050056862763626649,-0.026269261593281724,-0.07384446393397158,492,ok
D285_F05_V01,285,5,1,10,False,0.031072862900907182,0.00049649752609064342,0.013792451282191634,0.0071444744041411386,0.023928388496766043,0.03057636537481654,0.017280411618715547,492,ok
D285_F05_V01,285,5,1,11,False,-0.032158339339665783,-0.0063322266750100026,-0.029328774464152357,-0.01783050056958118,-0.014327838770084603,-0.02582611266465578,-0.0028295648755134253,492,ok
D285_F05_V01,285,5,1,12,False,-0.010551792965725688,0.044815921563052606,0.030532460914113532,0.037674191238583066,-0.04822598420430875,-0.055367714528778297,-0.041084253879839217,492,ok
D285_F05_V01,285,5,1,13,False,-0.018663033661272123,-0.004383373429199075,-0.0069849572071942088,-0.0056841653181966423,-0.012978868343075481,-0.014279660232073048,-0.011678076454077913,492,ok
D285_F05_V01,285,5,1,14,False,0.0044373250693909745,0.097684360118165461,0.0044743722259931226,0.051079366172079289,-0.046642041102688311,-0.09324703504877449,-3.7047156602148038e-05,492,ok
