scan_id,diameter_um,flow_mm_s,mode,scope,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F07_V01,128,7,raw,tail_100_to_500,96,0,0.10764087168016895,-0.043971080462707791,0.25463099368246395,90,6,0
D128_F10_V01,128,10,detrended_51,all_120,120,0,0.082625808766617154,-0.077801154201240036,0.25691575012222007,98,22,0
D128_F10_V01,128,10,detrended_51,C16,16,0,0.15286226842553513,0.05496398804012833,0.25691575012222007,16,0,0
D128_F10_V01,128,10,detrended_51,outside_C16,104,0,0.073495114933194675,-0.077801154201240036,0.21582214324251925,82,22,0
D128_F10_V01,128,10,detrended_51,tail_100_to_500,96,0,0.073431452350295079,-0.077801154201240036,0.20979559797647296,77,19,0
D128_F10_V01,128,10,raw,all_120,120,0,0.099152597534896553,-0.068126437760926986,0.28286604394342463,109,11,0
D128_F10_V01,128,10,raw,C16,16,0,0.15386564863358801,0.066152852078445984,0.28286604394342463,16,0,0
D128_F10_V01,128,10,raw,outside_C16,104,0,0.092252509317828579,-0.068126437760926986,0.2265830253850302,93,11,0
D128_F10_V01,128,10,raw,tail_100_to_500,96,0,0.092252509317828579,-0.068126437760926986,0.2265830253850302,87,9,0
D235_F01_V01,235,1,detrended_51,all_120,120,0,0.059560350781667007,-0.20519780622497502,0.2590150311681213,88,32,0
D235_F01_V01,235,1,detrended_51,C16,16,0,0.18218801676042404,0.066397567834125856,0.2590150311681213,16,0,0
D235_F01_V01,235,1,detrended_51,outside_C16,104,0,0.043030980784817582,-0.20519780622497502,0.18408379069356415,72,32,0
D235_F01_V01,235,1,detrended_51,tail_100_to_500,96,0,0.043030980784817582,-0.12896478130360195,0.18408379069356415,68,28,0
D235_F01_V01,235,1,raw,all_120,120,0,0.073437536701351891,-0.30363161878852973,0.30948301541510165,88,32,0
D235_F01_V01,235,1,raw,C16,16,0,0.26823429929512055,0.14379843243854992,0.30948301541510165,16,0,0
D235_F01_V01,235,1,raw,outside_C16,104,0,0.051418994377619806,-0.30363161878852973,0.24899878712041459,72,32,0
D235_F01_V01,235,1,raw,tail_100_to_500,96,0,0.051418994377619806,-0.11875302952977428,0.24899878712041459,68,28,0
D235_F03_V01,235,3,detrended_51,all_120,120,0,0.065051468494232823,-0.11590441655872062,0.23873115497596062,101,19,0
D235_F03_V01,235,3,detrended_51,C16,16,0,0.12170066149577605,0.0569390387061086,0.19222896625795635,16,0,0
D235_F03_V01,235,3,detrended_51,outside_C16,104,0,0.054609362414700657,-0.11590441655872062,0.23873115497596062,85,19,0
D235_F03_V01,235,3,detrended_51,tail_100_to_500,96,0,0.04274977256089893,-0.11590441655872062,0.23873115497596062,77,19,0
D235_F03_V01,235,3,raw,all_120,120,0,0.080352138127339545,-0.084444472322643058,0.27284038568716673,105,15,0
D235_F03_V01,235,3,raw,C16,16,0,0.17090745226955822,0.11411864973190664,0.23356740343407209,16,0,0
D235_F03_V01,235,3,raw,outside_C16,104,0,0.055715054440783507,-0.084444472322643058,0.27284038568716673,89,15,0
D235_F03_V01,235,3,raw,tail_100_to_500,96,0,0.055715054440783507,-0.084444472322643058,0.27284038568716673,82,14,0
