scan_id,diameter_um,flow_mm_s,mode,support,region,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,value,status
D128_F03_V01,128,3,detrended_51,real_all,S5_T1T4,4,0,0.10553738233124471,0.012577106953993325,0.17322825842352801,4,0,0,0.10553738233124471,ok
D128_F03_V01,128,3,detrended_51,real_all,S6_T1T4,4,0,0.14377908703256073,0.053198258941946401,0.19667200774885862,4,0,0,0.14377908703256073,ok
D128_F05_V01,128,5,raw,real_all,C16,16,0,0.1859175968832717,0.078692219026600257,0.30038462357274143,16,0,0,0.1859175968832717,ok
D128_F05_V01,128,5,raw,real_all,S1_T1T4,4,0,0.029837067209775969,-0.034071424009472648,0.090782213237985077,2,2,0,0.029837067209775969,ok
D128_F05_V01,128,5,raw,real_all,S2_T1T4,4,0,0.22711175474113943,0.20242381787049926,0.24478786398072219,4,0,0,0.22711175474113943,ok
D128_F05_V01,128,5,raw,real_all,S3_T1T4,4,0,0.2225245053065685,0.20992539681413275,0.30038462357274143,4,0,0,0.2225245053065685,ok
D128_F05_V01,128,5,raw,real_all,S4_T1T4,4,0,0.16965579535673986,0.13505599547453973,0.25311951614881706,4,0,0,0.16965579535673986,ok
D128_F05_V01,128,5,raw,real_all,S5_T1T4,4,0,0.14963646280130449,0.10824517775914698,0.20398491918748524,4,0,0,0.14963646280130449,ok
D128_F05_V01,128,5,raw,real_all,S6_T1T4,4,0,0.16223759882970623,0.078692219026600257,0.2449100230226709,4,0,0,0.16223759882970623,ok
D128_F05_V01,128,5,detrended_51,real_all,C16,16,0,0.15203803659141071,0.060178798893584844,0.33000386855509467,16,0,0,0.15203803659141071,ok
D128_F05_V01,128,5,detrended_51,real_all,S1_T1T4,4,0,0.037802045501567946,-0.058088953897564861,0.10317855125450268,2,2,0,0.037802045501567946,ok
D128_F05_V01,128,5,detrended_51,real_all,S2_T1T4,4,0,0.23462705753398216,0.20337362906407136,0.26577347452726552,4,0,0,0.23462705753398216,ok
D128_F05_V01,128,5,detrended_51,real_all,S3_T1T4,4,0,0.20998054071193617,0.18839792346992359,0.33000386855509467,4,0,0,0.20998054071193617,ok
D128_F05_V01,128,5,detrended_51,real_all,S4_T1T4,4,0,0.1252304685325413,0.076773225887309365,0.25483866356719487,4,0,0,0.1252304685325413,ok
D128_F05_V01,128,5,detrended_51,real_all,S5_T1T4,4,0,0.11266930872984662,0.060498912334266707,0.18452125683427359,4,0,0,0.11266930872984662,ok
D128_F05_V01,128,5,detrended_51,real_all,S6_T1T4,4,0,0.13539534266237252,0.060178798893584844,0.23367688362567093,4,0,0,0.13539534266237252,ok
D128_F07_V01,128,7,raw,real_all,C16,16,0,0.16546577532277201,0.014788354229880918,0.29403923117583164,16,0,0,0.16546577532277201,ok
D128_F07_V01,128,7,raw,real_all,S1_T1T4,4,0,0.023965616387898035,-0.024119143269924294,0.18422634969958604,3,1,0,0.023965616387898035,ok
D128_F07_V01,128,7,raw,real_all,S2_T1T4,4,0,0.21476643183296273,0.13089153150525848,0.30219358167499932,4,0,0,0.21476643183296273,ok
D128_F07_V01,128,7,raw,real_all,S3_T1T4,4,0,0.21276352193271217,0.16833466496788954,0.29403923117583164,4,0,0,0.21276352193271217,ok
D128_F07_V01,128,7,raw,real_all,S4_T1T4,4,0,0.11325136286404049,0.048943729042779417,0.28526516486063103,4,0,0,0.11325136286404049,ok
D128_F07_V01,128,7,raw,real_all,S5_T1T4,4,0,0.13702900145835517,0.04280726056966986,0.17859312492000678,4,0,0,0.13702900145835517,ok
D128_F07_V01,128,7,raw,real_all,S6_T1T4,4,0,0.11334755501680384,0.014788354229880918,0.21840676151216268,4,0,0,0.11334755501680384,ok
D128_F07_V01,128,7,detrended_51,real_all,C16,16,0,0.1424681488875999,0.028913767180947108,0.28246060890084884,16,0,0,0.1424681488875999,ok
D128_F07_V01,128,7,detrended_51,real_all,S1_T1T4,4,0,0.074254287326405724,0.031009290659685412,0.19359883138837292,4,0,0,0.074254287326405724,ok
D128_F07_V01,128,7,detrended_51,real_all,S2_T1T4,4,0,0.18839568526105827,0.12473368026104281,0.27921690400077021,4,0,0,0.18839568526105827,ok
D128_F07_V01,128,7,detrended_51,real_all,S3_T1T4,4,0,0.18493711182280373,0.15252564796574614,0.28246060890084884,4,0,0,0.18493711182280373,ok
D128_F07_V01,128,7,detrended_51,real_all,S4_T1T4,4,0,0.096036540563973316,0.050615475472909906,0.24913602269597368,4,0,0,0.096036540563973316,ok
D128_F07_V01,128,7,detrended_51,real_all,S5_T1T4,4,0,0.12546682650279337,0.041616688297465558,0.16318998286041064,4,0,0,0.12546682650279337,ok
D128_F07_V01,128,7,detrended_51,real_all,S6_T1T4,4,0,0.13087319385468471,0.028913767180947108,0.21384301123616031,4,0,0,0.13087319385468471,ok
D128_F10_V01,128,10,raw,real_all,C16,16,0,0.15386564863358801,0.066152852078445984,0.28286604394342463,16,0,0,0.15386564863358801,ok
D128_F10_V01,128,10,raw,real_all,S1_T1T4,4,0,-0.0005917476028718437,-0.027445615791648961,0.059245778466674108,2,2,0,-0.0005917476028718437,ok
D128_F10_V01,128,10,raw,real_all,S2_T1T4,4,0,0.19670516924500053,0.14172910745177564,0.21900609475687915,4,0,0,0.19670516924500053,ok
D128_F10_V01,128,10,raw,real_all,S3_T1T4,4,0,0.22214640011388309,0.092809012429239807,0.28286604394342463,4,0,0,0.22214640011388309,ok
D128_F10_V01,128,10,raw,real_all,S4_T1T4,4,0,0.17082242967903699,0.07343650196834664,0.24477426326576729,4,0,0,0.17082242967903699,ok
D128_F10_V01,128,10,raw,real_all,S5_T1T4,4,0,0.13061555615648768,0.097125351320371894,0.1821236340775072,4,0,0,0.13061555615648768,ok
D128_F10_V01,128,10,raw,real_all,S6_T1T4,4,0,0.12638441791288049,0.066152852078445984,0.2340795181347726,4,0,0,0.12638441791288049,ok
D128_F10_V01,128,10,detrended_51,real_all,C16,16,0,0.15286226842553513,0.05496398804012833,0.25691575012222007,16,0,0,0.15286226842553513,ok
D128_F10_V01,128,10,detrended_51,real_all,S1_T1T4,4,0,-0.030322009886404322,-0.063279018605135712,0.087179806054598727,1,3,0,-0.030322009886404322,ok
D128_F10_V01,128,10,detrended_51,real_all,S2_T1T4,4,0,0.1556885407585758,0.12930478460286302,0.21582214324251925,4,0,0,0.1556885407585758,ok
D128_F10_V01,128,10,detrended_51,real_all,S3_T1T4,4,0,0.18382568291968948,0.10399201288468118,0.25691575012222007,4,0,0,0.18382568291968948,ok
D128_F10_V01,128,10,detrended_51,real_all,S4_T1T4,4,0,0.15931285059302036,0.096323234598348448,0.25224736217080346,4,0,0,0.15931285059302036,ok
D128_F10_V01,128,10,detrended_51,real_all,S5_T1T4,4,0,0.14886840430937817,0.11766612864819465,0.16656461085491939,4,0,0,0.14886840430937817,ok
D128_F10_V01,128,10,detrended_51,real_all,S6_T1T4,4,0,0.13303284713517724,0.05496398804012833,0.20102587126781377,4,0,0,0.13303284713517724,ok
D235_F01_V01,235,1,raw,real_all,C16,16,0,0.26823429929512055,0.14379843243854992,0.30948301541510165,16,0,0,0.26823429929512055,ok
D235_F01_V01,235,1,raw,real_all,S1_T1T4,4,0,-0.23552732235478008,-0.30363161878852973,-0.16224079503402683,0,4,0,-0.23552732235478008,ok
D235_F01_V01,235,1,raw,real_all,S2_T1T4,4,0,0.18431952757486009,0.15817895632565818,0.20139553220430187,4,0,0,0.18431952757486009,ok
D235_F01_V01,235,1,raw,real_all,S3_T1T4,4,0,0.24980715107824569,0.14379843243854992,0.29277575927756794,4,0,0,0.24980715107824569,ok
D235_F01_V01,235,1,raw,real_all,S4_T1T4,4,0,0.2817224464934327,0.23098416209879416,0.30732764511314159,4,0,0,0.2817224464934327,ok
D235_F01_V01,235,1,raw,real_all,S5_T1T4,4,0,0.25756081213819143,0.22961473456514636,0.30810678144892134,4,0,0,0.25756081213819143,ok
D235_F01_V01,235,1,raw,real_all,S6_T1T4,4,0,0.25919782589198964,0.24225174404824185,0.30948301541510165,4,0,0,0.25919782589198964,ok
D235_F01_V01,235,1,detrended_51,real_all,C16,16,0,0.18218801676042404,0.066397567834125856,0.2590150311681213,16,0,0,0.18218801676042404,ok
D235_F01_V01,235,1,detrended_51,real_all,S1_T1T4,4,0,-0.16439533996851458,-0.20519780622497502,-0.083312900028371689,0,4,0,-0.16439533996851458,ok
D235_F01_V01,235,1,detrended_51,real_all,S2_T1T4,4,0,0.14783616956746781,0.11855122747061675,0.17117918418528397,4,0,0,0.14783616956746781,ok
D235_F01_V01,235,1,detrended_51,real_all,S3_T1T4,4,0,0.18218801676042404,0.066397567834125856,0.20531490318064979,4,0,0,0.18218801676042404,ok
D235_F01_V01,235,1,detrended_51,real_all,S4_T1T4,4,0,0.18168396605115511,0.1453469454975353,0.1994662397378629,4,0,0,0.18168396605115511,ok
D235_F01_V01,235,1,detrended_51,real_all,S5_T1T4,4,0,0.18379702954529181,0.10202899014969169,0.24398612496497574,4,0,0,0.18379702954529181,ok
D235_F01_V01,235,1,detrended_51,real_all,S6_T1T4,4,0,0.19698187783390636,0.15445340638450356,0.2590150311681213,4,0,0,0.19698187783390636,ok
D235_F03_V01,235,3,raw,real_all,C16,16,0,0.17090745226955822,0.11411864973190664,0.23356740343407209,16,0,0,0.17090745226955822,ok
D235_F03_V01,235,3,raw,real_all,S1_T1T4,4,0,0.0059823870879572591,-0.012694797429891077,0.032373795394901206,3,1,0,0.0059823870879572591,ok
D235_F03_V01,235,3,raw,real_all,S2_T1T4,4,0,0.15128016984584897,0.14462574763990288,0.22152709120299291,4,0,0,0.15128016984584897,ok
D235_F03_V01,235,3,raw,real_all,S3_T1T4,4,0,0.20329786336740641,0.13593379983643208,0.23356740343407209,4,0,0,0.20329786336740641,ok
D235_F03_V01,235,3,raw,real_all,S4_T1T4,4,0,0.16026032335625989,0.1391326896672482,0.2009381666300098,4,0,0,0.16026032335625989,ok
D235_F03_V01,235,3,raw,real_all,S5_T1T4,4,0,0.18691397950489744,0.16469244534034297,0.21689257794566386,4,0,0,0.18691397950489744,ok
D235_F03_V01,235,3,raw,real_all,S6_T1T4,4,0,0.16403168754684427,0.11411864973190664,0.17675491184201816,4,0,0,0.16403168754684427,ok
D235_F03_V01,235,3,detrended_51,real_all,C16,16,0,0.12170066149577605,0.0569390387061086,0.19222896625795635,16,0,0,0.12170066149577605,ok
D235_F03_V01,235,3,detrended_51,real_all,S1_T1T4,4,0,0.063150959640605936,0.051237559485271915,0.080036250384880714,4,0,0,0.063150959640605936,ok
D235_F03_V01,235,3,detrended_51,real_all,S2_T1T4,4,0,0.14392470272350899,0.065399893192143566,0.19189791083253041,4,0,0,0.14392470272350899,ok
D235_F03_V01,235,3,detrended_51,real_all,S3_T1T4,4,0,0.1560433440841566,0.0569390387061086,0.19222896625795635,4,0,0,0.1560433440841566,ok
D235_F03_V01,235,3,detrended_51,real_all,S4_T1T4,4,0,0.11170358004939873,0.065318682090142285,0.1424977171741047,4,0,0,0.11170358004939873,ok
D235_F03_V01,235,3,detrended_51,real_all,S5_T1T4,4,0,0.12689813007927214,0.089484866553484033,0.17877118905332007,4,0,0,0.12689813007927214,ok
D235_F03_V01,235,3,detrended_51,real_all,S6_T1T4,4,0,0.11769345615786478,0.08119975800971603,0.12640084709855395,4,0,0,0.11769345615786478,ok
D235_F05_V01,235,5,raw,real_all,C16,16,0,0.20337143127021984,0.16182224636141088,0.25289347533473444,16,0,0,0.20337143127021984,ok
D235_F05_V01,235,5,raw,real_all,S1_T1T4,4,0,-0.014014058453570108,-0.042389937106918241,0.065959808250879631,1,3,0,-0.014014058453570108,ok
D235_F05_V01,235,5,raw,real_all,S2_T1T4,4,0,0.20679591627899654,0.1650224730598783,0.30742846797490575,4,0,0,0.20679591627899654,ok
D235_F05_V01,235,5,raw,real_all,S3_T1T4,4,0,0.20837036862115382,0.17180799899245125,0.25289347533473444,4,0,0,0.20837036862115382,ok
D235_F05_V01,235,5,raw,real_all,S4_T1T4,4,0,0.19251997386670444,0.16182224636141088,0.20175738541100904,4,0,0,0.19251997386670444,ok
D235_F05_V01,235,5,raw,real_all,S5_T1T4,4,0,0.22666241607040247,0.2059769680654277,0.24243858281971961,4,0,0,0.22666241607040247,ok
D235_F05_V01,235,5,raw,real_all,S6_T1T4,4,0,0.17766421863807746,0.17698837383206997,0.21988035358663738,4,0,0,0.17766421863807746,ok
D235_F05_V01,235,5,detrended_51,real_all,C16,16,0,0.16824267179182878,0.1299685101288387,0.20767248972574973,16,0,0,0.16824267179182878,ok
D235_F05_V01,235,5,detrended_51,real_all,S1_T1T4,4,0,-0.020287646890410412,-0.032439499751261015,-0.0017611689867400252,0,4,0,-0.020287646890410412,ok
D235_F05_V01,235,5,detrended_51,real_all,S2_T1T4,4,0,0.17492662628923406,0.15565410075665906,0.22246740204089691,4,0,0,0.17492662628923406,ok
D235_F05_V01,235,5,detrended_51,real_all,S3_T1T4,4,0,0.16266042253005056,0.1310206671844851,0.20767248972574973,4,0,0,0.16266042253005056,ok
D235_F05_V01,235,5,detrended_51,real_all,S4_T1T4,4,0,0.16138568627949218,0.1299685101288387,0.1734814078632502,4,0,0,0.16138568627949218,ok
D235_F05_V01,235,5,detrended_51,real_all,S5_T1T4,4,0,0.17811888412236213,0.14909586298839622,0.18625617538724032,4,0,0,0.17811888412236213,ok
D235_F05_V01,235,5,detrended_51,real_all,S6_T1T4,4,0,0.15949708505983068,0.14478004435762676,0.18295839981497297,4,0,0,0.15949708505983068,ok
D235_F07_V01,235,7,raw,real_all,C16,16,0,0.19586426916936467,0.12518448394878254,0.32836106961959804,16,0,0,0.19586426916936467,ok
D235_F07_V01,235,7,raw,real_all,S1_T1T4,4,0,0.058594912664458911,-0.012040452454381996,0.10888066142079889,3,1,0,0.058594912664458911,ok
D235_F07_V01,235,7,raw,real_all,S2_T1T4,4,0,0.18387207559094845,0.13258564065371584,0.23158707950855464,4,0,0,0.18387207559094845,ok
D235_F07_V01,235,7,raw,real_all,S3_T1T4,4,0,0.25558414833023602,0.23218263790967775,0.32836106961959804,4,0,0,0.25558414833023602,ok
D235_F07_V01,235,7,raw,real_all,S4_T1T4,4,0,0.20255641798493146,0.17136932504066701,0.2584280630847704,4,0,0,0.20255641798493146,ok
D235_F07_V01,235,7,raw,real_all,S5_T1T4,4,0,0.1590175891263978,0.13620190307232183,0.19347641450261482,4,0,0,0.1590175891263978,ok
D235_F07_V01,235,7,raw,real_all,S6_T1T4,4,0,0.15930508589600073,0.12518448394878254,0.21911188587324229,4,0,0,0.15930508589600073,ok
D235_F07_V01,235,7,detrended_51,real_all,C16,16,0,0.13413811612772078,0.042664171826972429,0.22875324937682484,16,0,0,0.13413811612772078,ok
D235_F07_V01,235,7,detrended_51,real_all,S1_T1T4,4,0,0.032515301440455627,0.0064868496141517627,0.1337408879204727,4,0,0,0.032515301440455627,ok
D235_F07_V01,235,7,detrended_51,real_all,S2_T1T4,4,0,0.095056937521466059,0.069998234841984558,0.1743096578593385,4,0,0,0.095056937521466059,ok
D235_F07_V01,235,7,detrended_51,real_all,S3_T1T4,4,0,0.18339618739469213,0.17050399387167486,0.22133045242072749,4,0,0,0.18339618739469213,ok
D235_F07_V01,235,7,detrended_51,real_all,S4_T1T4,4,0,0.13793960351679602,0.11831795766106105,0.22875324937682484,4,0,0,0.13793960351679602,ok
D235_F07_V01,235,7,detrended_51,real_all,S5_T1T4,4,0,0.078418463438081246,0.042664171826972429,0.13920048944379823,4,0,0,0.078418463438081246,ok
D235_F07_V01,235,7,detrended_51,real_all,S6_T1T4,4,0,0.088714145305140615,0.060120150226342366,0.15544602704843075,4,0,0,0.088714145305140615,ok
D235_F10_V01,235,10,raw,real_all,C16,16,0,0.27875019444386606,0.19066216250975282,0.38886115299394558,16,0,0,0.27875019444386606,ok
D235_F10_V01,235,10,raw,real_all,S1_T1T4,4,0,-0.021501020906849445,-0.077354975497010772,0.029474260531508482,2,2,0,-0.021501020906849445,ok
D235_F10_V01,235,10,raw,real_all,S2_T1T4,4,0,0.21870145793092127,0.1737752486125588,0.24934158551059429,4,0,0,0.21870145793092127,ok
D235_F10_V01,235,10,raw,real_all,S3_T1T4,4,0,0.31695421903381915,0.27829075574053408,0.38886115299394558,4,0,0,0.31695421903381915,ok
D235_F10_V01,235,10,raw,real_all,S4_T1T4,4,0,0.27112370794347596,0.20873300989305893,0.30110309383156691,4,0,0,0.27112370794347596,ok
D235_F10_V01,235,10,raw,real_all,S5_T1T4,4,0,0.28292213304002423,0.20543916142331686,0.30516381666056286,4,0,0,0.28292213304002423,ok
D235_F10_V01,235,10,raw,real_all,S6_T1T4,4,0,0.2270204708052487,0.19066216250975282,0.25104007564631914,4,0,0,0.2270204708052487,ok
D235_F10_V01,235,10,detrended_51,real_all,C16,16,0,0.22051682113117782,0.11503251962813714,0.35441887317765325,16,0,0,0.22051682113117782,ok
D235_F10_V01,235,10,detrended_51,real_all,S1_T1T4,4,0,-0.029611731259722315,-0.080443354387597379,0.043400244999308911,2,2,0,-0.029611731259722315,ok
D235_F10_V01,235,10,detrended_51,real_all,S2_T1T4,4,0,0.2204065841701425,0.14238748503011181,0.23130101800772682,4,0,0,0.2204065841701425,ok
D235_F10_V01,235,10,detrended_51,real_all,S3_T1T4,4,0,0.27760826685863904,0.20165094505747905,0.35441887317765325,4,0,0,0.27760826685863904,ok
D235_F10_V01,235,10,detrended_51,real_all,S4_T1T4,4,0,0.22051682113117782,0.13995592397514101,0.26096349477894742,4,0,0,0.22051682113117782,ok
D235_F10_V01,235,10,detrended_51,real_all,S5_T1T4,4,0,0.24552203158708114,0.17340442129220404,0.27332325183572748,4,0,0,0.24552203158708114,ok
D235_F10_V01,235,10,detrended_51,real_all,S6_T1T4,4,0,0.15855347104055253,0.11503251962813714,0.18328976512056991,4,0,0,0.15855347104055253,ok
D285_F01_V01,285,1,raw,real_all,C16,16,0,0.18351736671123675,0.079549071967296117,0.34213568736331101,16,0,0,0.18351736671123675,ok
D285_F01_V01,285,1,raw,real_all,S1_T1T4,4,0,0.053720908857845029,0.005594840163467802,0.087956758330943033,4,0,0,0.053720908857845029,ok
D285_F01_V01,285,1,raw,real_all,S2_T1T4,4,0,0.22811453331409048,0.21676136194940698,0.24023307251360015,4,0,0,0.22811453331409048,ok
D285_F01_V01,285,1,raw,real_all,S3_T1T4,4,0,0.30353928083564896,0.21894412543719169,0.34213568736331101,4,0,0,0.30353928083564896,ok
D285_F01_V01,285,1,raw,real_all,S4_T1T4,4,0,0.22346184817549683,0.17700031575134492,0.27873537326430348,4,0,0,0.22346184817549683,ok
D285_F01_V01,285,1,raw,real_all,S5_T1T4,4,0,0.14397506158183937,0.094564816935218829,0.15911324733089424,4,0,0,0.14397506158183937,ok
D285_F01_V01,285,1,raw,real_all,S6_T1T4,4,0,0.15583690758864338,0.079549071967296117,0.19003441767112858,4,0,0,0.15583690758864338,ok
D285_F01_V01,285,1,detrended_51,real_all,C16,16,0,0.13749972230141777,0.054059753164857137,0.27068061147744515,16,0,0,0.13749972230141777,ok
