scan_id,diameter_um,flow_mm_s,pair,side,rho,n_pairs,status,support
D285_F07_V01,285,7,W500,left,0.0079711981892367639,458,ok,real_L_R_common
D285_F07_V01,285,7,W500,right,-0.028959224981608432,458,ok,real_L_R_common
D285_F07_V01,285,7,C100,left,0.024675157105088209,458,ok,real_L_R_common
D285_F07_V01,285,7,C100,right,-0.047681795646017891,458,ok,real_L_R_common
D285_F10_V01,285,10,W100,left,-0.080098305683751675,494,ok,real_L_R_common
D285_F10_V01,285,10,W100,right,-0.033675289132255613,494,ok,real_L_R_common
D285_F10_V01,285,10,W500,left,-0.04581814562327529,494,ok,real_L_R_common
D285_F10_V01,285,10,W500,right,-0.051165270934967616,494,ok,real_L_R_common
D285_F10_V01,285,10,C100,left,-0.063598120198714664,494,ok,real_L_R_common
D285_F10_V01,285,10,C100,right,-0.0079042192445457869,494,ok,real_L_R_common
