scan_id,diameter_um,flow_mm_s,region,side,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,source,real,sum_w2,486,0,143.72514343261719,143.17462158203125,144.77903747558594,486,0,0
D128_F01_V01,128,1,source,real,z_span_pixels,486,0,20,20,20,486,0,0
D128_F01_V01,128,1,source,right,neff,486,0,159.23903902870316,157.95724837137783,159.74524977451654,486,0,0
D128_F01_V01,128,1,source,right,nonzero_pixels,486,0,178,177,181,486,0,0
D128_F01_V01,128,1,source,right,sum_w2,486,0,143.63947296142578,143.18791198730469,144.78765869140625,486,0,0
D128_F01_V01,128,1,source,right,z_span_pixels,486,0,20,20,20,486,0,0
D128_F01_V01,128,1,t01,left,neff,486,0,41.58552779687453,40.377333805344378,42.165458100107585,486,0,0
D128_F01_V01,128,1,t01,left,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t01,left,sum_w2,486,0,34.009534801269531,33.541778472997507,35.027187818405892,486,0,0
D128_F01_V01,128,1,t01,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t01,real,neff,486,0,41.583516428661653,40.377821939918334,42.165457980113587,486,0,0
D128_F01_V01,128,1,t01,real,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t01,real,sum_w2,486,0,34.011179827026361,33.541778568450333,35.026764368586626,486,0,0
D128_F01_V01,128,1,t01,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t01,right,neff,486,0,41.644453227250182,40.377272521315582,42.165430448756972,486,0,0
D128_F01_V01,128,1,t01,right,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t01,right,sum_w2,486,0,33.961412511974515,33.541800469108026,35.027240982155021,486,0,0
D128_F01_V01,128,1,t01,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t02,left,neff,486,0,43.472258102720275,42.209248497684001,44.078499772824344,486,0,0
D128_F01_V01,128,1,t02,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t02,left,sum_w2,486,0,32.533494153792006,32.086038819275956,33.506980226949324,486,0,0
D128_F01_V01,128,1,t02,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t02,real,neff,486,0,43.470155478977787,42.209758778863858,44.078499647386231,486,0,0
D128_F01_V01,128,1,t02,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t02,real,sum_w2,486,0,32.535067784132892,32.086038910586055,33.506575155186354,486,0,0
D128_F01_V01,128,1,t02,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t02,right,neff,486,0,43.533856972659294,42.209184433206332,44.078470866935355,486,0,0
D128_F01_V01,128,1,t02,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t02,right,sum_w2,486,0,32.487460409825928,32.086059860737919,33.50703108334978,486,0,0
D128_F01_V01,128,1,t02,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t03,left,neff,486,0,44.429900992662802,43.139068766465812,45.049497456152345,486,0,0
D128_F01_V01,128,1,t03,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t03,left,sum_w2,486,0,31.83226663211618,31.394455757976882,32.78477016883771,486,0,0
D128_F01_V01,128,1,t03,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t03,real,neff,486,0,44.427752050583862,43.139590288541918,45.049497327950981,486,0,0
D128_F01_V01,128,1,t03,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t03,real,sum_w2,486,0,31.833806344400227,31.394455847318881,32.784373827998849,486,0,0
D128_F01_V01,128,1,t03,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t03,right,neff,486,0,44.492856813503394,43.13900329072279,45.049467913500493,486,0,0
D128_F01_V01,128,1,t03,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t03,right,sum_w2,486,0,31.787225100300528,31.394476345910793,32.784819929078395,486,0,0
D128_F01_V01,128,1,t03,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t04,left,neff,486,0,41.675700497454741,40.464886697524562,42.256888302620823,486,0,0
D128_F01_V01,128,1,t04,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t04,left,sum_w2,486,0,33.935949197143394,33.469204941873869,34.951400343172317,486,0,0
D128_F01_V01,128,1,t04,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t04,real,neff,486,0,41.673684767856699,40.465375890553574,42.256888182366616,486,0,0
D128_F01_V01,128,1,t04,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t04,real,sum_w2,486,0,33.937590663597966,33.469205037120162,34.950977809561138,486,0,0
D128_F01_V01,128,1,t04,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t04,right,neff,486,0,41.734753699809517,40.464825280609475,42.256860591311934,486,0,0
D128_F01_V01,128,1,t04,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t04,right,sum_w2,486,0,33.887931028876508,33.469226890391937,34.951453391892343,486,0,0
