scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,baseline_common_rho0,rho0_change,baseline_common_specificity,specificity_change
D128_F03_V01,128,3,xp,five_position_common,detrended_51,468,C100,0.33950620255308511,468,ok,0.30651485170372172,ok,42,0,0.33950620255308511,1,ok,101,False,0.32550798538842424,0.013998217164660876,0.29371324641070962,0.012801605293012108
D128_F03_V01,128,3,xm,five_position_common,detrended_51,468,W100,0.32165256810105791,468,ok,0.30081567426373967,ok,42,0,0.32165256810105791,1,ok,101,False,0.34702342857560198,-0.025370860474544066,0.31567828031339346,-0.014862606049653782
D128_F03_V01,128,3,xm,five_position_common,detrended_51,468,W500,0.32500637007773497,468,ok,0.31763965010866035,ok,42,0,0.32500637007773497,1,ok,101,False,0.35028304675591732,-0.025276676678182342,0.34030929900670481,-0.022669648898044459
D128_F03_V01,128,3,xm,five_position_common,detrended_51,468,C100,0.29052011200248951,468,ok,0.26184825288412472,ok,42,0,0.29052011200248951,1,ok,101,False,0.32550798538842424,-0.034987873385934731,0.29371324641070962,-0.031864993526584895
D128_F03_V01,128,3,zp,five_position_common,detrended_51,468,W100,0.34815862462282227,468,ok,0.32721410010631208,ok,42,0,0.34815862462282227,1,ok,101,False,0.34702342857560198,0.0011351960472202882,0.31567828031339346,0.011535819792918622
D128_F03_V01,128,3,zp,five_position_common,detrended_51,468,W500,0.34032269640006035,468,ok,0.33167496728701157,ok,42,0,0.34032269640006035,1,ok,101,False,0.35028304675591732,-0.0099603503558569617,0.34030929900670481,-0.0086343317196932445
D128_F03_V01,128,3,zp,five_position_common,detrended_51,468,C100,0.31584648064273357,468,ok,0.28888104307063367,ok,42,0,0.31584648064273357,1,ok,101,False,0.32550798538842424,-0.0096615047456906633,0.29371324641070962,-0.0048322033400759468
D128_F03_V01,128,3,zm,five_position_common,detrended_51,468,W100,0.36978412903574515,468,ok,0.33190820561859169,ok,42,0,0.36978412903574515,1,ok,101,False,0.34702342857560198,0.022760700460143168,0.31567828031339346,0.016229925305198234
D128_F03_V01,128,3,zm,five_position_common,detrended_51,468,W500,0.37461960870050409,468,ok,0.35554161945245827,ok,42,0,0.37461960870050409,1,ok,101,False,0.35028304675591732,0.024336561944586776,0.34030929900670481,0.015232320445753456
D128_F03_V01,128,3,zm,five_position_common,detrended_51,468,C100,0.34649515519754248,468,ok,0.31778644065302963,ok,42,0,0.34649515519754248,1,ok,101,False,0.32550798538842424,0.020987169809118245,0.29371324641070962,0.024073194242320017
D128_F05_V01,128,5,baseline,five_position_common,detrended_51,491,W100,0.39968497813807558,491,ok,0.40350737704235934,ok,42,0,0.39968497813807558,1,ok,101,False,0.39968497813807558,0,0.40350737704235934,0
D128_F05_V01,128,5,baseline,five_position_common,detrended_51,491,W500,0.43616941495554823,491,ok,0.44641038040161679,ok,42,0,0.43616941495554823,1,ok,101,False,0.43616941495554823,0,0.44641038040161679,0
D128_F05_V01,128,5,baseline,five_position_common,detrended_51,491,C100,0.36283115078167394,491,ok,0.35053214202822397,ok,42,0,0.36283115078167394,1,ok,101,False,0.36283115078167394,0,0.35053214202822397,0
D128_F05_V01,128,5,xp,five_position_common,detrended_51,491,W100,0.39667923596324578,491,ok,0.4060882571240283,ok,42,0,0.39667923596324578,1,ok,101,False,0.39968497813807558,-0.0030057421748297952,0.40350737704235934,0.002580880081668957
D128_F05_V01,128,5,xp,five_position_common,detrended_51,491,W500,0.43513558078838455,491,ok,0.45355709570982239,ok,42,0,0.43513558078838455,1,ok,101,False,0.43616941495554823,-0.001033834167163683,0.44641038040161679,0.0071467153082055979
D128_F05_V01,128,5,xp,five_position_common,detrended_51,491,C100,0.37904116059189197,491,ok,0.36936150863035866,ok,42,0,0.37904116059189197,1,ok,101,False,0.36283115078167394,0.016210009810218029,0.35053214202822397,0.018829366602134689
D128_F05_V01,128,5,xm,five_position_common,detrended_51,491,W100,0.38273053504190219,491,ok,0.3848683666264992,ok,42,0,0.38273053504190219,1,ok,101,False,0.39968497813807558,-0.016954443096173388,0.40350737704235934,-0.018639010415860136
D128_F05_V01,128,5,xm,five_position_common,detrended_51,491,W500,0.42072805897291665,491,ok,0.43263907898482884,ok,42,0,0.42072805897291665,1,ok,101,False,0.43616941495554823,-0.015441355982631577,0.44641038040161679,-0.013771301416787951
