scan_id,diameter_um,flow_mm_s,offset,metric,baseline_common_median,offset_common_median,difference,percent_change,n_common
D128_F03_V01,128,3,xm,RI100,0.43393715374042613,0.43575906035352791,0.0018219066131017758,0.41985494844066973,468
D128_F03_V01,128,3,xm,RI500,0.22420183031850904,0.22854842468791059,0.0043465943694015463,1.9386970941435315,468
D128_F03_V01,128,3,zp,source,188715323.1745643,193069010.88697839,4353687.7124140859,2.3070133570377136,468
D128_F03_V01,128,3,zp,tail100,80983728.733307019,76561424.438763857,-4422304.294543162,-5.4607318824582043,468
D128_F03_V01,128,3,zp,tail500,42341295.337262824,40895495.82918255,-1445799.5080802739,-3.4146322084952501,468
D128_F03_V01,128,3,zp,RI100,0.43393715374042613,0.39966300606149341,-0.03427414767893272,-7.8984127962997466,468
D128_F03_V01,128,3,zp,RI500,0.22420183031850904,0.21513356784539506,-0.009068262473113986,-4.0446870840578297,468
D128_F03_V01,128,3,zm,source,188715323.1745643,183493928.54396027,-5221394.6306040287,-2.7668101046432598,468
D128_F03_V01,128,3,zm,tail100,80983728.733307019,84185455.261708245,3201726.5284012258,3.9535429875611774,468
D128_F03_V01,128,3,zm,tail500,42341295.337262824,43541084.332619399,1199788.9953565747,2.8336142902569397,468
D128_F03_V01,128,3,zm,RI100,0.43393715374042613,0.46489294009652726,0.030955786356101134,7.1337026777426766,468
D128_F03_V01,128,3,zm,RI500,0.22420183031850904,0.23973266004079108,0.015530829722282036,6.9271645553554979,468
D128_F05_V01,128,5,xp,source,192075186.15168616,191254886.21115839,-820299.94052776694,-0.42707231317217487,491
D128_F05_V01,128,5,xp,tail100,79408151.457878381,78534067.423385844,-874084.03449253738,-1.1007484980382529,491
D128_F05_V01,128,5,xp,tail500,42088839.342979915,41876566.88273561,-212272.46024430543,-0.50434382025721214,491
D128_F05_V01,128,5,xp,RI100,0.42123103493531716,0.42693616401118312,0.0057051290758659556,1.3543942878620081,491
D128_F05_V01,128,5,xp,RI500,0.22330065318823616,0.22543504343879095,0.0021343902505547852,0.95583699379309661,491
D128_F05_V01,128,5,xm,source,192075186.15168616,186671228.39301214,-5403957.7586740255,-2.8134595972258469,491
D128_F05_V01,128,5,xm,tail100,79408151.457878381,77281623.459222302,-2126527.9986560792,-2.6779719205327228,491
D128_F05_V01,128,5,xm,tail500,42088839.342979915,41522026.676933311,-566812.66604660451,-1.3467053853105226,491
D128_F05_V01,128,5,xm,RI100,0.42123103493531716,0.42880234853915727,0.007571313603840113,1.7974253974431724,491
D128_F05_V01,128,5,xm,RI500,0.22330065318823616,0.22762458484162265,0.0043239316533864869,1.9363721474390558,491
D128_F05_V01,128,5,zp,source,192075186.15168616,196242619.19545788,4167433.043771714,2.1696884054979373,491
