scan_id,diameter_um,flow_mm_s,metric,unit,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D235_F01_V01,235,1,source,raw_SV_instrument_units,448,448,52,206708139.81254771,133202680.65852807,303695868.15620238,448,0,0
D235_F01_V01,235,1,tail100,raw_SV_instrument_units,448,448,52,49020707.733170494,37135992.067620568,178338166.50549898,448,0,0
D235_F01_V01,235,1,tail500,raw_SV_instrument_units,448,448,52,30367929.608438835,26475176.944231052,65744389.580267876,448,0,0
D235_F01_V01,235,1,RI100,dimensionless,448,448,52,0.23841905035208191,0.16260470551951234,0.90000722811147538,448,0,0
D235_F01_V01,235,1,RI500,dimensionless,448,448,52,0.14950431368691941,0.10732909457394568,0.38788600940087781,448,0,0
D235_F03_V01,235,3,source,raw_SV_instrument_units,448,448,52,215254629.63309839,140256880.30797672,361930934.68864655,448,0,0
D235_F03_V01,235,3,tail100,raw_SV_instrument_units,448,448,52,49959401.33967419,35266311.038160764,110318535.09832215,448,0,0
D235_F03_V01,235,3,tail500,raw_SV_instrument_units,448,448,52,31107807.749594979,26332463.015438296,44666594.11168626,448,0,0
D235_F03_V01,235,3,RI100,dimensionless,448,448,52,0.23664415643178022,0.14095375454101597,0.4616160503943959,448,0,0
D235_F03_V01,235,3,RI500,dimensionless,448,448,52,0.1473377404585276,0.088529965786937809,0.20655008340354147,448,0,0
D235_F05_V01,235,5,source,raw_SV_instrument_units,424,424,76,214846735.94179559,137297949.14820585,324482981.31838197,424,0,0
D235_F05_V01,235,5,tail100,raw_SV_instrument_units,424,424,76,48628569.071338393,37663774.642503746,90644813.765229344,424,0,0
D235_F05_V01,235,5,tail500,raw_SV_instrument_units,424,424,76,30592375.634217784,26405986.702085741,40860901.82730417,424,0,0
D235_F05_V01,235,5,RI100,dimensionless,424,424,76,0.22835832261995426,0.148617011691033,0.37918671436570811,424,0,0
D235_F05_V01,235,5,RI500,dimensionless,424,424,76,0.14241669196205986,0.094192062241858235,0.20811858658841967,424,0,0
D235_F07_V01,235,7,source,raw_SV_instrument_units,444,444,56,214936408.46238989,138808318.30731127,325244321.22926605,444,0,0
D235_F07_V01,235,7,tail100,raw_SV_instrument_units,444,444,56,49565733.209910661,38049355.192025594,104840132.31549424,444,0,0
D235_F07_V01,235,7,tail500,raw_SV_instrument_units,444,444,56,30432370.323021192,26854825.107963137,43893658.198047213,444,0,0
D235_F07_V01,235,7,RI100,dimensionless,444,444,56,0.23415256009957408,0.14732697401681477,0.45914238488811188,444,0,0
D235_F07_V01,235,7,RI500,dimensionless,444,444,56,0.14296228599655492,0.094420858772390329,0.20108117316648066,444,0,0
D235_F10_V01,235,10,source,raw_SV_instrument_units,461,461,39,220026699.75491247,141822700.04562566,334808074.71240169,461,0,0
D235_F10_V01,235,10,tail100,raw_SV_instrument_units,461,461,39,49979061.166687183,34100988.54593011,107832524.13913801,461,0,0
D235_F10_V01,235,10,tail500,raw_SV_instrument_units,461,461,39,30712304.123685014,26734021.046083629,43986534.364570037,461,0,0
D235_F10_V01,235,10,RI100,dimensionless,461,461,39,0.22888567244423688,0.14082507485083948,0.55374200239905369,461,0,0
D235_F10_V01,235,10,RI500,dimensionless,461,461,39,0.14007813403814831,0.092700731423337832,0.22587982440440077,461,0,0
D285_F01_V01,285,1,source,raw_SV_instrument_units,453,453,47,217567134.03221822,146387002.56204131,325257755.23040897,453,0,0
D285_F01_V01,285,1,tail100,raw_SV_instrument_units,453,453,47,45215322.193180032,35431565.259530552,100405661.27625446,453,0,0
D285_F01_V01,285,1,tail500,raw_SV_instrument_units,453,453,47,28861628.697207291,25498091.216798875,44933009.10942626,453,0,0
D285_F01_V01,285,1,RI100,dimensionless,453,453,47,0.2049835580654048,0.14080516413260247,0.36189175442006577,453,0,0
D285_F01_V01,285,1,RI500,dimensionless,453,453,47,0.13272170147554466,0.094157089848828548,0.18753987845289907,453,0,0
D285_F03_V01,285,3,source,raw_SV_instrument_units,474,474,26,223769889.03170121,150712665.69924924,371862927.27810395,474,0,0
D285_F03_V01,285,3,tail100,raw_SV_instrument_units,474,474,26,45336020.369953133,36290065.083554573,424607022.31420171,474,0,0
D285_F03_V01,285,3,tail500,raw_SV_instrument_units,474,474,26,29272722.233779415,25244289.662263613,117051318.50978166,474,0,0
D285_F03_V01,285,3,RI100,dimensionless,474,474,26,0.20164976196524345,0.12496266042264084,1.4297245692432967,474,0,0
D285_F03_V01,285,3,RI500,dimensionless,474,474,26,0.13095530836444219,0.085520709183231722,0.3941318375368757,474,0,0
D285_F05_V01,285,5,source,raw_SV_instrument_units,492,492,8,220536135.55605829,150511587.25715241,424541125.05244356,492,0,0
D285_F05_V01,285,5,tail100,raw_SV_instrument_units,492,492,8,45552696.296688199,36335199.201109014,60484896.946078733,492,0,0
D285_F05_V01,285,5,tail500,raw_SV_instrument_units,492,492,8,29090608.716573328,25482966.936460212,34819848.205924362,492,0,0
D285_F05_V01,285,5,RI100,dimensionless,492,492,8,0.20424396703283285,0.10820404206732252,0.29656832588456478,492,0,0
D285_F05_V01,285,5,RI500,dimensionless,492,492,8,0.13094398005305494,0.071373707077446363,0.19005925106852586,492,0,0
D285_F07_V01,285,7,source,raw_SV_instrument_units,458,458,42,216359764.34816194,115691644.39731432,378100014.37381673,458,0,0
D285_F07_V01,285,7,tail100,raw_SV_instrument_units,458,458,42,45486178.327436194,34485449.32385724,62228680.481405482,458,0,0
D285_F07_V01,285,7,tail500,raw_SV_instrument_units,458,458,42,29523738.549766574,25402563.590571035,35239609.613616578,458,0,0
D285_F07_V01,285,7,RI100,dimensionless,458,458,42,0.20826992156020055,0.14160521350567837,0.31056688514951886,458,0,0
D285_F07_V01,285,7,RI500,dimensionless,458,458,42,0.13697427484533969,0.088799691645536721,0.22549617102308966,458,0,0
D285_F10_V01,285,10,source,raw_SV_instrument_units,494,494,6,211383598.84193882,141503117.77633587,377855873.25549227,494,0,0
D285_F10_V01,285,10,tail100,raw_SV_instrument_units,494,494,6,43471339.917659484,33968583.269212775,80819982.386945575,494,0,0
D285_F10_V01,285,10,tail500,raw_SV_instrument_units,494,494,6,28085588.355252143,24351871.575970277,39301590.169730656,494,0,0
D285_F10_V01,285,10,RI100,dimensionless,494,494,6,0.20190292792899753,0.12646997694618312,0.29416019137210525,494,0,0
D285_F10_V01,285,10,RI500,dimensionless,494,494,6,0.13143221939853203,0.079837429935556731,0.19044994821306932,494,0,0
