diameter_um,metric,n_common_flow_volumes,median_across_flows,min_across_flows,max_across_flows,absolute_range,range_percent_of_median,flow_at_min_mm_s,flow_at_max_mm_s,flow1_value,flow10_value,flow1_to_flow10_percent_difference,values_by_flow_json
235,ri_tail_300um,5,0.20497702881442795,0.19871596028412211,0.20827812879622096,0.0095621685120988453,4.664995178926012,10,1,0.20827812879622096,0.19871596028412211,-4.5910574323694151,"{""1"":0.20827812879622096,""3"":0.20573670440297795,""5"":0.2016608611246801,""7"":0.20497702881442795,""10"":0.1987159602841221}"
235,ri_tail_500um,5,0.17529068400131981,0.16937144089605621,0.17777253294335629,0.0084010920473000794,4.7926631669922779,10,1,0.17777253294335629,0.16937144089605621,-4.7257536967068594,"{""1"":0.1777725329433563,""3"":0.17681734386491266,""5"":0.17337407043624395,""7"":0.1752906840013198,""10"":0.1693714408960562}"
285,source_mean_raw,5,187971723.14791086,181027984.37412828,191099592.95647657,10071608.582348287,5.3580445046104925,10,7,182701265.06734148,181027984.37412828,-0.9158561067414851,"{""1"":182701265.06734148,""3"":187971723.14791086,""5"":188761489.6040985,""7"":191099592.95647657,""10"":181027984.37412828}"
285,tail_mean_raw_100um,5,46885103.350249022,45084849.326288551,47392841.943953529,2307992.6176649779,4.9226565641189302,10,7,46215373.267647833,45084849.326288551,-2.4462075310136742,"{""1"":46215373.26764783,""3"":46919403.80513995,""5"":46885103.35024902,""7"":47392841.94395353,""10"":45084849.32628855}"
285,tail_mean_raw_200um,5,39346864.296426252,37943264.382452726,40044623.319057375,2101358.9366046488,5.3406007675064169,10,7,38738383.023642309,37943264.382452726,-2.0525344093591005,"{""1"":38738383.02364231,""3"":39480676.4192849,""5"":39346864.29642625,""7"":40044623.319057375,""10"":37943264.38245273}"
285,tail_mean_raw_300um,5,34996145.117201149,33610216.089180544,35600521.828541696,1990305.7393611521,5.6872142137246025,10,7,34478073.327728957,33610216.089180544,-2.5171280027716616,"{""1"":34478073.32772896,""3"":34996145.11720115,""5"":35010011.12818334,""7"":35600521.828541696,""10"":33610216.089180544}"
285,tail_mean_raw_500um,5,30196015.411628582,29135322.83867304,30866888.17562015,1731565.3369471096,5.7344166551202589,10,7,29879904.592537452,29135322.83867304,-2.4919147635108971,"{""1"":29879904.59253745,""3"":30325801.39341609,""5"":30196015.41162858,""7"":30866888.17562015,""10"":29135322.83867304}"
285,ri_tail_100um,5,0.24621206821365479,0.24518251916612088,0.25005788467519863,0.0048753655090777448,1.9801488791552906,7,1,0.25005788467519863,0.24559664661580899,-1.7840821396951196,"{""1"":0.2500578846751986,""3"":0.2477741102938914,""5"":0.2462120682136548,""7"":0.24518251916612088,""10"":0.245596646615809}"
285,ri_tail_200um,5,0.20700660211090971,0.20521588883451555,0.2111973443426412,0.0059814555081256493,2.8894998744633824,5,1,0.2111973443426412,0.2067411758494504,-2.1099547946783033,"{""1"":0.2111973443426412,""3"":0.20869036593212437,""5"":0.20521588883451555,""7"":0.2070066021109097,""10"":0.2067411758494504}"
285,ri_tail_300um,5,0.18521065518928836,0.18294054964168288,0.18732631882992229,0.0043857691882394079,2.3679896730331627,5,1,0.18732631882992229,0.18456219465634494,-1.4755663757461455,"{""1"":0.1873263188299223,""3"":0.18637091805780187,""5"":0.18294054964168288,""7"":0.18521065518928836,""10"":0.18456219465634494}"
