flow_mm_s,metric,diameter_from_um,diameter_to_um,value_from,value_to,absolute_difference,percent_difference
5,tail_mean_raw_500um,235,285,31795299.089069732,30196015.411628582,-1599283.67744115,-5.0299375167410698
5,tail_mean_raw_500um,285,500,30196015.411628582,27208274.131761987,-2987741.2798665948,-9.8944885248535339
5,tail_mean_raw_500um,128,500,39176211.170652874,27208274.131761987,-11967937.038890887,-30.548990525801884
5,ri_tail_100um,128,235,0.46479240330922622,0.27347892088812459,-0.19131348242110163,-41.161060520565535
5,ri_tail_100um,235,285,0.27347892088812459,0.24621206821365479,-0.027266852674469794,-9.970367217305272
5,ri_tail_100um,285,500,0.24621206821365479,0.3279709668696385,0.081758898655983708,33.206698294348435
5,ri_tail_100um,128,500,0.46479240330922622,0.3279709668696385,-0.13682143643958772,-29.437106860062098
5,ri_tail_200um,128,235,0.3703086726001541,0.2302556080705461,-0.140053064529608,-37.820627733672396
5,ri_tail_200um,235,285,0.2302556080705461,0.20521588883451555,-0.025039719236030544,-10.874748913111741
5,ri_tail_200um,285,500,0.20521588883451555,0.29946385834770511,0.094247969513189561,45.926253590037746
5,ri_tail_200um,128,500,0.3703086726001541,0.29946385834770511,-0.070844814252448984,-19.131286814053272
5,ri_tail_300um,128,235,0.31468877559387143,0.2016608611246801,-0.11302791446919133,-35.917364467762908
5,ri_tail_300um,235,285,0.2016608611246801,0.18294054964168288,-0.018720311482997215,-9.2830663216414013
5,ri_tail_300um,285,500,0.18294054964168288,0.28094972239111687,0.098009172749433993,53.574329442761588
5,ri_tail_300um,128,500,0.31468877559387143,0.28094972239111687,-0.033739053202754554,-10.721403437120756
5,ri_tail_500um,128,235,0.25664555029926406,0.17337407043624395,-0.083271479863020109,-32.446103104425767
5,ri_tail_500um,235,285,0.17337407043624395,0.15851643840265062,-0.014857632033593332,-8.5696967235115089
5,ri_tail_500um,285,500,0.15851643840265062,0.26514097787459928,0.10662453947194866,67.264026713185189
5,ri_tail_500um,128,500,0.25664555029926406,0.26514097787459928,0.0084954275753352237,3.3101791811426486
7,source_mean_raw,128,235,123276893.01101619,182131252.49924386,58854359.488227665,47.741598648960398
7,source_mean_raw,235,285,182131252.49924386,191099592.95647657,8968340.4572327137,4.924108484495239
7,source_mean_raw,285,500,191099592.95647657,104553326.99517109,-86546265.961305484,-45.288566355563418
7,source_mean_raw,128,500,123276893.01101619,104553326.99517109,-18723566.015845105,-15.188220240245625
7,tail_mean_raw_100um,128,235,71417104.33005555,50688172.083879545,-20728932.246176004,-29.025164826589492
7,tail_mean_raw_100um,235,285,50688172.083879545,47392841.943953529,-3295330.1399260163,-6.5011816454396003
7,tail_mean_raw_100um,285,500,47392841.943953529,33378987.386742279,-14013854.55721125,-29.569559415288801
7,tail_mean_raw_100um,128,500,71417104.33005555,33378987.386742279,-38038116.943313271,-53.261914355305372
