flow_mm_s,target_r_um,diameter_from_um,diameter_to_um,ri_r_median_from,ri_r_median_to,absolute_difference,percent_difference
1,370,128,235,0.17024769025279335,0.1353179282199729,-0.034929762032820444,-20.517025506163851
1,370,235,285,0.1353179282199729,0.1220393605139737,-0.013278567705999209,-9.8128665437543212
1,370,285,500,0.1220393605139737,0.21069228392340381,0.088652923409430109,72.642894092581884
1,370,128,500,0.17024769025279335,0.21069228392340381,0.040444593670610457,23.756324453245764
1,380,128,235,0.16759029995850577,0.13263132685367529,-0.034958973104830482,-20.859783121986229
1,380,235,285,0.13263132685367529,0.1220194549544875,-0.010611871899187789,-8.001029734773951
1,380,285,500,0.1220194549544875,0.2064582926290876,0.084438837674600101,69.201126743350272
1,380,128,500,0.16759029995850577,0.2064582926290876,0.03886799267058183,23.192268693477654
1,390,128,235,0.16407235292351563,0.1313774169852332,-0.032694935938282432,-19.9271451623075
1,390,235,285,0.1313774169852332,0.1224152779297539,-0.0089621390554792957,-6.8216739688881525
1,390,285,500,0.1224152779297539,0.2109843735633572,0.088569095633603295,72.351341377852592
1,390,128,500,0.16407235292351563,0.2109843735633572,0.046912020639841567,28.592276397541635
1,400,128,235,0.16593235069010226,0.1326824168490067,-0.033249933841095564,-20.038246732967483
1,400,235,285,0.1326824168490067,0.1232522697491281,-0.0094301470998785913,-7.1073073010195085
1,400,285,500,0.1232522697491281,0.20995348537186881,0.086701215622740704,70.344518441092674
1,400,128,500,0.16593235069010226,0.20995348537186881,0.044021134681766549,26.529567319865841
1,410,128,235,0.1629439522997872,0.12892593266240801,-0.034018019637379188,-20.877129317933953
1,410,235,285,0.12892593266240801,0.12342832431716259,-0.0054976083452454166,-4.2641602288353271
1,410,285,500,0.12342832431716259,0.2136254760274304,0.090197151710267806,73.076542365183812
1,410,128,500,0.1629439522997872,0.2136254760274304,0.050681523727643202,31.103654362328484
1,420,128,235,0.1681593748965341,0.13272006714555021,-0.035439307750983889,-21.074833188925183
1,420,235,285,0.13272006714555021,0.1225857932172108,-0.010134273928339405,-7.6358264023672051
1,420,285,500,0.1225857932172108,0.21046740534066899,0.087881612123458186,71.689883319301131
1,420,128,500,0.1681593748965341,0.21046740534066899,0.042308030444134892,25.159483656600404
1,430,128,235,0.16103446833935678,0.1270870458506288,-0.03394742248872798,-21.080842405235078
1,430,235,285,0.1270870458506288,0.1220686841433835,-0.0050183617072453029,-3.9487594299293192
1,430,285,500,0.1220686841433835,0.2121138904158536,0.090045206272470105,73.766016979999407
1,430,128,500,0.16103446833935678,0.2121138904158536,0.051079422076496822,31.719558305278063
1,440,128,235,0.16002764074123182,0.1318252918536052,-0.028202348887626627,-17.62342352670839
1,440,235,285,0.1318252918536052,0.12308276165302599,-0.0087425302005792044,-6.6319065769928054
1,440,285,500,0.12308276165302599,0.2095890000564406,0.086506238403414606,70.282984588271006
1,440,128,500,0.16002764074123182,0.2095890000564406,0.049561359315208775,30.970499274778771
1,450,128,235,0.16270151151370735,0.12856764034009069,-0.034133871173616659,-20.979443187742564
1,450,235,285,0.12856764034009069,0.1199317991475834,-0.0086358411925072931,-6.7169632807007478
1,450,285,500,0.1199317991475834,0.2115598924542457,0.0916280933066623,76.400165725779146
1,450,128,500,0.16270151151370735,0.2115598924542457,0.048858380940538348,30.029457308650819
1,460,128,235,0.15867273709577334,0.12826946711438419,-0.030403269981389147,-19.160991697671431
1,460,235,285,0.12826946711438419,0.121360356796835,-0.0069091103175491914,-5.3864029164384055
1,460,285,500,0.121360356796835,0.21125087118738181,0.089890514390546808,74.069092052052284
1,460,128,500,0.15867273709577334,0.21125087118738181,0.052578134091608469,33.136211710946171
1,470,128,235,0.16213755660280738,0.13283940758200191,-0.029298149020805464,-18.069933724595288
1,470,235,285,0.13283940758200191,0.1205946202685646,-0.012244787313437311,-9.2177370678791917
1,470,285,500,0.1205946202685646,0.21749101921095901,0.096896398942394407,80.348856961119679
1,470,128,500,0.16213755660280738,0.21749101921095901,0.055353462608151632,34.139815455436064
1,480,128,235,0.15927043118157269,0.12789140500813931,-0.031379026173433383,-19.701727395752716
1,480,235,285,0.12789140500813931,0.1206976426743467,-0.007193762333792611,-5.6248989784221877
1,480,285,500,0.1206976426743467,0.2143118988052844,0.093614256130937698,77.560964784968959
1,480,128,500,0.15927043118157269,0.2143118988052844,0.055041467623711704,34.558497277478274
1,490,128,235,0.15546748068340291,0.1293658986366141,-0.026101582046788807,-16.789094370122708
1,490,235,285,0.1293658986366141,0.1215768489415949,-0.0077890496950192012,-6.0209450690699153
1,490,285,500,0.1215768489415949,0.2149691866230985,0.093392337681503595,76.817534336959952
1,490,128,500,0.15546748068340291,0.2149691866230985,0.059501705939695587,38.272766547794042
1,500,128,235,0.15753648129063663,0.12929541274443671,-0.028241068546199927,-17.926684863614806
1,500,235,285,0.12929541274443671,0.1213746520590943,-0.0079207606853424067,-6.1260956728592211
