scan_id,diameter_um,flow_mm_s,subset,n_frames,fraction_of_valid_frames,x1_p10_um,x1_p90_um,z_top_p10_px,z_top_p90_px,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,grid_scope
D500_F05_V01,500,5,central80_x1_z_top,361,0.76645435244161364,571.5,647.69999999999993,178.5,196.5,101366778.70060572,27161071.185176667,0.2672511255243602,common_grid
D500_F05_V01,500,5,direct_plus_central_geometry,302,0.64118895966029721,571.5,647.69999999999993,178.5,196.5,100609716.14395063,27152213.052420013,0.26820461451407973,common_grid
D500_F07_V01,500,7,all_valid,477,1,571.5,647.69999999999993,180.5,196.5,104553326.99517109,27403074.145219389,0.2605184453414251,common_grid
D500_F07_V01,500,7,direct_candidate_supported_only,400,0.83857442348008382,571.5,647.69999999999993,180.5,196.5,103351577.56596303,27336322.608611636,0.26239735996067726,common_grid
D500_F07_V01,500,7,central80_x1,400,0.83857442348008382,571.5,647.69999999999993,180.5,196.5,104719079.71424243,27413147.486730315,0.26010501870804209,common_grid
D500_F07_V01,500,7,central80_z_top,423,0.8867924528301887,571.5,647.69999999999993,180.5,196.5,102998732.41284482,27302182.938198093,0.26470337295262403,common_grid
D500_F07_V01,500,7,central80_x1_z_top,354,0.74213836477987416,571.5,647.69999999999993,180.5,196.5,103312256.41943757,27294605.502242513,0.26389008030561545,common_grid
D500_F07_V01,500,7,direct_plus_central_geometry,306,0.64150943396226412,571.5,647.69999999999993,180.5,196.5,102773696.45897678,27222265.417081982,0.26584075601772883,common_grid
D500_F09_V01,500,9,all_valid,482,1,584.19999999999993,647.69999999999993,180.5,195.5,101843473.41110751,27014460.558832109,0.26268423619492109,d500_extension
D500_F09_V01,500,9,direct_candidate_supported_only,401,0.83195020746887971,584.19999999999993,647.69999999999993,180.5,195.5,101194784.61417244,26958682.865777552,0.26346659051454768,d500_extension
D500_F09_V01,500,9,central80_x1,399,0.82780082987551862,584.19999999999993,647.69999999999993,180.5,195.5,101770137.81389695,27005057.216894954,0.26289556095088079,d500_extension
D500_F09_V01,500,9,central80_z_top,436,0.9045643153526971,584.19999999999993,647.69999999999993,180.5,195.5,100612416.08499518,26906639.507067069,0.26568570827108967,d500_extension
D500_F09_V01,500,9,central80_x1_z_top,364,0.75518672199170123,584.19999999999993,647.69999999999993,180.5,195.5,100612416.08499518,26906639.507067069,0.26568570827108967,d500_extension
D500_F09_V01,500,9,direct_plus_central_geometry,305,0.63278008298755184,584.19999999999993,647.69999999999993,180.5,195.5,100362922.57969519,26878779.279917806,0.2668908843844201,d500_extension
D500_F10_V01,500,10,all_valid,500,1,584.19999999999993,647.69999999999993,177.5,195.5,102744679.6192846,26597118.981886633,0.25764217124228139,common_grid
D500_F10_V01,500,10,direct_candidate_supported_only,424,0.84799999999999998,584.19999999999993,647.69999999999993,177.5,195.5,102323136.05469736,26539393.171038359,0.2578919192159137,common_grid
D500_F10_V01,500,10,central80_x1,427,0.85399999999999998,584.19999999999993,647.69999999999993,177.5,195.5,102912256.24012908,26587606.419526611,0.25642133760404029,common_grid
D500_F10_V01,500,10,central80_z_top,466,0.93200000000000005,584.19999999999993,647.69999999999993,177.5,195.5,101736518.57383233,26523952.061234832,0.26051367467743003,common_grid
D500_F10_V01,500,10,central80_x1_z_top,399,0.79800000000000004,584.19999999999993,647.69999999999993,177.5,195.5,102051046.13192184,26515783.032710511,0.25873006108160118,common_grid
D500_F10_V01,500,10,direct_plus_central_geometry,343,0.68600000000000005,584.19999999999993,647.69999999999993,177.5,195.5,101777506.62993744,26452985.215481415,0.25808561163862098,common_grid
D500_F12_V01,500,12,all_valid,500,1,584.19999999999993,647.69999999999993,177.5,194.5,103872200.47110978,26883236.521668866,0.25900441820632619,d500_extension
D500_F12_V01,500,12,direct_candidate_supported_only,422,0.84399999999999997,584.19999999999993,647.69999999999993,177.5,194.5,103167161.08568615,26878989.894011214,0.26040048199773647,d500_extension
D500_F12_V01,500,12,central80_x1,416,0.83199999999999996,584.19999999999993,647.69999999999993,177.5,194.5,104064332.39713708,26863141.128810622,0.25755706142756751,d500_extension
D500_F12_V01,500,12,central80_z_top,428,0.85599999999999998,584.19999999999993,647.69999999999993,177.5,194.5,103320722.10765304,26785241.238483932,0.26016661378591943,d500_extension
D500_F12_V01,500,12,central80_x1_z_top,358,0.71599999999999997,584.19999999999993,647.69999999999993,177.5,194.5,103752186.35581172,26744869.224450424,0.25913087656187828,d500_extension
D500_F12_V01,500,12,direct_plus_central_geometry,300,0.59999999999999998,584.19999999999993,647.69999999999993,177.5,194.5,103073088.10271248,26733707.237499826,0.26016661378591943,d500_extension
