flow_mm_s,subset,n_frames,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,source_segment_min_median,source_segment_max_median,source_segment_range_pct_of_volume_subset_median,x1_apparent_width_um_median,z_top_edge_px_median,source_area_um2_median,direct_candidate_supported_fraction_of_valid,rho_x1_vs_source,rho_z_top_vs_source,rho_source_area_vs_source,grid_scope,source_vs_d235_percent_difference,tail500_vs_d235_percent_difference,ri_vs_d235_percent_difference,source_vs_d285_percent_difference,tail500_vs_d285_percent_difference,ri_vs_d285_percent_difference
7,direct_plus_central_geometry,306,102773696.45897678,27222265.417081982,0.26584075601772883,90618027.049596369,126011039.44588524,34.437812023640092,609.59999999999991,184.5,239392.07304687501,0.83857442348008382,-0.25199743141751985,0.88847046856842971,-0.24862925032364294,common_grid,-43.141642097221485,-13.977942326388149,48.74934750342517,-46.964354398665527,-11.655540399763236,66.834733547289915
9,all_valid,482,101843473.41110751,27014460.558832109,0.26268423619492109,89957444.009965748,126219681.66973412,35.605853222807937,609.59999999999991,183.5,239392.73781250001,0.83195020746887971,-0.1654311666190858,0.882418493372221,-0.155207720618777,d500_extension,,,,,,
9,central80_x1,399,101770137.81389695,27005057.216894954,0.26289556095088079,89957444.009965748,126219681.66973412,35.631510813201118,609.59999999999991,183.5,239392.73781250001,0.83195020746887971,-0.1654311666190858,0.882418493372221,-0.155207720618777,d500_extension,,,,,,
9,central80_x1_z_top,364,100612416.08499518,26906639.507067069,0.26568570827108967,89957444.009965748,126219681.66973412,36.041513633004122,609.59999999999991,183.5,239392.73781250001,0.83195020746887971,-0.1654311666190858,0.882418493372221,-0.155207720618777,d500_extension,,,,,,
9,central80_z_top,436,100612416.08499518,26906639.507067069,0.26568570827108967,89957444.009965748,126219681.66973412,36.041513633004122,609.59999999999991,183.5,239392.73781250001,0.83195020746887971,-0.1654311666190858,0.882418493372221,-0.155207720618777,d500_extension,,,,,,
9,direct_candidate_supported_only,401,101194784.61417244,26958682.865777552,0.26346659051454768,89957444.009965748,126219681.66973412,35.834097377672371,609.59999999999991,183.5,239392.73781250001,0.83195020746887971,-0.1654311666190858,0.882418493372221,-0.155207720618777,d500_extension,,,,,,
9,direct_plus_central_geometry,305,100362922.57969519,26878779.279917806,0.2668908843844201,89957444.009965748,126219681.66973412,36.131109704356817,609.59999999999991,183.5,239392.73781250001,0.83195020746887971,-0.1654311666190858,0.882418493372221,-0.155207720618777,d500_extension,,,,,,
10,all_valid,500,102744679.6192846,26597118.981886633,0.25764217124228139,89472138.273442,125743051.97818576,35.301987255343889,622.29999999999995,180.5,244366.01564453126,0.84799999999999998,-0.21770016660036023,0.88763075238375333,-0.21586349508382549,common_grid,-45.762765552937402,-16.737035411784763,52.116655487625692,-43.243758706972372,-8.7117752936559167,60.894167111896877
10,central80_x1,427,102912256.24012908,26587606.419526611,0.25642133760404029,89472138.273442,125743051.97818576,35.24450345361339,622.29999999999995,180.5,244366.01564453126,0.84799999999999998,-0.21770016660036023,0.88763075238375333,-0.21586349508382549,common_grid,-45.764828262683658,-16.898651430917045,51.61454144933063,-43.052008933224933,-8.7614137684242461,59.970708546122104
10,central80_x1_z_top,399,102051046.13192184,26515783.032710511,0.25873006108160118,89472138.273442,125743051.97818576,35.541932277554693,622.29999999999995,180.5,244366.01564453126,0.84799999999999998,-0.21770016660036023,0.88763075238375333,-0.21586349508382549,common_grid,-45.483390793353948,-16.436750134166378,51.30219743917371,-43.201852384277721,-8.7174377496053808,60.228813941224409
10,central80_z_top,466,101736518.57383233,26523952.061234832,0.26051367467743003,89472138.273442,125743051.97818576,35.651813344115162,622.29999999999995,180.5,244366.01564453126,0.84799999999999998,-0.21770016660036023,0.88763075238375333,-0.21586349508382549,common_grid,-45.472003093852209,-16.23126284322375,51.67188653297417,-43.457010708154627,-8.7017799852417781,61.400079476714517
10,direct_candidate_supported_only,424,102323136.05469736,26539393.171038359,0.2578919192159137,89472138.273442,125743051.97818576,35.447421866893279,622.29999999999995,180.5,244366.01564453126,0.84799999999999998,-0.21770016660036023,0.88763075238375333,-0.21586349508382549,common_grid,-45.444749587547385,-16.584334218875838,51.328463936817371,-43.449437450455207,-8.8533979153716089,60.834943884773523
10,direct_plus_central_geometry,343,101777506.62993744,26452985.215481415,0.25808561163862098,89472138.273442,125743051.97818576,35.637455569259167,622.29999999999995,180.5,244366.01564453126,0.84799999999999998,-0.21770016660036023,0.88763075238375333,-0.21586349508382549,common_grid,-44.662474629166084,-16.783335454822975,48.64334051843327,-43.050147960099572,-8.8773943802728414,59.801645874161899
12,all_valid,500,103872200.47110978,26883236.521668866,0.25900441820632619,89881456.976801425,125743051.97818576,34.524728309148131,609.59999999999991,180.5,239396.061640625,0.84399999999999997,-0.24127289254120515,0.89720835785953779,-0.23566025390234716,d500_extension,,,,,,
12,central80_x1,416,104064332.39713708,26863141.128810622,0.25755706142756751,89881456.976801425,125743051.97818576,34.460985983676885,609.59999999999991,180.5,239396.061640625,0.84399999999999997,-0.24127289254120515,0.89720835785953779,-0.23566025390234716,d500_extension,,,,,,
12,central80_x1_z_top,358,103752186.35581172,26744869.224450424,0.25913087656187828,89881456.976801425,125743051.97818576,34.564664380564672,609.59999999999991,180.5,239396.061640625,0.84399999999999997,-0.24127289254120515,0.89720835785953779,-0.23566025390234716,d500_extension,,,,,,
12,central80_z_top,428,103320722.10765304,26785241.238483932,0.26016661378591943,89881456.976801425,125743051.97818576,34.709005386179008,609.59999999999991,180.5,239396.061640625,0.84399999999999997,-0.24127289254120515,0.89720835785953779,-0.23566025390234716,d500_extension,,,,,,
12,direct_candidate_supported_only,422,103167161.08568615,26878989.894011214,0.26040048199773647,89881456.976801425,125743051.97818576,34.760668631367359,609.59999999999991,180.5,239396.061640625,0.84399999999999997,-0.24127289254120515,0.89720835785953779,-0.23566025390234716,d500_extension,,,,,,
12,direct_plus_central_geometry,300,103073088.10271248,26733707.237499826,0.26016661378591943,89881456.976801425,125743051.97818576,34.7923940783148,609.59999999999991,180.5,239396.061640625,0.84399999999999997,-0.24127289254120515,0.89720835785953779,-0.23566025390234716,d500_extension,,,,,,
