scan_id,diameter_um,flow_mm_s,segment_index,segment_frames_0based,valid_frame_count,nominal_frame_count,valid_fraction,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,grid_scope
D128_F10_V01,128,10,4,400-499,86,100,0.85999999999999999,143447218.9358137,39852445.492856607,0.27988054346208013,common_grid
D235_F01_V01,235,1,0,0-99,85,100,0.84999999999999998,196189213.64646885,32231095.500766184,0.16767762665204011,common_grid
D235_F01_V01,235,1,1,100-199,90,100,0.90000000000000002,182596009.65155038,30573297.3769814,0.1663867405817934,common_grid
D235_F01_V01,235,1,2,200-299,98,100,0.97999999999999998,177821351.88588765,30925377.435315412,0.17466534043689361,common_grid
D235_F01_V01,235,1,3,300-399,96,100,0.95999999999999996,167220755.09000021,31861696.100628581,0.19195517765689324,common_grid
D235_F01_V01,235,1,4,400-499,79,100,0.79000000000000004,163957902.15945116,32020959.690870304,0.19470850337831519,common_grid
D235_F03_V01,235,3,0,0-99,88,100,0.88,204160665.51152137,33015016.673318289,0.16581061750817838,common_grid
D235_F03_V01,235,3,1,100-199,89,100,0.89000000000000001,192596686.66354832,31693863.39022718,0.16949791854374499,common_grid
D235_F03_V01,235,3,2,200-299,91,100,0.91000000000000003,188348923.56034097,31688609.869923521,0.17077064968378619,common_grid
D235_F03_V01,235,3,3,300-399,91,100,0.91000000000000003,173197182.60730761,31849635.369491644,0.18663345643488261,common_grid
D235_F03_V01,235,3,4,400-499,89,100,0.89000000000000001,167388373.83423436,33183115.992557768,0.1997246183931197,common_grid
D235_F05_V01,235,5,0,0-99,82,100,0.81999999999999995,205947519.4886893,32820711.763197988,0.1599858509818381,common_grid
D235_F05_V01,235,5,1,100-199,86,100,0.85999999999999999,184625082.88398308,31553481.838437304,0.16915068103202685,common_grid
D235_F05_V01,235,5,2,200-299,84,100,0.83999999999999997,188627201.50738961,31325104.873591032,0.16502081147021203,common_grid
D235_F05_V01,235,5,3,300-399,88,100,0.88,175399969.45725894,31733460.686019063,0.18244507775367855,common_grid
D235_F05_V01,235,5,4,400-499,84,100,0.83999999999999997,169754079.34674579,32156052.504322253,0.19059679806958885,common_grid
D235_F07_V01,235,7,0,0-99,77,100,0.77000000000000002,209153886.22940919,32472158.931790933,0.15607826641676081,common_grid
