scan_id,diameter_um,flow_mm_s,nominal_frames,geometry_valid_frames,geometry_valid_fraction,direct_candidate_supported_count,short_gap_or_other_valid_count,direct_candidate_supported_fraction_of_valid,x1_apparent_width_um_q1,x1_apparent_width_um_median,x1_apparent_width_um_q3,x4_px_q1,x4_px_median,x4_px_q3,z_top_edge_px_q1,z_top_edge_px_median,z_top_edge_px_q3,source_area_um2_q1,source_area_um2_median,source_area_um2_q3,rho_x1_vs_source,rho_x1_vs_tail500,rho_x1_vs_ri,rho_z_top_vs_source,rho_z_top_vs_tail500,rho_z_top_vs_ri,rho_source_area_vs_source,rho_source_area_vs_tail500,rho_source_area_vs_ri,grid_scope
D285_F01_V01,285,1,500,453,0.90600000000000003,350,103,0.77262693156732887,381,406.39999999999998,431.80000000000001,213.5083868017968,220.91183443207063,227.27195119371248,173.5,180.5,187.5,85285.441093750007,90969.519570312492,96652.600898437508,-0.38188803677900085,0.038249357402998833,0.46280348899684509,0.65842904689051429,0.65955586729521332,-0.52282288004290289,-0.38172039094482441,0.036764541452430556,0.46398760473573286,common_grid
D285_F03_V01,285,3,500,474,0.94799999999999995,347,127,0.73206751054852326,393.69999999999999,406.39999999999998,431.80000000000001,213.24363703213021,220.18466409191356,226.85258036151276,173.5,181,187.5,88124.738173828111,90971.513867187503,96651.188271484396,-0.27444274519320905,0.03177790082352322,0.34102345849735588,0.74196033573122699,0.66933382939908326,-0.63902911961382558,-0.28002769236914071,0.022096225439372785,0.34520761064457589,common_grid
D285_F05_V01,285,5,500,492,0.98399999999999999,348,144,0.70731707317073167,381,406.39999999999998,419.10000000000002,219.3410333611013,225.64144233063456,231.1091475014743,171.5,180.5,188.5,85285.773476562492,90969.519570312492,93815.796689453127,-0.26102783031013688,0.020725826603622426,0.31842495630493201,0.74137441902593981,0.6362517713847341,-0.64539654757384912,-0.25536851910135633,0.022298978503520698,0.31267566302559052,common_grid
D285_F07_V01,285,7,500,458,0.91600000000000004,353,105,0.77074235807860259,380.9999999999996,393.69999999999999,419.09999999999962,243.14993807747757,246.11793694070053,248.5816221897478,170.5,179.5,183.5,85282.117265624998,88128.145097656248,93800.008505859369,-0.09749133870257122,0.082592376281296981,0.16506035467391908,0.63588964634083767,0.58735347107034086,-0.52715028334900249,-0.093350589607202189,0.07950620239146744,0.15482160248499205,common_grid
D285_F10_V01,285,10,500,494,0.98799999999999999,357,137,0.72267206477732793,393.69999999999999,406.39999999999998,419.10000000000002,257.10323832890231,257.41479992206382,257.77033545014666,173.5,175.5,181.5,88123.325546875014,90971.680058593745,93815.713593750013,-0.25729375472854188,0.020813964456710816,0.31587700209464575,0.69189835914042408,0.52832522486840805,-0.60661851096654251,-0.25402303529922315,0.0241193719787197,0.31102952340878848,common_grid
D500_F01_V01,500,1,500,500,1,435,65,0.87,596.89999999999998,615.94999999999993,635,189.70134033241021,192.84760222069411,195.64616755256111,164.5,168.5,176.5,234408.90682617188,241877.46552734374,249368.21078125,-0.068939701650623353,0.12995600304162244,0.13555345250656811,0.90605840932375803,0.77774138853955899,-0.86020249093520829,-0.063278104446585257,0.13495880847008873,0.12973011041003385,common_grid
D500_F02_V01,500,2,500,493,0.98599999999999999,424,69,0.86004056795131845,596.89999999999998,609.59999999999991,635,188.8639400039516,192.83332204430403,196.43926274809664,164.5,168.5,176.5,234400.01558593751,239392.07304687501,249363.55742187501,-0.081009666420383264,0.1684785656026869,0.16305621207403312,0.90471359744360091,0.81102323336769133,-0.85087530525957067,-0.068142744881789258,0.16705248642276618,0.14684656289360723,d500_extension
D500_F03_V01,500,3,500,490,0.97999999999999998,440,50,0.89795918367346939,596.89999999999998,609.59999999999991,635,188.40219749383127,191.979136760426,195.75992334573635,164.5,169.5,177.25,234399.26772460938,239393.0701953125,249363.2250390625,-0.12988120181358495,0.072825424144946235,0.19058987557615126,0.90449718360979592,0.81683366443996708,-0.86187833366757949,-0.12643251519181092,0.069907877683813763,0.18654935787780338,common_grid
D500_F05_V01,500,5,500,471,0.94199999999999995,381,90,0.80891719745222934,596.89999999999998,609.59999999999991,635,284.77968012889778,286.49573724786666,287.96336113456579,179.5,182.5,189.5,234393.7003125,239390.4111328125,249361.56312499999,-0.23211920623067825,0.12318656730411577,0.29403260616913945,0.87791621828429878,0.58140832642113049,-0.83194158120515771,-0.22618164002477553,0.12459044504621726,0.28787074717968358,common_grid
D500_F07_V01,500,7,500,477,0.95399999999999996,400,77,0.83857442348008382,596.89999999999998,609.59999999999991,622.29999999999995,286.01130894658883,287.11974813831341,288.12808634868679,181.5,184.5,189.5,234389.71171875001,239392.07304687501,244390.44578124999,-0.25199743141751985,0.11557362468435639,0.31672071888140824,0.88847046856842971,0.57896021523367491,-0.84482154310943602,-0.24862925032364294,0.11465528149672401,0.3140144709778942,common_grid
D500_F09_V01,500,9,500,482,0.96399999999999997,401,81,0.83195020746887971,596.89999999999998,609.59999999999991,635,285.94171150393714,286.99730606145937,287.83125053646114,181.5,183.5,190.5,234401.17892578128,239392.73781250001,249362.06169921876,-0.1654311666190858,0.1003433897992624,0.22659885647387451,0.882418493372221,0.55264954066958139,-0.83788902899617512,-0.155207720618777,0.088137374693728537,0.21205693491552063,d500_extension
D500_F10_V01,500,10,500,500,1,424,76,0.84799999999999998,596.89999999999998,622.29999999999995,635,287.89183421826789,288.80022622930699,289.60294901285374,178.5,180.5,187.5,234405.58299804688,244366.01564453126,249368.875546875,-0.21770016660036023,0.058675254034134476,0.27022488361930491,0.88763075238375333,0.65359744051296254,-0.83778169119615375,-0.21586349508382549,0.056729477157459123,0.26834665084689574,common_grid
D500_F12_V01,500,12,500,500,1,422,78,0.84399999999999997,596.89999999999998,609.59999999999991,635,287.79392571090705,288.71515617445652,289.59571399616834,177.5,180.5,187.5,234407.66039062501,239396.061640625,249363.55742187501,-0.24127289254120515,0.05918646171864813,0.29310680182585624,0.89720835785953779,0.57729170558510889,-0.8585001277930604,-0.23566025390234716,0.059762308636568319,0.2855903329669866,d500_extension
