scan_id,diameter_um,flow_mm_s,depth_band_um,n_depth_anchors,median_of_volume_RI_r_medians,mean_of_volume_RI_r_medians,near_edge_RI_r_median,deep_edge_RI_r_median
D235_F10_V01,235,10,200-300,10,0.1385330182996998,0.13931615794956079,0.14664781259489751,0.13115674162176921
D235_F10_V01,235,10,300-500,20,0.12462574927148104,0.12426372561636752,0.12785223973335591,0.12076231133423181
D285_F01_V01,285,1,0-100,11,0.2392556529879333,0.24660442261353932,0.32035225011317958,0.19550360533814859
D285_F01_V01,285,1,100-200,10,0.16527652328806755,0.16530093997324649,0.18943843667126259,0.1488272048135732
D285_F01_V01,285,1,200-300,10,0.13571622867565658,0.13678523371709922,0.1474706548648822,0.126553452249555
D285_F01_V01,285,1,300-500,20,0.12250053557348235,0.12296587457612111,0.12770639584312021,0.1213746520590943
D285_F03_V01,285,3,0-100,11,0.2438990270094796,0.24374612635301485,0.30833244253967579,0.1941976287535338
D285_F03_V01,285,3,100-200,10,0.1619716347256554,0.16506331049361583,0.1852284518651742,0.14833826825326429
D285_F03_V01,285,3,200-300,10,0.13567676635564124,0.13619182648620815,0.14563562165160851,0.13006715534590321
D285_F03_V01,285,3,300-500,20,0.1215525087367753,0.12152042947748683,0.1289223398302885,0.1211820759860805
D285_F05_V01,285,5,0-100,11,0.2385189655047584,0.24164591886092349,0.30905127355150891,0.1881000229976208
D285_F05_V01,285,5,100-200,10,0.15953512394686226,0.16167042412554394,0.1891852196811698,0.14602007008195769
D285_F05_V01,285,5,200-300,10,0.13434718263743906,0.13387443353708628,0.14473477204744259,0.123815527975355
D285_F05_V01,285,5,300-500,20,0.1194855459144855,0.11951913488626768,0.124044277187525,0.1168243799422844
D285_F07_V01,285,7,0-100,11,0.24197488149564131,0.24188444741735185,0.30734083818609242,0.1915249922814399
D285_F07_V01,285,7,100-200,10,0.16210786992390169,0.16506061683280979,0.18617872235720001,0.1476154481482361
D285_F07_V01,285,7,200-300,10,0.13727402528420279,0.13691517313098669,0.15206666935964591,0.1286205429274048
D285_F07_V01,285,7,300-500,20,0.1213718597630609,0.12246959674411637,0.12732953781589329,0.1210863144839711
D285_F10_V01,285,10,0-100,11,0.2423043134069566,0.24301035604993598,0.308556409436058,0.19310578310195151
D285_F10_V01,285,10,100-200,10,0.16294283978035115,0.16326519552494681,0.1868441265019771,0.1459439997687115
D285_F10_V01,285,10,200-300,10,0.13520226928916962,0.13569404310651717,0.14406164351539219,0.12854191760333
D285_F10_V01,285,10,300-500,20,0.12029484128858839,0.12101535300151758,0.1291429825128933,0.1190560504413051
D500_F01_V01,500,1,0-100,11,0.27386838472850222,0.28493199696328692,0.32853918515024672,0.25749660589208812
D500_F01_V01,500,1,100-200,10,0.23464717754028047,0.23523799624391084,0.25063900803014622,0.22156084984829319
D500_F01_V01,500,1,200-300,10,0.2157110034168328,0.21521313609660209,0.2178856797114557,0.2135887722605897
D500_F01_V01,500,1,300-500,20,0.21154782091546845,0.21211461208893323,0.21362662427367701,0.21988686971686239
D500_F03_V01,500,3,0-100,11,0.28568064427134632,0.28890004147197956,0.33376027987252238,0.2609003419263089
D500_F03_V01,500,3,100-200,10,0.23557568014967725,0.23802006646138082,0.25229435309526932,0.2269213070124021
D500_F03_V01,500,3,200-300,10,0.2185160493112438,0.21807289652817427,0.2252143398607554,0.21179333359916441
D500_F03_V01,500,3,300-500,20,0.21527579816161058,0.21527866814520596,0.21585408211205001,0.21702991491481499
D500_F05_V01,500,5,0-100,11,0.31127445188327779,0.3190511277304876,0.3622099390905153,0.2837568432381064
D500_F05_V01,500,5,100-200,10,0.26580054627011629,0.26582698018015516,0.28191004892058619,0.2508379945950619
D500_F05_V01,500,5,200-300,10,0.2413984726189678,0.24236214568303177,0.25082659826594028,0.2368254696838758
D500_F05_V01,500,5,300-500,20,0.2384436044678605,0.23995622004292144,0.2386425442469709,0.2398240548008872
D500_F07_V01,500,7,0-100,11,0.31226314558254498,0.31465863793585297,0.36278184070611802,0.2828084951293906
D500_F07_V01,500,7,100-200,10,0.26131007871312284,0.26157502500057961,0.27624386593548678,0.2518626534990579
D500_F07_V01,500,7,200-300,10,0.23762224693107437,0.2381568276745841,0.24091198820394191,0.23666208011883791
D500_F07_V01,500,7,300-500,20,0.2355861881723538,0.23609557915750323,0.23711146929656271,0.23465517627854601
D500_F10_V01,500,10,0-100,11,0.30144075414518001,0.31185510735114191,0.36317181314824631,0.27612054707677358
D500_F10_V01,500,10,100-200,10,0.25499556436162663,0.2564737694184393,0.27113929855414698,0.24097273922474091
D500_F10_V01,500,10,200-300,10,0.23352350665115079,0.23490754639580888,0.24189612513869499,0.22910903967922849
D500_F10_V01,500,10,300-500,20,0.2297228762970272,0.23070816591923232,0.2276053116549458,0.2304898636113209
