scan_id,flow_mm_s,n_valid_frames,metric,n,mean,sd,min,q1,median,q3,iqr,max
flow05,5,491,ri_tail_corrected,491,0.1185085489429028,0.034430301248521443,0.043300769875884298,0.095460879332231713,0.1139710492110269,0.13773306140052577,0.042272182068294056,0.3163721211231168
flow05,5,491,ri_tail_observed,491,0.26314697937523002,0.056422314926904714,0.12057450382822515,0.22326579958711318,0.25664555029926406,0.29907177718129108,0.075805977594177898,0.46430034424126471
flow05,5,491,source_background_fraction,491,0.15664260380019338,0.041259962995236987,0.066393147567985311,0.12918885463716137,0.14855598628955419,0.18006831938807,0.050879464750908626,0.35412841850681404
flow05,5,491,source_mean_observed,491,158460215.07662013,41549457.051373623,70105008.698576897,130197536.39012623,154204959.81361899,179444599.79547477,49247063.405348539,387601363.37675661
flow05,5,491,tail_background_fraction,491,0.62186621998075975,0.06146238451041592,0.42776947814800498,0.58054008583660965,0.61966307465063131,0.66042000157037584,0.079879915733766182,0.86328373846116246
flow05,5,491,tail_mean_observed,491,39635309.166811779,3815164.7510748697,26087631.984801862,37238277.944774546,39176211.170652874,41721615.355668485,4483337.4108939394,57396570.806084588
flow07,7,493,q_tail_observed,493,3336219422298.5532,545423510495.10419,1176364924386.4302,3005013833030.103,3344709630740.8438,3681348031618.981,676334198588.87793,4611278543324.8379
flow07,7,493,q_vessel_observed,493,2134908502428.8657,582370357063.21741,632888473017.37427,1774783736264.5068,2071563964790.1167,2389423123141.8291,614639386877.32227,5420650511133.3691
flow07,7,493,ri_tail_corrected,493,0.15646303248475954,0.04600097831676183,0.043334183208658103,0.12531031615502269,0.15329320834104709,0.1820265317049197,0.056716215549897003,0.3346681830864936
flow07,7,493,ri_tail_observed,493,0.3278190289654711,0.067429670964593208,0.13985420529124221,0.28261489166851234,0.32317992329725742,0.3689243645778808,0.086309472909368468,0.54845252185510041
flow07,7,493,source_background_fraction,493,0.1917700109681213,0.047474749996159971,0.078684588223847746,0.16037231137711203,0.18689495684361571,0.21956816096687043,0.059195849589758404,0.39222313045356683
flow07,7,493,source_mean_observed,493,129906878.9333782,33722359.142683879,54927099.726232573,107258461.32899462,123276893.01101619,145790054.74372515,38531593.414730534,278390664.31279981
flow07,7,493,tail_background_fraction,493,0.61746659479580401,0.064152677695611046,0.43287258134895035,0.57209947398013172,0.61699938274172927,0.66009683866855029,0.087997364688418567,0.90059452480523405
flow07,7,493,tail_mean_observed,493,40619591.20747117,4182049.8159167198,26464902.68585895,37743860.045779429,40208950.329087123,43144913.991415724,5401053.9456362948,56992202.949164294
flow10,10,484,q_tail_observed,484,3490757664056.811,528689836299.88568,1308924676700.9229,3176959732233.665,3516541367642.1821,3858250815763.8486,681291083530.18359,4938463740035.7461
flow10,10,484,q_vessel_observed,484,2792023006221.0864,655073486036.52905,663736169556.86914,2398965627209.9141,2741706716286.625,3131178616779.3604,732212989569.44629,5874680057041.1152
flow10,10,484,ri_tail_corrected,484,0.12115864300221135,0.031943144686037005,0.030499568333299601,0.10061540478090128,0.1170343121650288,0.13999903089756355,0.039383626116662268,0.27453740173489372
flow10,10,484,ri_tail_observed,484,0.26064315235065949,0.051851324589305373,0.091520244888664087,0.22359205648591532,0.25946745609265892,0.29367327453694053,0.070081218051025213,0.48270044504511411
flow10,10,484,source_background_fraction,484,0.15025571935009002,0.03758147844455869,0.057724636452367487,0.12506587212107539,0.1471286100008109,0.16752704460589657,0.042461172484821175,0.3488022349475553
flow10,10,484,source_mean_observed,484,160828795.34294376,40324554.083163358,74259149.969001234,134407536.42901459,154338856.44940418,180513535.03376815,46105998.604753554,418260641.81717509
flow10,10,484,tail_background_fraction,484,0.60649547606823262,0.057947489244609289,0.46758167196909406,0.56391071508782264,0.60536814772719771,0.63972633925196498,0.075815624164142337,0.82006865798643946
flow10,10,484,tail_mean_observed,484,40083279.510494947,3763000.9117176416,28218259.704910036,37592504.07436718,39774709.246335611,42285898.512543879,4693394.438176699,53289786.768620543
