scan_id,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,ri_r_observed_q1,ri_r_observed_median,ri_r_observed_q3,ri_r_corrected_q1,ri_r_corrected_median,ri_r_corrected_q3,V_observed_median,B_frozen_median
flow03,3,140,468,136.65000000000001,3.3499999999999943,0.21619477242088808,0.27758481272467661,0.36144912743631896,0.059193153521579563,0.13633018017736551,0.22243327084096359,42382178.41861333,25246618.966642089
flow03,3,150,468,150.05000000000001,0.050000000000011369,0.21160037826790551,0.26988493592649881,0.34798915328936547,0.0507464029221553,0.12697757127673825,0.21344780193821525,40963076.205927029,24569037.565415107
flow03,3,160,468,156.75000000000003,3.2499999999999716,0.20396485619245003,0.26556301865362097,0.338913561399381,0.04645258139244636,0.1135869045916392,0.20634068211342521,39914038.19168485,24708227.318880938
flow03,3,170,468,170.15000000000001,0.15000000000000568,0.19219692434496377,0.24492901750949786,0.31527252505654246,0.041712002094507629,0.10429482602670481,0.16974726515196908,38009514.803033292,24579183.297337592
flow03,3,180,468,176.85000000000002,3.1499999999999773,0.18520815964614015,0.24123300283146099,0.31078485307461212,0.032037730119791295,0.099979775644620683,0.18548658518166569,36823381.100774795,23573948.564427875
flow03,3,190,468,190.25000000000003,0.25000000000002842,0.17604283055989522,0.23374806060691167,0.29005348802776587,0.01642141668034906,0.080741745256245917,0.16313041692942515,34923303.232563928,24095025.521142855
flow03,3,200,468,196.95000000000002,3.0499999999999829,0.18180299932861613,0.23328968240879744,0.28910792389449769,0.018951031579049038,0.089081030446674384,0.1575498753557541,35151760.014711812,23315740.387164019
flow03,3,210,468,210.35000000000002,0.35000000000002274,0.16748052161084992,0.21531251584237671,0.26815364483406007,0.0027121771023388163,0.070179001363505078,0.12901851200872888,33370829.423285641,23392479.986298058
flow03,3,220,468,217.05000000000001,2.9499999999999886,0.16637419561602154,0.20973029503447888,0.27128072235219719,0.0077494858965376206,0.065629553837207755,0.12968113809419393,32576296.700003944,23558399.206546456
flow03,3,230,468,230.45000000000002,0.45000000000001705,0.15983145945056229,0.20580373845512939,0.26264535945801715,0.0070449409508022212,0.07135812885129944,0.12907313052379038,31953062.291770767,23053783.503481552
flow03,3,240,468,237.15000000000001,2.8499999999999943,0.16563977982254979,0.20498841425760739,0.25609144613567059,-0.0016435564140471776,0.055943551661917126,0.11632745389113947,31799371.359259561,23838499.066496417
flow03,3,250,468,250.55000000000001,0.55000000000001137,0.15724925857186739,0.19888329482696804,0.24501433002841555,-0.0068127548511195818,0.048168718091359697,0.11506499319128194,30433327.733283654,23488110.282093517
flow03,3,260,468,257.25,2.75,0.15478470279034387,0.19524108369113202,0.24234826863791448,-0.014208864123923035,0.047198687522233593,0.10958444715900788,29504512.408536218,23731708.683573503
flow03,3,270,468,270.65000000000003,0.65000000000003411,0.14723253991418739,0.18947041127853131,0.23882886634165734,-0.014760462138442695,0.040617125723892714,0.10230097813591184,28897687.092958868,23289035.303528767
flow03,3,280,468,277.35000000000002,2.6499999999999773,0.14434814886982233,0.18519389204940651,0.23041042821889737,-0.016314761585461576,0.03535693937634328,0.098914670000258734,28484771.966314666,22402901.320374489
flow03,3,290,468,290.75,0.75,0.14123894604468562,0.18166932927335586,0.23444023534223979,-0.01928951366927641,0.044626659592008601,0.10333888366571765,28113855.201577824,22360163.660954408
flow03,3,300,468,297.45000000000005,2.5499999999999545,0.14283910068088557,0.18495352865488435,0.23527162926372303,-0.014057848014466379,0.037263926746439108,0.10045875585839985,28713309.741877209,22809432.569484517
flow03,3,310,468,310.85000000000002,0.85000000000002274,0.13385987698843277,0.17519704497812155,0.22077045656170408,-0.02377286478279305,0.033854297424773167,0.087058944468341837,27141038.874268815,23093714.017722666
flow03,3,320,468,317.55000000000001,2.4499999999999886,0.13719377176717659,0.16995772526153202,0.21733031943825201,-0.015168074245897618,0.034103602312523074,0.092215865787635645,26452253.906172413,21440331.653932951
flow03,3,330,468,330.95000000000005,0.95000000000004547,0.13067989085850235,0.16612951735299902,0.21725604056307402,-0.025657210336252914,0.025691563814812142,0.079223868904385958,25781042.083355758,22562463.804258376
flow03,3,340,468,337.65000000000003,2.3499999999999659,0.13183934589521176,0.16853270980694873,0.21459763300059048,-0.028280672916346766,0.025161491718575783,0.081391335951636293,25896929.052996203,22843767.730520688
flow03,3,350,468,351.05000000000001,1.0500000000000114,0.12398523296003286,0.15830992324821344,0.20628021765747143,-0.035586721659391349,0.018059184811689354,0.07116441849214282,24916699.174159557,22140867.768800378
flow03,3,360,468,357.75,2.25,0.13326939228553009,0.16436247927673889,0.20611671253809499,-0.02859799684183997,0.017021410322266665,0.074226482532639027,25318365.988357086,22565677.073386341
flow03,3,370,468,371.15000000000003,1.1500000000000341,0.12561303663470447,0.16061517053374835,0.20606174863232368,-0.037791531734082826,0.02056642926967419,0.080824538826200457,25104657.374385685,22446919.261560343
flow03,3,380,468,377.85000000000002,2.1499999999999773,0.12567739203050562,0.16181070040340381,0.20903473889925306,-0.034163026939137753,0.024057899394836949,0.073347154566393097,25153496.803571746,21863110.139641039
flow03,3,390,468,391.25,1.25,0.12259185012493957,0.15390031946943472,0.19524645872387877,-0.042478446105921254,0.011391199585195523,0.05934159200312053,23619131.815786973,22574606.770214409
flow03,3,400,468,397.95000000000005,2.0499999999999545,0.12372121868730296,0.15940023261337166,0.20401367162390274,-0.027112491721722441,0.023957223441651486,0.067838205636622587,24461028.608719241,21699245.938182946
flow03,3,410,468,411.35000000000002,1.3500000000000227,0.11987170327939965,0.15670583301107635,0.20155847003700259,-0.037996452473912624,0.013531399366599788,0.071880019978575127,24551430.17999481,21753722.345308144
flow03,3,420,468,418.05000000000001,1.9499999999999886,0.11917644139319566,0.15559643386362806,0.19882595387741836,-0.039099053674489403,0.011211897715862423,0.059607614239945962,23916702.082422797,22868950.086519137
flow03,3,430,468,431.45000000000005,1.4500000000000455,0.11947438111990666,0.15364148595452018,0.19154444820270772,-0.044934198293386032,0.0025739616525018013,0.062456526351716959,23400344.546933632,22903383.134535607
flow03,3,440,468,438.15000000000003,1.8499999999999659,0.11692208948921073,0.15346181628675409,0.20334756177682894,-0.03896854517598098,0.013771807318224175,0.067748242529146296,24288798.704066589,22366680.264400341
flow03,3,450,468,451.55000000000001,1.5500000000000114,0.11725495558676191,0.15017379713217199,0.18832219490062219,-0.037745973824351409,0.0060406090345960098,0.055462915890866674,22934371.581202522,22198470.560536124
