scan_id,diameter_um,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,RI_r_q1,RI_r_median,RI_r_q3,raw_row_signal_median
D285_F10_V01,285,10,400,494,401.75000000000006,1.7500000000000568,0.10218084639207166,0.12064454652724768,0.13923286798376472,21938888.770990588
D285_F10_V01,285,10,500,494,502.25000000000006,2.2500000000000568,0.10178822914629775,0.11905605044130518,0.13851742925127697,22173404.722679421
D500_F01_V01,500,1,0,500,-0.84999999999993181,0.84999999999993181,0.28816125235525275,0.32853918515024672,0.37616706448941695,34416591.608782172
D500_F01_V01,500,1,50,500,52.750000000000071,2.7500000000000711,0.2409102296661137,0.27347554609014585,0.31559945737160572,28874449.851987183
D500_F01_V01,500,1,100,500,99.650000000000077,0.34999999999992326,0.22169336159922515,0.25749660589208817,0.29520889015132146,26849687.593160193
D500_F01_V01,500,1,200,500,200.15000000000006,0.15000000000006253,0.19469502844928566,0.22156084984829327,0.25462253679510027,23245373.956621621
D500_F01_V01,500,1,300,500,300.65000000000009,0.65000000000009095,0.18904563077326708,0.21358877226058978,0.24604288477508746,22674687.76724451
D500_F01_V01,500,1,400,500,401.15000000000009,1.1500000000000909,0.18163637485400214,0.20995348537186881,0.2410615854836487,21744672.443844162
D500_F01_V01,500,1,500,500,501.65000000000009,1.6500000000000909,0.19105890455591626,0.21988686971686244,0.24514624980943017,22669501.451225366
D500_F02_V01,500,2,0,493,-0.84999999999993181,0.84999999999993181,0.29211555344359874,0.33256704350850624,0.38028962709152653,34301405.726073392
D500_F02_V01,500,2,50,493,52.750000000000071,2.7500000000000711,0.24718779112349343,0.28116138422772363,0.32369622720517127,29555969.226673413
D500_F02_V01,500,2,100,493,99.650000000000077,0.34999999999992326,0.2329610116846679,0.26349523685324056,0.30272636287870336,27107014.216444846
D500_F02_V01,500,2,200,493,200.15000000000006,0.15000000000006253,0.19989367092834048,0.22610784568575157,0.25711966700680711,23455550.578258201
D500_F02_V01,500,2,300,493,300.65000000000009,0.65000000000009095,0.19304222243012761,0.21784373214453578,0.24705102265903153,22610925.609101254
D500_F02_V01,500,2,400,493,401.15000000000009,1.1500000000000909,0.18548190519556143,0.21423428887644769,0.24521575249376895,22003407.459724139
