scan_id,diameter_um,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,RI_r_q1,RI_r_median,RI_r_q3,raw_row_signal_median
D500_F03_V01,500,3,460,490,461.4500000000001,1.4500000000001023,0.18616168646416401,0.21740879260455359,0.24764866820136389,22618789.401253179
D500_F03_V01,500,3,470,490,468.15000000000009,1.8499999999999091,0.18850861935148938,0.21753624357529155,0.24715646882880796,22575168.82176232
D500_F03_V01,500,3,480,490,481.55000000000007,1.5500000000000682,0.19264922372065296,0.22139651013712386,0.24706115696745917,22774641.920296378
D500_F03_V01,500,3,490,490,488.25000000000006,1.7499999999999432,0.19175015395977257,0.21919521245000134,0.25007570416009917,22730103.835267365
D500_F03_V01,500,3,500,490,501.65000000000009,1.6500000000000909,0.19219220117878635,0.21702991491481505,0.24657273294610119,22546363.867768448
D500_F05_V01,500,5,0,471,-0.84999999999993181,0.84999999999993181,0.31887250576754012,0.36220993909051535,0.41795453750500733,38006439.046152018
D500_F05_V01,500,5,10,471,12.550000000000068,2.5500000000000682,0.31155255960984135,0.35539287108171641,0.40439007553779838,37069165.365130626
D500_F05_V01,500,5,20,471,19.250000000000068,0.7499999999999325,0.30567490379231993,0.34548404508183539,0.39087559345539957,35580528.525734484
D500_F05_V01,500,5,30,471,32.65000000000007,2.6500000000000696,0.2918818190738246,0.33674572377673662,0.37876652199730715,34077382.422365181
D500_F05_V01,500,5,40,471,39.350000000000072,0.64999999999992752,0.28147457936387399,0.32445382565106778,0.36344327902365292,32901079.738235246
D500_F05_V01,500,5,50,471,52.750000000000071,2.7500000000000711,0.27015461447491007,0.31127445188327785,0.35687967294969625,32502279.933330361
D500_F05_V01,500,5,60,471,59.450000000000067,0.54999999999993321,0.27068724885283435,0.30781759636176831,0.34698039201776371,31644589.066616967
D500_F05_V01,500,5,70,471,72.850000000000065,2.8500000000000654,0.25972521635159568,0.29335526982973364,0.33669147015175394,30504292.339452107
D500_F05_V01,500,5,80,471,79.550000000000068,0.44999999999993179,0.26133077488810763,0.298743193670094,0.34047685729807992,31015165.221769121
D500_F05_V01,500,5,90,471,92.950000000000074,2.9500000000000739,0.25131215624798608,0.29032864537051228,0.32974472446318898,29596173.450951155
D500_F05_V01,500,5,100,471,99.650000000000077,0.34999999999992326,0.2486722084793721,0.2837568432381064,0.32190188687444521,29385844.854607176
D500_F05_V01,500,5,110,471,113.05000000000007,3.0500000000000682,0.24464238858875617,0.28191004892058624,0.31639837496293199,29084149.379782554
D500_F05_V01,500,5,120,471,119.75000000000007,0.24999999999992895,0.2431352595468029,0.28132684395100038,0.31820476344257542,29141047.713659316
D500_F05_V01,500,5,130,471,133.15000000000006,3.1500000000000625,0.2346626680686294,0.27074204980358119,0.30419712365146662,27822205.336767249
D500_F05_V01,500,5,140,471,139.85000000000008,0.14999999999992042,0.23841656475094838,0.26800340681916368,0.30666340163877204,27904157.036245946
D500_F05_V01,500,5,150,471,153.25000000000009,3.2500000000000853,0.23299343041198795,0.26873334320610148,0.30132797844220005,27672880.509878062
D500_F05_V01,500,5,160,471,159.95000000000007,0.049999999999926104,0.23151164542687058,0.26144139752662643,0.29938700624798908,27254029.182586364
D500_F05_V01,500,5,170,471,166.65000000000006,3.3499999999999375,0.22995392720966229,0.26359768572106895,0.29691980759678371,26888941.114373069
D500_F05_V01,500,5,180,471,180.05000000000007,0.050000000000068212,0.22784853916178155,0.25617135037168509,0.28809545270267567,26721658.459756374
D500_F05_V01,500,5,190,471,186.75000000000009,3.2499999999999147,0.22536248388243657,0.25550568088667663,0.2920256785757368,26597801.316317901
D500_F05_V01,500,5,200,471,200.15000000000006,0.15000000000006253,0.22379943761538673,0.2508379945950619,0.28573472319437099,26036406.63987194
D500_F05_V01,500,5,210,471,206.85000000000008,3.1499999999999204,0.22151453819502626,0.25082659826594034,0.28274601922799558,26020166.889897238
D500_F05_V01,500,5,220,471,220.25000000000009,0.25000000000008527,0.21761000205451519,0.24773703112267043,0.28087747734248714,25698713.061333049
