scan_id,diameter_um,flow_mm_s,slow_axis_segment,n_frames,n_strict_order_frames,strict_order_frame_fraction,all_frames_strict_upper_middle_lower,upper_mean_raw_median,upper_q_fraction_median,middle_mean_raw_median,middle_q_fraction_median,lower_mean_raw_median,lower_q_fraction_median,middle_to_upper_mean_ratio_median,lower_to_upper_mean_ratio_median,lower_to_middle_mean_ratio_median,source_mean_raw_frozen_median,strict_upper_middle_lower,strict_upper_middle_lower_segment_medians,middle_to_upper_ratio_median,lower_to_upper_ratio_median
D128_F05_V01,128,5,0,94,49,0.52127659574468088,False,193059840.26350206,0.33213564784595545,175456898.67791784,0.43048317793373042,127269657.40174189,0.2266051774680693,0.9063222977604346,0.65163763715646816,0.78910249047549696,171697456.47433603,True,True,0.9063222977604346,0.65163763715646816
D128_F05_V01,128,5,1,100,33,0.33000000000000002,False,175103173.72719797,0.29986235877201534,169363922.25660348,0.43159473794781916,150916167.66420019,0.24586262259621938,1.0259322178028494,0.80012219852265432,0.8118884798738597,171689712.88900584,True,True,1.0259322178028494,0.80012219852265432
D128_F05_V01,128,5,2,99,33,0.33333333333333331,False,148249046.64517894,0.30237979143025506,138233381.25533935,0.43670933148311519,121508879.89397965,0.25826881831018716,0.99048274102510259,0.83212389348299232,0.85970297043036925,143335159.01511896,True,True,0.99048274102510259,0.83212389348299232
D128_F05_V01,128,5,3,98,37,0.37755102040816324,False,158289578.64873332,0.29951895203649581,157593589.07730293,0.42802118969483527,135664810.63953042,0.25181489420704806,0.98531488094845954,0.8421530264385495,0.83811913824690276,157638424.20135751,True,True,0.98531488094845954,0.8421530264385495
D128_F05_V01,128,5,4,100,11,0.11,False,107658734.06745791,0.24390989649941802,143707776.53710556,0.45223337867641733,126335318.94739962,0.2978882139567402,1.3286730768039243,1.1972591693530132,0.9528471982230684,133755143.64624412,False,False,1.3286730768039243,1.1972591693530132
D128_F07_V01,128,7,0,98,10,0.10204081632653061,False,118176637.61592153,0.25406763105365937,140833508.3955034,0.43780141276608786,141468690.7901563,0.29939002077264132,1.2315915624838047,1.1903288226618725,0.97867792871102499,137328044.88413429,False,False,1.2315915624838047,1.1903288226618725
D128_F07_V01,128,7,1,98,5,0.051020408163265307,False,104128252.94793297,0.23641800933885998,126702692.80008312,0.41512638058361917,142359837.28656307,0.326739166303324,1.2741405511298556,1.3922313172673322,1.1295428293866918,125517439.07138562,False,False,1.2741405511298556,1.3922313172673322
D128_F07_V01,128,7,2,100,9,0.089999999999999997,False,103177725.60148111,0.25885202295041243,115567384.32019573,0.42004212097677707,120820660.37645185,0.31112185650457114,1.1498433439560141,1.2687556275893277,1.0383403826859621,115481915.17832333,False,False,1.1498433439560141,1.2687556275893277
D128_F07_V01,128,7,3,100,4,0.040000000000000001,False,106485598.19116876,0.25088932394983499,136017005.19578755,0.45091212954666138,129270272.39432944,0.29765084096627187,1.2439242039712308,1.0926464528028563,0.9677456740764907,128008494.7852502,False,False,1.2439242039712308,1.0926464528028563
D128_F07_V01,128,7,4,97,3,0.030927835051546393,False,89766535.724775732,0.23577111926897673,110730734.39687537,0.41131544058525404,133470366.81646454,0.34139272090421546,1.2429385987521393,1.4732241949829268,1.2325573335302649,112554863.43641251,False,False,1.2429385987521393,1.4732241949829268
D128_F10_V01,128,10,0,100,29,0.28999999999999998,False,155957681.94409806,0.2866753868565674,172378916.30524236,0.43952152385264509,146032837.90240884,0.25581948820688294,1.0526659827919831,0.94364834347658855,0.81923011780186172,162287765.15417841,False,False,1.0526659827919831,0.94364834347658855
D128_F10_V01,128,10,1,100,40,0.40000000000000002,False,195182189.26429307,0.3161743490841375,173177854.94792977,0.42097163993802433,149444935.27909702,0.2485745036863985,0.90524569422069556,0.76048920872213266,0.86507540483517631,182604564.8329156,True,True,0.90524569422069556,0.76048920872213266
D128_F10_V01,128,10,2,98,25,0.25510204081632654,False,131549982.08124736,0.27132735154198739,155419852.89269817,0.44488922167250133,135227312.39269561,0.27484234213014175,1.1653271735688486,0.98980760682707691,0.85444815001064744,145473447.06803942,False,False,1.1653271735688486,0.98980760682707691
D128_F10_V01,128,10,3,100,24,0.23999999999999999,False,148148053.67162266,0.28952326122580146,166031346.61040801,0.44953135552734402,126693366.12000108,0.25427453973148784,1.1220210309343057,0.90051379117171282,0.82023600513878869,149693363.5648281,False,False,1.1220210309343057,0.90051379117171282
