scan_id,frame_index_0based,flow_speed_mm_s,localization_source,baseline_valid,variant_valid,variant_invalid_reason,q_vessel_base,q_vessel_plus2,q_vessel_delta,q_vessel_delta_pct,q_tail_base,q_tail_plus2,q_tail_delta,q_tail_delta_pct,ratio_base,ratio_plus2,ratio_delta,ratio_delta_pct
flow05,274,5,direct_candidate_supported,True,True,,1452827684422.757,1492626612351.8699,39798927929.11279,2.7394114495364845,746532394286.0007,932652035188.4797,186119640902.479,24.93122097943087,0.5138478584145482,0.6248394792579361,0.11099162084338798,21.60009407956804
flow10,177,10,direct_candidate_supported,True,True,,2997544717442.165,3048667138172.748,51122420730.58301,1.705476499920451,914569526616.8734,1137456600406.1084,222887073789.235,24.370708546754987,0.30510621619592876,0.37309963628494236,0.0679934200890136,22.28516381500092
flow03,272,3,direct_candidate_supported,True,True,,1160088319465.1592,1211056009827.9365,50967690362.77734,4.3934319057944835,651196120794.6584,809809092426.8815,158612971632.22302,24.35717390924668,0.5613332277105267,0.6686801319304273,0.10734690421990056,19.123561357258215
flow01,39,1,direct_candidate_supported,True,True,,1446134198020.1501,1437912370337.3003,-8221827682.8498535,-0.5685383620763591,1265954121439.7334,1569937942025.8787,303983820586.14526,24.012230414829975,0.8754057010565861,1.0918175365982896,0.2164118355417035,24.72131895879836
flow05,132,5,short_gap_assisted,True,True,,3469606782433.3726,3551637118680.8184,82030336247.4458,2.364254550768277,747056902121.96,925894074902.8823,178837172780.92236,23.93889572172462,0.21531457279375601,0.2606950102061064,0.0453804374123504,21.076342777699068
flow07,412,7,short_gap_assisted,True,True,,1369065450962.0828,1395473603726.0251,26408152763.942383,1.9289182080655525,642717779175.2307,794978439205.7007,152260660030.46997,23.69012729441822,0.46945730660544677,0.5696836092657326,0.10022630266028582,21.349396686357373
flow07,248,7,direct_candidate_supported,True,True,,2261603380793.244,2301305551306.311,39702170513.066895,1.7554877592702214,808848431233.5498,998619153697.6991,189770722464.1493,23.461839713867754,0.35764380178360494,0.43393592525375163,0.07629212347014669,21.33187352602515
flow03,40,3,direct_candidate_supported,True,True,,1965928023684.2756,2078392811288.0647,112464787603.78906,5.720697108382575,673110547663.3809,828950601452.0813,155840053788.70044,23.1522228153577,0.3423881950682652,0.39884212308179934,0.05645392801353416,16.488281087576166
flow03,137,3,short_gap_assisted,True,True,,2328897181653.6646,2343225185084.6064,14328003430.941895,0.6152269642392759,938885659321.9537,1154655407431.98,215769748110.02625,22.981472340929272,0.4031460326880062,0.49276331390672085,0.08961728121871465,22.229483599574266
flow01,296,1,direct_candidate_supported,True,True,,1274351214857.649,1299457922485.2803,25106707627.631348,1.970156055482388,685909390273.24,842484835880.0964,156575445606.85645,22.82742412149844,0.5382420342808394,0.6483356031019464,0.11009356882110699,20.454286698029108
flow07,62,7,short_gap_assisted,True,True,,1655541253425.5813,1666183336551.862,10642083126.280762,0.6428159433816933,781406476903.9302,959331566696.5203,177925089792.5901,22.76985091006163,0.4719945669049771,0.5757659110202366,0.10377134411525946,21.98570733466746
flow01,302,1,direct_candidate_supported,True,True,,2273353278181.551,2278999872138.011,5646593956.460449,0.24838171922742885,780072369468.2952,957599902938.3239,177527533470.0287,22.7578286859504,0.3431373279969372,0.42018427234046535,0.07704694434352816,22.45367613989693
flow03,414,3,direct_candidate_supported,True,True,,1017265863541.7164,998125687682.9172,-19140175858.799194,-1.8815313228108028,837319060018.6838,1027761594052.647,190442534033.96313,22.74432090793605,0.8231073999706142,1.029691557621894,0.2065841576512797,25.09808047633334
