scope_type,scope_value,baseline_valid_n,variant_valid_n,variant_invalid_n,variant_valid_pct,metric,unit,n_metric,signed_median,signed_q25,signed_q75,abs_median,abs_p90,abs_p95,abs_max,positive_n,negative_n,zero_n,abs_gt_5_n,abs_gt_5_pct,abs_gt_10_n,abs_gt_10_pct,abs_gt_20_n,abs_gt_20_pct,abs_gt_0p02_n,abs_gt_0p02_pct,abs_gt_0p05_n,abs_gt_0p05_pct,abs_gt_0p10_n,abs_gt_0p10_pct
flow,flow03,468,468,0,100.0,ratio_delta_pct,percent,468,4.113843619550306,-0.20216362477707833,8.814357008991482,5.396837773448542,12.490761567876634,16.139498563321823,64.25809425738804,346,122,0,245,52.35042735042735,101,21.581196581196583,11,2.3504273504273505,,,,,,
flow,flow05,491,491,0,100.0,q_vessel_delta_pct,percent,491,0.7548537718334395,-0.19870487867831532,1.7143879386461072,1.062198837696453,2.554128886232035,3.200451247576283,10.238259037932748,345,146,0,8,1.629327902240326,1,0.20366598778004075,0,0.0,,,,,,
flow,flow05,491,491,0,100.0,q_tail_delta_pct,percent,491,4.651420490337532,0.8674633800142992,9.525724850212512,5.335911750428205,14.841129562090737,16.92875709697151,71.94333854999316,401,90,0,258,52.54582484725051,116,23.625254582484725,9,1.8329938900203666,,,,,,
flow,flow05,491,491,0,100.0,ratio_delta,absolute_ratio,491,0.02136634511329938,0.00011090554959075627,0.046693571594660394,0.027729707997311226,0.07017449375634266,0.0944604222030258,0.18542245298004728,369,122,0,,,,,,,316,64.35845213849286,124,25.254582484725052,17,3.4623217922606924
flow,flow05,491,491,0,100.0,ratio_delta_pct,percent,491,4.0511038956059435,0.023302080004216352,8.427597968557865,4.773727097763519,13.501101736676235,16.007254666445693,55.97428701303041,369,122,0,235,47.86150712830957,99,20.162932790224033,10,2.0366598778004072,,,,,,
flow,flow07,493,493,0,100.0,q_vessel_delta_pct,percent,493,0.6622963614894062,-0.3971957895124199,1.7193509547107952,1.1598859839649354,3.2589645281753397,4.030456637761114,9.004872224259385,331,162,0,9,1.8255578093306288,0,0.0,0,0.0,,,,,,
flow,flow07,493,493,0,100.0,q_tail_delta_pct,percent,493,4.597921284091305,0.7983126636148755,8.700156478862992,5.128289586951855,13.861974314922858,18.2756716697514,53.895378900466135,388,105,0,256,51.926977687626774,101,20.4868154158215,17,3.4482758620689653,,,,,,
flow,flow07,493,493,0,100.0,ratio_delta,absolute_ratio,493,0.027688657096919145,-0.0004682312141696121,0.056764721271629015,0.03509096678272616,0.0974288941949043,0.11760695862363599,0.2647703780048838,367,126,0,,,,,,,357,72.41379310344827,169,34.27991886409736,48,9.736308316430021
flow,flow07,493,493,0,100.0,ratio_delta_pct,percent,493,3.5688779952082874,-0.047847908691697354,7.831864625378999,4.612808854851006,13.642974457453683,16.811351213529118,44.23079255272627,367,126,0,235,47.66734279918864,98,19.878296146044626,13,2.636916835699797,,,,,,
flow,flow10,484,484,0,100.0,q_vessel_delta_pct,percent,484,0.6900911721280583,-0.18489146576181278,1.4793413865332832,0.9989697297160176,2.6243613936461907,3.0508943632649514,11.805912258035463,339,145,0,6,1.2396694214876034,1,0.2066115702479339,0,0.0,,,,,,
flow,flow10,484,484,0,100.0,q_tail_delta_pct,percent,484,4.734166653795821,0.811340472468307,8.578939536605017,5.237572563028044,12.451390548711974,15.21091956222388,26.166851201874206,378,106,0,255,52.68595041322314,99,20.454545454545453,9,1.859504132231405,,,,,,
flow,flow10,484,484,0,100.0,ratio_delta,absolute_ratio,484,0.022814439532804293,-0.0003294809856690256,0.043572493712969326,0.027742686995494426,0.06598456356236915,0.07903984082960351,0.14355271233040445,360,124,0,,,,,,,310,64.0495867768595,101,20.867768595041323,11,2.272727272727273
flow,flow10,484,484,0,100.0,ratio_delta_pct,percent,484,4.110173937297393,-0.06911397902512735,7.8043937666247984,4.879257562506946,11.923247743042179,14.419839370505851,22.28516381500092,360,124,0,237,48.96694214876033,87,17.975206611570247,2,0.4132231404958678,,,,,,
localization_source,direct_candidate_supported,1574,1574,0,100.0,q_vessel_delta_pct,percent,1574,0.6616422553607152,-0.27409219995689355,1.6366951118906101,1.064253312125019,2.7964368744623167,3.6748757207028713,11.805912258035463,1063,511,0,21,1.3341804320203303,2,0.12706480304955528,0,0.0,,,,,,
localization_source,direct_candidate_supported,1574,1574,0,100.0,q_tail_delta_pct,percent,1574,4.584294165462787,0.7613991878786024,8.842556042160254,5.272846489098233,13.924113554001144,16.668489767739263,71.94333854999316,1243,331,0,831,52.795425667090214,331,21.029224904701397,41,2.6048284625158833,,,,,,
localization_source,direct_candidate_supported,1574,1574,0,100.0,ratio_delta,absolute_ratio,1574,0.02336478498779271,0.00042492241982199086,0.04819059577952113,0.02964937257383818,0.07362577811325605,0.09537599276779826,0.2550219894969452,1186,388,0,,,,,,,1037,65.88310038119441,416,26.429479034307498,70,4.447268106734435
localization_source,direct_candidate_supported,1574,1574,0,100.0,ratio_delta_pct,percent,1574,3.981720190967022,0.08464849811017902,8.196880488654703,4.906548890462577,12.722049626644313,15.852616629668901,55.97428701303041,1186,388,0,774,49.174078780177894,295,18.742058449809402,30,1.9059720457433291,,,,,,
localization_source,short_gap_assisted,848,848,0,100.0,q_vessel_delta_pct,percent,848,0.6868107283237141,-0.2430998848834623,1.6008913302262284,1.0254713999523046,2.697468665230429,3.4482857707416663,9.107155352004469,575,273,0,13,1.5330188679245282,0,0.0,0,0.0,,,,,,
localization_source,short_gap_assisted,848,848,0,100.0,q_tail_delta_pct,percent,848,4.8994528832604285,0.753499307283146,9.310108401392746,5.4495311386567025,13.576473100938436,16.23625140847112,49.298854435125776,673,175,0,460,54.24528301886792,193,22.75943396226415,19,2.240566037735849,,,,,,
localization_source,short_gap_assisted,848,848,0,100.0,ratio_delta,absolute_ratio,848,0.024318563624047995,-8.646490217728564e-05,0.04873205588646978,0.03077932782183429,0.07884522523686788,0.10005360742015307,0.27368635277854275,635,213,0,,,,,,,568,66.98113207547169,231,27.24056603773585,43,5.070754716981132
localization_source,short_gap_assisted,848,848,0,100.0,ratio_delta_pct,percent,848,4.194635296700884,-0.013120089865211735,8.456785025381825,4.967355960240508,13.003291427440798,15.8645842995672,64.25809425738804,635,213,0,423,49.882075471698116,177,20.87264150943396,14,1.650943396226415,,,,,,
