diameter_um,coordinate,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid
285,absolute,6,125,150,137.5,0.43859649122807015,0.52631578947368418,0.48245614035087719
285,absolute,7,150,175,162.5,0.52631578947368418,0.61403508771929827,0.57017543859649122
285,absolute,8,175,200,187.5,0.61403508771929827,0.70175438596491224,0.65789473684210531
285,absolute,9,200,225,212.5,0.70175438596491224,0.78947368421052633,0.74561403508771928
285,absolute,10,225,250,237.5,0.78947368421052633,0.8771929824561403,0.83333333333333337
285,absolute,11,250,275,262.5,0.8771929824561403,0.96491228070175439,0.92105263157894735
285,absolute,12,275,300,287.5,0.96491228070175439,1.0526315789473684,1.0087719298245614
285,absolute,13,300,325,312.5,1.0526315789473684,1.1403508771929824,1.0964912280701755
285,absolute,14,325,350,337.5,1.1403508771929824,1.2280701754385965,1.1842105263157894
285,absolute,15,350,375,362.5,1.2280701754385965,1.3157894736842106,1.2719298245614035
285,absolute,16,375,400,387.5,1.3157894736842106,1.4035087719298245,1.3596491228070176
285,absolute,17,400,425,412.5,1.4035087719298245,1.4912280701754386,1.4473684210526316
285,absolute,18,425,450,437.5,1.4912280701754386,1.5789473684210527,1.5350877192982457
285,absolute,19,450,475,462.5,1.5789473684210527,1.6666666666666667,1.6228070175438596
285,absolute,20,475,500,487.5,1.6666666666666667,1.7543859649122806,1.7105263157894737
285,normalized,1,0,57,28.5,0,0.20000000000000001,0.10000000000000001
285,normalized,2,57,114,85.5,0.20000000000000001,0.40000000000000002,0.29999999999999999
285,normalized,3,114,171,142.5,0.40000000000000002,0.59999999999999998,0.5
285,normalized,4,171,228,199.5,0.59999999999999998,0.80000000000000004,0.69999999999999996
285,normalized,5,228,285,256.5,0.80000000000000004,1,0.90000000000000002
500,absolute,1,0,25,12.5,0,0.050000000000000003,0.025000000000000001
500,absolute,2,25,50,37.5,0.050000000000000003,0.10000000000000001,0.074999999999999997
500,absolute,3,50,75,62.5,0.10000000000000001,0.14999999999999999,0.125
500,absolute,4,75,100,87.5,0.14999999999999999,0.20000000000000001,0.17499999999999999
500,absolute,5,100,125,112.5,0.20000000000000001,0.25,0.22500000000000001
500,absolute,6,125,150,137.5,0.25,0.29999999999999999,0.27500000000000002
500,absolute,7,150,175,162.5,0.29999999999999999,0.34999999999999998,0.32500000000000001
500,absolute,8,175,200,187.5,0.34999999999999998,0.40000000000000002,0.375
500,absolute,9,200,225,212.5,0.40000000000000002,0.45000000000000001,0.42499999999999999
500,absolute,10,225,250,237.5,0.45000000000000001,0.5,0.47499999999999998
500,absolute,11,250,275,262.5,0.5,0.55000000000000004,0.52500000000000002
500,absolute,12,275,300,287.5,0.55000000000000004,0.59999999999999998,0.57499999999999996
500,absolute,13,300,325,312.5,0.59999999999999998,0.65000000000000002,0.625
500,absolute,14,325,350,337.5,0.65000000000000002,0.69999999999999996,0.67500000000000004
500,absolute,15,350,375,362.5,0.69999999999999996,0.75,0.72499999999999998
500,absolute,16,375,400,387.5,0.75,0.80000000000000004,0.77500000000000002
500,absolute,17,400,425,412.5,0.80000000000000004,0.84999999999999998,0.82499999999999996
500,absolute,18,425,450,437.5,0.84999999999999998,0.90000000000000002,0.875
500,absolute,19,450,475,462.5,0.90000000000000002,0.94999999999999996,0.92500000000000004
500,absolute,20,475,500,487.5,0.94999999999999996,1,0.97499999999999998
500,normalized,1,0,100,50,0,0.20000000000000001,0.10000000000000001
500,normalized,2,100,200,150,0.20000000000000001,0.40000000000000002,0.29999999999999999
500,normalized,3,200,300,250,0.40000000000000002,0.59999999999999998,0.5
500,normalized,4,300,400,350,0.59999999999999998,0.80000000000000004,0.69999999999999996
500,normalized,5,400,500,450,0.80000000000000004,1,0.90000000000000002
