scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D285_F01_V01,285,1,common_grid,absolute,6,detrended_51,mean,0.033300548813350178,-0.12548005927089723,0.28889411271493404,120,81,39,0.41666666666666669,3,1,12.5,0.043859649122807015,0.28889411271493404,0.26207961411735198,0,True,True,81,9,9,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,62.5,0,75,0.13157894736842105,0,0.26315789473684209,0.18248821501655188,0.14128072956660168,7,7,9
D285_F03_V01,285,3,common_grid,absolute,6,detrended_51,mean,0.045868302587755885,-0.098582417203733272,0.19763862039921917,120,92,28,0.75,5,3,62.5,0.21929824561403508,0.19763862039921917,0.19771854157382443,0,True,True,92,10,10,0.75,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,237.5,0,250,0.17543859649122806,0,0.8771929824561403,0.15571531030145219,0.16053080000754313,8,8,10
D285_F05_V01,285,5,common_grid,absolute,6,detrended_51,mean,0.030263258816438453,-0.15628344842787539,0.22147246137859805,120,79,41,0.41666666666666669,3,1,12.5,0.043859649122807015,0.22147246137859805,0.20524410064008103,0,True,True,79,8,8,0.5,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,137.5,0,150,0.13157894736842105,0,0.52631578947368418,0.15972041163223122,0.14993710557689438,5,6,8
D285_F07_V01,285,7,common_grid,absolute,6,detrended_51,mean,0.03606530159255196,-0.097326602244109092,0.25936704730940241,120,85,35,0.41666666666666669,3,1,12.5,0.043859649122807015,0.25936704730940241,0.24837618934118935,0,True,True,85,9,9,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.13157894736842105,0,0.61403508771929827,0.16686283891944084,0.14643792088271049,8,8,9
D285_F10_V01,285,10,common_grid,absolute,6,detrended_51,mean,0.044218329178100417,-0.13336279456432934,0.33745873733590515,120,91,29,0.58333333333333337,4,1,12.5,0.043859649122807015,0.33745873733590515,0.32796916916377172,0,True,True,91,10,10,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,37.5,12.5,162.5,0,175,0.13157894736842105,0,0.61403508771929827,0.22360062930770763,0.2210417950527164,10,10,10
D500_F01_V01,500,1,common_grid,absolute,6,detrended_51,mean,0.034435291179703537,-0.05377930935045698,0.19273194404204563,120,89,31,0.91666666666666663,6,2,37.5,0.074999999999999997,0.19273194404204563,0.1990962637437016,0,True,True,89,9,9,0.75,0.25,0.91666666666666663,0.16666666666666666,1,87.5,12.5,237.5,0,250,0.17499999999999999,0,0.5,0.14756662209076354,0.14139724202523071,7,8,9
D500_F02_V01,500,2,d500_extension,absolute,6,detrended_51,mean,0.041816864917843762,-0.073414709275841566,0.17640583737624038,120,94,26,0.75,5,8,187.5,0.375,0.17640583737624038,0.14844133659521422,0,True,True,94,10,10,0.75,0.25,0.91666666666666663,0.16666666666666666,1,125,37.5,437.5,25,450,0.25,0.050000000000000003,0.90000000000000002,0.12679709198608186,0.10472388878613077,8,8,10
D500_F03_V01,500,3,common_grid,absolute,6,detrended_51,mean,0.025140814367918637,-0.073644543329888484,0.20987300687381044,120,88,32,0.25,2,1,12.5,0.025000000000000001,0.20987300687381044,0.209714686013733,0,True,True,88,9,9,0.58333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,137.5,12.5,337.5,0,350,0.27500000000000002,0,0.69999999999999996,0.11689055341354292,0.1188105277604055,6,6,9
D500_F05_V01,500,5,common_grid,absolute,6,detrended_51,mean,0.0013085173921391887,-0.11877362997808698,0.13694931255054132,120,61,59,0.25,2,3,62.5,0.125,0.13694931255054132,0.13289985504206189,-38,False,False,61,7,7,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,62.5,12.5,212.5,0,225,0.125,0,0.45000000000000001,0.11552683215072664,0.11854275946730868,0,0,7
D500_F07_V01,500,7,common_grid,absolute,6,detrended_51,mean,0.0054940925313524975,-0.13421094152847268,0.13233173103243945,120,64,56,0.25,2,2,37.5,0.074999999999999997,0.13233173103243945,0.12498639464365131,0,True,True,64,7,7,0.75,0.25,0.91666666666666663,0.16666666666666666,1,112.5,37.5,362.5,25,375,0.22500000000000001,0.050000000000000003,0.75,0.12957288537737885,0.12498639464365131,6,6,7
D500_F09_V01,500,9,d500_extension,absolute,6,detrended_51,mean,0.0052577885079668242,-0.13566606484846022,0.13448293026612276,120,67,53,0.25,2,2,37.5,0.074999999999999997,0.13448293026612276,0.12655780007658074,0,True,True,67,7,7,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,137.5,37.5,412.5,25,425,0.27500000000000002,0.050000000000000003,0.84999999999999998,0.11057925669921327,0.11041030651576655,3,3,7
D500_F10_V01,500,10,common_grid,absolute,6,detrended_51,mean,0.0049456652275886963,-0.091576251503195538,0.1978579632524661,120,66,54,0.25,2,1,12.5,0.025000000000000001,0.1978579632524661,0.17185514061859641,0,True,True,66,7,7,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,87.5,12.5,362.5,0,375,0.17499999999999999,0,0.75,0.11675241850700249,0.11899695802496435,3,3,7
D500_F12_V01,500,12,d500_extension,absolute,6,detrended_51,mean,0.0045485243673389457,-0.087989359121168689,0.11988636194558205,120,63,57,0.58333333333333337,4,10,237.5,0.47499999999999998,0.11988636194558205,0.098271894600009138,-6,False,False,63,7,7,0.58333333333333337,0.083333333333333329,0.91666666666666663,0,1,362.5,12.5,462.5,0,475,0.72499999999999998,0,0.94999999999999996,0.10323694578049453,0.098271894600009138,3,4,7
