scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count,comparison,map_similarity_to_6bin_51
D235_F01_V01,235,1,common_grid,normalized,4,detrended_51,mean,0.16081603567024511,-0.15324895300908328,0.26164399800790883,20,15,5,0.625,3,1,23.5,0.10000000000000001,0.26164399800790883,,,,,15,2,2,0.75,0.625,0.875,0.5,1,23.5,23.5,23.5,0,47,0.10000000000000001,0,0.20000000000000001,0.25836877304430916,,,,,source_bins,0.85420919516971505
D235_F01_V01,235,1,common_grid,normalized,6,detrended_51,mean,0.14594540775435996,-0.24270515986738644,0.24023686146759915,30,24,6,0.91666666666666663,6,1,23.5,0.10000000000000001,0.24023686146759915,,,,,24,3,3,0.91666666666666663,0.58333333333333337,0.91666666666666663,0.5,1,23.5,23.5,70.5,0,94,0.10000000000000001,0,0.40000000000000002,0.22650884621439252,,,,,source_bins,1
D235_F01_V01,235,1,common_grid,normalized,8,detrended_51,mean,0.12048839845506884,-0.26826791711818743,0.23256423755520939,40,31,9,0.9375,8,1,23.5,0.10000000000000001,0.23256423755520939,,,,,31,4,4,0.625,0.4375,0.9375,0.375,1,23.5,23.5,117.5,0,141,0.10000000000000001,0,0.59999999999999998,0.22222501000818079,,,,,source_bins,0.90411818487564066
D235_F03_V01,235,3,common_grid,absolute,4,detrended_51,mean,0.03416939548691466,-0.089299891400511644,0.27341503002529849,80,49,31,0.625,3,1,12.5,0.053191489361702128,0.27341503002529849,,,,,49,5,5,0.625,0.375,0.625,0.25,0.75,37.5,12.5,112.5,0,125,0.15957446808510639,0,0.53191489361702127,0.21560982761245986,,,,,source_bins,0.88070355244579024
D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.025842235415601079,-0.1183184704943256,0.22432628374967811,120,75,45,0.58333333333333337,4,1,12.5,0.053191489361702128,0.22432628374967811,,,,,75,8,8,0.66666666666666674,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.21276595744680851,0,0.63829787234042556,0.21024481468851758,,,,,source_bins,1
D235_F03_V01,235,3,common_grid,absolute,8,detrended_51,mean,0.024166108102654169,-0.11991988289460305,0.2784019913799668,160,100,60,0.6875,6,1,12.5,0.053191489361702128,0.2784019913799668,,,,,100,10,10,0.6875,0.1875,0.9375,0.125,1,50,12.5,137.5,0,150,0.21276595744680851,0,0.63829787234042556,0.18545305395275102,,,,,source_bins,0.8766230807804487
D235_F03_V01,235,3,common_grid,normalized,4,detrended_51,mean,0.10460759830664731,-0.09593710951567902,0.26693211472838768,20,18,2,0.625,3,1,23.5,0.10000000000000001,0.26693211472838768,,,,,18,2,2,0.625,0.625,0.625,0.5,0.75,47,23.5,70.5,0,94,0.20000000000000001,0,0.40000000000000002,0.24841557278425069,,,,,source_bins,0.87290963102956776
D235_F03_V01,235,3,common_grid,normalized,6,detrended_51,mean,0.11039660091784187,-0.071600429312968505,0.27191345815576468,30,25,5,0.75,5,3,117.5,0.5,0.27191345815576468,,,,,25,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,23.5,23.5,117.5,0,141,0.10000000000000001,0,0.59999999999999998,0.23105379667260406,,,,,source_bins,1
D235_F03_V01,235,3,common_grid,normalized,8,detrended_51,mean,0.091287352195818114,-0.089311543478604344,0.26679488156060632,40,35,5,0.6875,6,3,117.5,0.5,0.26679488156060632,,,,,35,4,4,0.6875,0.5625,0.6875,0.5,0.75,47,23.5,117.5,0,141,0.20000000000000001,0,0.59999999999999998,0.23552346951694875,,,,,source_bins,0.85899568136847071
D235_F05_V01,235,5,common_grid,absolute,4,detrended_51,mean,0.032421751881921528,-0.12805185877697928,0.22643374384498183,80,56,24,0.375,2,1,12.5,0.053191489361702128,0.22643374384498183,,,,,56,6,6,0.625,0.375,0.875,0.25,1,25,12.5,112.5,0,125,0.10638297872340426,0,0.53191489361702127,0.19565106104083985,,,,,source_bins,0.84613715169092107
D235_F05_V01,235,5,common_grid,absolute,6,detrended_51,mean,0.024175229032889555,-0.17005689840016766,0.2207322100846392,120,75,45,0.41666666666666669,3,1,12.5,0.053191489361702128,0.2207322100846392,,,,,75,8,8,0.75,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.15957446808510639,0,0.74468085106382975,0.1685246583282374,,,,,source_bins,1
D235_F05_V01,235,5,common_grid,absolute,8,detrended_51,mean,0.023867680152399727,-0.13611787361048111,0.22737849488690248,160,102,58,0.8125,7,5,112.5,0.47872340425531917,0.22737849488690248,,,,,102,11,11,0.6875,0.3125,0.9375,0.25,1,62.5,12.5,112.5,0,125,0.26595744680851063,0,0.53191489361702127,0.16504512532012386,,,,,source_bins,0.88045141348123224
D235_F05_V01,235,5,common_grid,normalized,4,detrended_51,mean,0.10722839880532148,-0.11370387072583268,0.251828699696443,20,17,3,0.375,2,1,23.5,0.10000000000000001,0.251828699696443,,,,,17,2,2,0.5,0.375,0.625,0.25,0.75,47,23.5,70.5,0,94,0.20000000000000001,0,0.40000000000000002,0.23659286071175747,,,,,source_bins,0.78107713350350394
D235_F05_V01,235,5,common_grid,normalized,6,detrended_51,mean,0.096127164211860516,-0.11265911817603706,0.23651587273674751,30,23,7,0.41666666666666669,3,1,23.5,0.10000000000000001,0.23651587273674751,,,,,23,3,3,0.41666666666666669,0.25,0.75,0.16666666666666666,0.83333333333333337,23.5,23.5,70.5,0,94,0.10000000000000001,0,0.40000000000000002,0.21473382855689543,,,,,source_bins,1
D235_F05_V01,235,5,common_grid,normalized,8,detrended_51,mean,0.089135496474088222,-0.15323612987565804,0.22662327787246497,40,31,9,0.4375,4,1,23.5,0.10000000000000001,0.22662327787246497,,,,,31,4,4,0.5625,0.3125,0.8125,0.25,0.875,47,23.5,117.5,0,141,0.20000000000000001,0,0.59999999999999998,0.21341650607757451,,,,,source_bins,0.845233734827467
D235_F07_V01,235,7,common_grid,absolute,4,detrended_51,mean,0.046129330898811487,-0.074665972761048971,0.2658856950957566,80,58,22,0.375,2,1,12.5,0.053191489361702128,0.2658856950957566,,,,,58,6,6,0.375,0.375,0.625,0.25,0.75,75,12.5,112.5,0,125,0.31914893617021278,0,0.53191489361702127,0.19675334049156779,,,,,source_bins,0.84908540106211694
D235_F07_V01,235,7,common_grid,absolute,6,detrended_51,mean,0.040745196909188895,-0.087688706463081273,0.26269586618638679,120,88,32,0.41666666666666669,3,1,12.5,0.053191489361702128,0.26269586618638679,,,,,88,9,9,0.41666666666666669,0.25,0.75,0.16666666666666666,0.83333333333333337,62.5,12.5,112.5,0,125,0.26595744680851063,0,0.53191489361702127,0.18275816164235456,,,,,source_bins,1
D235_F07_V01,235,7,common_grid,absolute,8,detrended_51,mean,0.035284788456830203,-0.12421908672340172,0.27049867003547257,160,112,48,0.4375,4,1,12.5,0.053191489361702128,0.27049867003547257,,,,,112,12,12,0.4375,0.1875,0.6875,0.125,0.75,75,12.5,162.5,0,175,0.31914893617021278,0,0.74468085106382975,0.16466246501511164,,,,,source_bins,0.84362649893083763
D235_F07_V01,235,7,common_grid,normalized,4,detrended_51,mean,0.11297812542060866,-0.06835533532233215,0.22583431370684096,20,18,2,0.375,2,3,117.5,0.5,0.22583431370684096,,,,,18,2,2,0.375,0.375,0.375,0.25,0.5,94,70.5,117.5,47,141,0.40000000000000002,0.20000000000000001,0.59999999999999998,0.22412050141449072,,,,,source_bins,0.87257569467492757
D235_F07_V01,235,7,common_grid,normalized,6,detrended_51,mean,0.098453385175060498,-0.090244209407647213,0.24728966503016733,30,27,3,0.41666666666666669,3,2,70.5,0.29999999999999999,0.24728966503016733,,,,,27,3,3,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.33333333333333331,0.5,70.5,23.5,117.5,0,141,0.29999999999999999,0,0.59999999999999998,0.23298141832119529,,,,,source_bins,1
D235_F07_V01,235,7,common_grid,normalized,8,detrended_51,mean,0.10521276227375187,-0.12228642884708113,0.2312141363325286,40,35,5,0.4375,4,1,23.5,0.10000000000000001,0.2312141363325286,,,,,35,4,4,0.4375,0.4375,0.5625,0.375,0.625,47,23.5,117.5,0,141,0.20000000000000001,0,0.59999999999999998,0.2078124508761594,,,,,source_bins,0.86241531656956838
D235_F10_V01,235,10,common_grid,absolute,4,detrended_51,mean,0.035659798846478255,-0.13420691753478939,0.3140409946415485,80,55,25,0.375,2,1,12.5,0.053191489361702128,0.3140409946415485,,,,,55,6,6,0.625,0.375,0.875,0.25,1,25,12.5,62.5,0,75,0.10638297872340426,0,0.31914893617021278,0.25409661160127117,,,,,source_bins,0.8842039474589416
D235_F10_V01,235,10,common_grid,absolute,6,detrended_51,mean,0.033045372510891194,-0.17733856802775036,0.37670050167512942,120,79,41,0.41666666666666669,3,1,12.5,0.053191489361702128,0.37670050167512942,,,,,79,8,8,0.58333333333333337,0.25,0.75,0.16666666666666666,0.83333333333333337,25,12.5,62.5,0,75,0.10638297872340426,0,0.31914893617021278,0.2451767240866089,,,,,source_bins,1
D235_F10_V01,235,10,common_grid,absolute,8,detrended_51,mean,0.034771486856617573,-0.17142530809419784,0.38478502823386695,160,103,57,0.4375,4,1,12.5,0.053191489361702128,0.38478502823386695,,,,,103,11,11,0.5625,0.1875,0.9375,0.125,1,37.5,12.5,87.5,0,100,0.15957446808510639,0,0.42553191489361702,0.22729847405826603,,,,,source_bins,0.9026453259139382
D235_F10_V01,235,10,common_grid,normalized,4,detrended_51,mean,0.13787555407811347,-0.12146525599563317,0.35873739405864929,20,17,3,0.375,2,1,23.5,0.10000000000000001,0.35873739405864929,,,,,17,2,2,0.5,0.375,0.625,0.25,0.75,23.5,23.5,23.5,0,47,0.10000000000000001,0,0.20000000000000001,0.34757216022711412,,,,,source_bins,0.88927251240693905
D235_F10_V01,235,10,common_grid,normalized,6,detrended_51,mean,0.12265970990015174,-0.15057934033534157,0.41932214328308931,30,24,6,0.41666666666666669,3,1,23.5,0.10000000000000001,0.41932214328308931,,,,,24,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,23.5,23.5,23.5,0,47,0.10000000000000001,0,0.20000000000000001,0.29330660601976871,,,,,source_bins,1
