scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D285_F01_V01,285,1,common_grid,normalized,6,detrended_51,mean,0.056404593177668508,-0.14255502853544971,0.33255621399923613,30,23,7,0.41666666666666669,3,1,28.5,0.10000000000000001,0.33255621399923613,0.2680405217478441,0,True,True,23,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,28.5,28.5,28.5,0,57,0.10000000000000001,0,0.20000000000000001,0.30464084823285825,0.2387004894002499,3,3,3
D285_F03_V01,285,3,common_grid,absolute,6,detrended_51,mean,0.045868302587755885,-0.098582417203733272,0.19763862039921917,120,92,28,0.75,5,3,62.5,0.21929824561403508,0.19763862039921917,0.19771854157382443,0,True,True,92,10,10,0.75,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,237.5,0,250,0.17543859649122806,0,0.8771929824561403,0.15571531030145219,0.16053080000754313,8,8,10
D285_F03_V01,285,3,common_grid,normalized,6,detrended_51,mean,0.08603654840512065,-0.061222113111637923,0.21465190078469654,30,27,3,0.75,5,2,85.5,0.29999999999999999,0.21465190078469654,0.21405289662033369,0,True,True,27,3,3,0.75,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,85.5,28.5,199.5,0,228,0.29999999999999999,0,0.80000000000000004,0.16508829710469619,0.20355578963444237,3,3,3
D285_F05_V01,285,5,common_grid,absolute,6,detrended_51,mean,0.030263258816438453,-0.15628344842787539,0.22147246137859805,120,79,41,0.41666666666666669,3,1,12.5,0.043859649122807015,0.22147246137859805,0.20524410064008103,0,True,True,79,8,8,0.5,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,137.5,0,150,0.13157894736842105,0,0.52631578947368418,0.15972041163223122,0.14993710557689438,5,6,8
D285_F05_V01,285,5,common_grid,normalized,6,detrended_51,mean,0.11029113410231683,-0.18159344104283456,0.22213637374415279,30,23,7,0.41666666666666669,3,1,28.5,0.10000000000000001,0.22213637374415279,0.19135051963700866,0,True,True,23,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,28.5,28.5,85.5,0,114,0.10000000000000001,0,0.40000000000000002,0.20548296592470416,0.17372878917659298,2,3,3
D285_F07_V01,285,7,common_grid,absolute,6,detrended_51,mean,0.03606530159255196,-0.097326602244109092,0.25936704730940241,120,85,35,0.41666666666666669,3,1,12.5,0.043859649122807015,0.25936704730940241,0.24837618934118935,0,True,True,85,9,9,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.13157894736842105,0,0.61403508771929827,0.16686283891944084,0.14643792088271049,8,8,9
D285_F07_V01,285,7,common_grid,normalized,6,detrended_51,mean,0.072544771292068377,-0.12398546251954728,0.2841228989512864,30,23,7,0.41666666666666669,3,1,28.5,0.10000000000000001,0.2841228989512864,0.26330009959006628,0,True,True,23,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,28.5,28.5,199.5,0,228,0.10000000000000001,0,0.80000000000000004,0.23384479504282979,0.20714007403836415,3,3,3
D285_F10_V01,285,10,common_grid,absolute,6,detrended_51,mean,0.044218329178100417,-0.13336279456432934,0.33745873733590515,120,91,29,0.58333333333333337,4,1,12.5,0.043859649122807015,0.33745873733590515,0.32796916916377172,0,True,True,91,10,10,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,37.5,12.5,162.5,0,175,0.13157894736842105,0,0.61403508771929827,0.22360062930770763,0.2210417950527164,10,10,10
D285_F10_V01,285,10,common_grid,normalized,6,detrended_51,mean,0.10002587728088946,-0.13719629438717568,0.38183124176711902,30,27,3,0.58333333333333337,4,1,28.5,0.10000000000000001,0.38183124176711902,0.36396443209711199,0,True,True,27,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,28.5,28.5,28.5,0,57,0.10000000000000001,0,0.20000000000000001,0.3511056380640194,0.35125988952005816,3,3,3
D500_F01_V01,500,1,common_grid,absolute,6,detrended_51,mean,0.034435291179703537,-0.05377930935045698,0.19273194404204563,120,89,31,0.91666666666666663,6,2,37.5,0.074999999999999997,0.19273194404204563,0.1990962637437016,0,True,True,89,9,9,0.75,0.25,0.91666666666666663,0.16666666666666666,1,87.5,12.5,237.5,0,250,0.17499999999999999,0,0.5,0.14756662209076354,0.14139724202523071,7,8,9
D500_F01_V01,500,1,common_grid,normalized,6,detrended_51,mean,0.062167308373210217,-0.039058121650783255,0.19074372685977958,30,23,7,0.91666666666666663,6,1,50,0.10000000000000001,0.19074372685977958,0.19520929978279122,0,True,True,23,3,3,0.75,0.75,0.91666666666666663,0.66666666666666663,1,50,50,150,0,200,0.10000000000000001,0,0.40000000000000002,0.18459485815592702,0.19520929978279122,3,3,3
