scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,control,map_similarity_to_uncontrolled,high_region_jaccard,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,area_ztop,0.9344607264393362,0.41666666666666669,0.033614068208846576,-0.089801004820570587,0.18178791194933053,120,81,39,0.75,5,5,112.5,0.47872340425531917,0.18178791194933053,,,,,81,9,9,0.75,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,112.5,12.5,412.5,0,425,0.47872340425531917,0,1.8085106382978724,0.15589046281358337,,,,
D235_F01_V01,235,1,common_grid,normalized,6,detrended_51,mean,area_ztop,0.89766407119021152,0.20000000000000001,0.099267779789164123,-0.083532020983306435,0.18781078854692612,30,27,3,0.25,2,3,117.5,0.5,0.18781078854692612,,,,,27,3,3,0.91666666666666663,0.25,0.91666666666666663,0.16666666666666666,1,117.5,23.5,211.5,0,235,0.5,0,1,0.1750351469534854,,,,
D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,area_ztop,0.89105493437044248,0.54545454545454541,0.040312879738868858,-0.071135786210910767,0.20810219952281628,120,89,31,0.75,5,5,112.5,0.47872340425531917,0.20810219952281628,,,,,89,9,9,0.58333333333333337,0.083333333333333329,0.91666666666666663,0,1,12.5,12.5,137.5,0,150,0.053191489361702128,0,0.63829787234042556,0.17676765086830487,,,,
D235_F03_V01,235,3,common_grid,normalized,6,detrended_51,mean,area_ztop,0.86251390433815356,0.5,0.10493398633786016,-0.037521325016164328,0.26007787870721655,30,29,1,0.75,5,3,117.5,0.5,0.26007787870721655,,,,,29,3,3,0.75,0.58333333333333337,0.91666666666666663,0.5,1,117.5,23.5,164.5,0,188,0.5,0,0.80000000000000004,0.17397969100067784,,,,
D235_F05_V01,235,5,common_grid,absolute,6,detrended_51,mean,area_ztop,0.93185637891520234,0.5,0.040925075846282369,-0.08715437201124307,0.19187505642336777,120,92,28,0.75,5,1,12.5,0.053191489361702128,0.19187505642336777,,,,,92,10,10,0.75,0.25,0.91666666666666663,0.16666666666666666,1,62.5,12.5,162.5,0,175,0.26595744680851063,0,0.74468085106382975,0.16359474892900794,,,,
D235_F05_V01,235,5,common_grid,normalized,6,detrended_51,mean,area_ztop,0.92880978865406016,0.20000000000000001,0.12232987094092779,-0.037592942283813963,0.20062325573774697,30,25,5,0.75,5,4,164.5,0.69999999999999996,0.20062325573774697,,,,,25,3,3,0.75,0.25,0.75,0.16666666666666666,0.83333333333333337,70.5,70.5,164.5,47,188,0.29999999999999999,0.20000000000000001,0.80000000000000004,0.19608435427093943,,,,
D235_F07_V01,235,7,common_grid,absolute,6,detrended_51,mean,area_ztop,0.93944718383221071,0.72727272727272729,0.055212095034184387,-0.070577517906708395,0.22779040197247319,120,95,25,0.41666666666666669,3,1,12.5,0.053191489361702128,0.22779040197247319,,,,,95,10,10,0.41666666666666669,0.25,0.75,0.16666666666666666,0.83333333333333337,75,12.5,212.5,0,225,0.31914893617021278,0,0.95744680851063835,0.15925761011450429,,,,
D235_F07_V01,235,7,common_grid,normalized,6,detrended_51,mean,area_ztop,0.94215795328142393,1,0.10219108061909296,-0.0019870022828857026,0.23527191107136769,30,29,1,0.41666666666666669,3,2,70.5,0.29999999999999999,0.23527191107136769,,,,,29,3,3,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.33333333333333331,0.5,70.5,23.5,117.5,0,141,0.29999999999999999,0,0.59999999999999998,0.19522972251406839,,,,
D235_F10_V01,235,10,common_grid,absolute,6,detrended_51,mean,area_ztop,0.92291825821237605,0.54545454545454541,0.047473428588787288,-0.12674962231252448,0.29441358285280161,120,87,33,0.41666666666666669,3,1,12.5,0.053191489361702128,0.29441358285280161,,,,,87,9,9,0.58333333333333337,0.25,0.75,0.16666666666666666,0.83333333333333337,37.5,12.5,137.5,0,150,0.15957446808510639,0,0.63829787234042556,0.18190044760165516,,,,
D235_F10_V01,235,10,common_grid,normalized,6,detrended_51,mean,area_ztop,0.91991101223581762,1,0.12127419285643896,-0.099660490677342964,0.33501905808623583,30,28,2,0.41666666666666669,3,1,23.5,0.10000000000000001,0.33501905808623583,,,,,28,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,23.5,23.5,23.5,0,47,0.10000000000000001,0,0.20000000000000001,0.22634160274185858,,,,
D285_F01_V01,285,1,common_grid,absolute,6,detrended_51,mean,area_ztop,0.95012153621779305,0.72727272727272729,0.050012185218227118,-0.11545853342766237,0.23799806417246047,120,91,29,0.41666666666666669,3,1,12.5,0.043859649122807015,0.23799806417246047,,,,,91,10,10,0.5,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,87.5,0,100,0.13157894736842105,0,0.35087719298245612,0.17962219492140941,,,,
D285_F01_V01,285,1,common_grid,normalized,6,detrended_51,mean,area_ztop,0.96084538375973327,0.5,0.085842134904473427,-0.1007188244803332,0.27900338831221766,30,25,5,0.41666666666666669,3,1,28.5,0.10000000000000001,0.27900338831221766,,,,,25,3,3,0.58333333333333337,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,28.5,28.5,85.5,0,114,0.10000000000000001,0,0.40000000000000002,0.25808977201460925,,,,
D285_F03_V01,285,3,common_grid,absolute,6,detrended_51,mean,area_ztop,0.92541843183554429,0.66666666666666663,0.056242772766999599,-0.098918059480965978,0.19779940964737058,120,97,23,0.75,5,3,62.5,0.21929824561403508,0.19779940964737058,,,,,97,10,10,0.75,0.25,0.91666666666666663,0.16666666666666666,1,100,12.5,237.5,0,250,0.35087719298245612,0,0.8771929824561403,0.14955903804806825,,,,
D285_F03_V01,285,3,common_grid,normalized,6,detrended_51,mean,area_ztop,0.83537263626251435,0.5,0.099897938136143533,-0.062594720765106165,0.21341546746212386,30,28,2,0.75,5,2,85.5,0.29999999999999999,0.21341546746212386,,,,,28,3,3,0.75,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,85.5,85.5,199.5,57,228,0.29999999999999999,0.20000000000000001,0.80000000000000004,0.16908474250435229,,,,
D285_F05_V01,285,5,common_grid,absolute,6,detrended_51,mean,area_ztop,0.95842766858809658,0.88888888888888884,0.037929981328734208,-0.12280752314518625,0.17758127165779514,120,88,32,0.41666666666666669,3,6,137.5,0.48245614035087719,0.17758127165779514,,,,,88,9,9,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,237.5,0,250,0.13157894736842105,0,0.8771929824561403,0.1505488610381942,,,,
