diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,control
128,absolute,6,detrended_51,mean,2,10,0.16666666666666666,0.33333333333333331,0.25,225,250,237.5,1.7578125,1.953125,1.85546875,0.11048122199989191,0.058669701804812728,0.15890868363406349,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.07219444175263708}, {""flow_mm_s"": 3.0, ""rho"": 0.05866970180481273}, {""flow_mm_s"": 5.0, ""rho"": 0.11048122199989191}, {""flow_mm_s"": 7.0, ""rho"": 0.1589086836340635}, {""flow_mm_s"": 10.0, ""rho"": 0.13834982769631038}]",area_ztop
128,absolute,6,detrended_51,mean,2,11,0.16666666666666666,0.33333333333333331,0.25,250,275,262.5,1.953125,2.1484375,2.05078125,0.12630357874410741,0.0062867962768315168,0.17231224540477791,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.1723122454047779}, {""flow_mm_s"": 3.0, ""rho"": 0.006286796276831517}, {""flow_mm_s"": 5.0, ""rho"": 0.12630357874410741}, {""flow_mm_s"": 7.0, ""rho"": 0.057266971819462276}, {""flow_mm_s"": 10.0, ""rho"": 0.14273313417379105}]",area_ztop
128,absolute,6,detrended_51,mean,2,12,0.16666666666666666,0.33333333333333331,0.25,275,300,287.5,2.1484375,2.34375,2.24609375,0.10934837238170714,0.072697851387297369,0.13305394167238629,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.13226952142853124}, {""flow_mm_s"": 3.0, ""rho"": 0.10190715434279968}, {""flow_mm_s"": 5.0, ""rho"": 0.1330539416723863}, {""flow_mm_s"": 7.0, ""rho"": 0.07269785138729737}, {""flow_mm_s"": 10.0, ""rho"": 0.10934837238170714}]",area_ztop
128,absolute,6,detrended_51,mean,2,13,0.16666666666666666,0.33333333333333331,0.25,300,325,312.5,2.34375,2.5390625,2.44140625,0.023225183990547123,0.0018121899273323505,0.15692917423277775,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.019172565834077074}, {""flow_mm_s"": 3.0, ""rho"": 0.023225183990547123}, {""flow_mm_s"": 5.0, ""rho"": 0.0018121899273323505}, {""flow_mm_s"": 7.0, ""rho"": 0.15692917423277775}, {""flow_mm_s"": 10.0, ""rho"": 0.07720387651114513}]",area_ztop
128,absolute,6,detrended_51,mean,2,14,0.16666666666666666,0.33333333333333331,0.25,325,350,337.5,2.5390625,2.734375,2.63671875,0.015752736276406921,0.0057904960289861251,0.066498104694835664,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.01575273627640692}, {""flow_mm_s"": 3.0, ""rho"": 0.005790496028986125}, {""flow_mm_s"": 5.0, ""rho"": 0.007390330981736255}, {""flow_mm_s"": 7.0, ""rho"": 0.06649810469483566}, {""flow_mm_s"": 10.0, ""rho"": 0.02701344191264922}]",area_ztop
128,absolute,6,detrended_51,mean,2,15,0.16666666666666666,0.33333333333333331,0.25,350,375,362.5,2.734375,2.9296875,2.83203125,0.037809175648405483,-0.0037403094144122448,0.14020709905191073,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.003740309414412245}, {""flow_mm_s"": 3.0, ""rho"": -0.001831859610176403}, {""flow_mm_s"": 5.0, ""rho"": 0.03780917564840548}, {""flow_mm_s"": 7.0, ""rho"": 0.14020709905191073}, {""flow_mm_s"": 10.0, ""rho"": 0.07238821995657561}]",area_ztop
128,absolute,6,detrended_51,mean,2,16,0.16666666666666666,0.33333333333333331,0.25,375,400,387.5,2.9296875,3.125,3.02734375,0.067174305816285917,-0.04590271330242969,0.13272299629470291,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.06717430581628592}, {""flow_mm_s"": 3.0, ""rho"": 0.11015812498431904}, {""flow_mm_s"": 5.0, ""rho"": 0.04345803418008452}, {""flow_mm_s"": 7.0, ""rho"": 0.1327229962947029}, {""flow_mm_s"": 10.0, ""rho"": -0.04590271330242969}]",area_ztop
128,absolute,6,detrended_51,mean,2,17,0.16666666666666666,0.33333333333333331,0.25,400,425,412.5,3.125,3.3203125,3.22265625,0.046179565771626227,-0.0083668540707336377,0.054137542136711958,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.05413754213671196}, {""flow_mm_s"": 3.0, ""rho"": -0.008366854070733638}, {""flow_mm_s"": 5.0, ""rho"": 0.04429861103273144}, {""flow_mm_s"": 7.0, ""rho"": 0.04617956577162623}, {""flow_mm_s"": 10.0, ""rho"": 0.04893428413924333}]",area_ztop
128,absolute,6,detrended_51,mean,2,18,0.16666666666666666,0.33333333333333331,0.25,425,450,437.5,3.3203125,3.515625,3.41796875,0.096779522062913251,0.068128434056533585,0.13911413604761944,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.12347184116266999}, {""flow_mm_s"": 3.0, ""rho"": 0.09677952206291325}, {""flow_mm_s"": 5.0, ""rho"": 0.06812843405653358}, {""flow_mm_s"": 7.0, ""rho"": 0.06903952620649609}, {""flow_mm_s"": 10.0, ""rho"": 0.13911413604761944}]",area_ztop
128,absolute,6,detrended_51,mean,2,19,0.16666666666666666,0.33333333333333331,0.25,450,475,462.5,3.515625,3.7109375,3.61328125,0.0026729936478221139,-0.018163001695119869,0.060565820827645916,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": 0.002672993647822114}, {""flow_mm_s"": 3.0, ""rho"": -0.010805609033706212}, {""flow_mm_s"": 5.0, ""rho"": 0.060565820827645916}, {""flow_mm_s"": 7.0, ""rho"": 0.05069351666720153}, {""flow_mm_s"": 10.0, ""rho"": -0.01816300169511987}]",area_ztop
