source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,high_region_target_count
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.28461755993321264,491,0.28461755993321264,0,491,1,True,True,0.0074284822431849532,0.27718907769002771,11
2,6,0.16666666666666666,0.33333333333333331,0.25,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.27214389587821936,491,0.27214389587821936,0,491,1,True,True,0.0041700447470204302,0.26797385113119893,11
2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.2695486927031675,491,0.2695486927031675,0,491,1,True,True,-0.0094593478248796662,0.27900804052804717,11
5,1,0.66666666666666663,0.83333333333333337,0.75,0,25,12.5,0,0.1953125,0.09765625,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.26803552863965457,491,0.26803552863965457,0,491,1,True,True,-0.0061232628847950332,0.27415879152444961,11
3,6,0.33333333333333331,0.5,0.41666666666666669,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.26738071798884594,491,0.26738071798884594,0,491,1,True,True,-0.00029120063621249255,0.26767191862505846,11
6,1,0.83333333333333337,1,0.91666666666666663,0,25,12.5,0,0.1953125,0.09765625,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.26708717805230653,491,0.26708717805230653,0,491,1,True,True,-0.0040288263867408625,0.27111600443904738,11
3,3,0.33333333333333331,0.5,0.41666666666666669,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.24771584590880974,491,0.24771584590880974,0,491,1,True,True,-0.017286963373253465,0.26500280928206321,11
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F05_V01,128,5,common_grid,normalized,6,detrended_51,mean,0.36894302446763749,491,0.36894302446763749,0,491,1,True,True,0.023168975476769212,0.34577404899086828,3
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F05_V01,128,5,common_grid,normalized,6,detrended_51,mean,0.31599371097695861,491,0.31599371097695861,0,491,1,True,True,0.0081754631545990011,0.30781824782235961,3
2,4,0.16666666666666666,0.33333333333333331,0.25,76.800000000000011,102.40000000000001,89.600000000000009,0.60000000000000009,0.80000000000000004,0.70000000000000007,D128_F05_V01,128,5,common_grid,normalized,6,detrended_51,mean,0.28813203127122589,491,0.28813203127122589,0,491,1,True,True,-0.0076625308488408525,0.29579456212006672,3
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.34621805280270024,493,0.34621805280270024,0,493,1,True,True,0.017110540381821485,0.32910751242087877,12
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.3324659325669983,493,0.3324659325669983,0,493,1,True,True,-0.013790504541122149,0.34625643710812043,12
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.1953125,0.09765625,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.31585483110007201,493,0.31585483110007201,0,493,1,True,True,-0.01006271697760892,0.32591754807768092,12
2,5,0.16666666666666666,0.33333333333333331,0.25,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.25520509363345256,493,0.25520509363345256,0,493,1,True,True,0.0025558705050892027,0.25264922312836335,12
3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.24804227417413527,493,0.24804227417413527,0,493,1,True,True,0.0022358225704166481,0.24580645160371861,12
3,4,0.33333333333333331,0.5,0.41666666666666669,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.24264161324838435,493,0.24264161324838435,0,493,1,True,True,0.013530629443906633,0.22911098380447772,12
3,3,0.33333333333333331,0.5,0.41666666666666669,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.23223331622160129,493,0.23223331622160129,0,493,1,True,True,-0.0071503875613324322,0.23938370378293372,12
2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.23003170698975883,493,0.23003170698975883,0,493,1,True,True,0.0032829988351168009,0.22674870815464204,12
3,6,0.33333333333333331,0.5,0.41666666666666669,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.2262944099101081,493,0.2262944099101081,0,493,1,True,True,0.0044819768339507959,0.22181243307615731,12
6,1,0.83333333333333337,1,0.91666666666666663,0,25,12.5,0,0.1953125,0.09765625,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.22046722927756204,493,0.22046722927756204,0,493,1,True,True,-0.009140788090051484,0.22960801736761352,12
5,5,0.66666666666666663,0.83333333333333337,0.75,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.21265941238823624,493,0.21265941238823624,0,493,1,True,True,-0.0047883404304550972,0.21744775281869133,12
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.21241472876829651,493,0.21241472876829651,0,493,1,True,True,-0.00047797698308339916,0.21289270575137992,12
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F07_V01,128,7,common_grid,normalized,6,detrended_51,mean,0.34504311443453484,493,0.34504311443453484,0,493,1,True,True,0.016733337479532966,0.32830977695500185,3
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F07_V01,128,7,common_grid,normalized,6,detrended_51,mean,0.33068247142264828,493,0.33068247142264828,0,493,1,True,True,-0.0131058949306351,0.34378836635328336,3
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F07_V01,128,7,common_grid,normalized,6,detrended_51,mean,0.31530709861767359,493,0.31530709861767359,0,493,1,True,True,-0.0118967372078084,0.32720383582548196,3
3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.29296788240460619,484,0.29296788240460619,0,484,1,True,True,-0.0089651132201685763,0.30193299562477477,11
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.28850314554606765,484,0.28850314554606765,0,484,1,True,True,0.0053721084039976812,0.28313103714207,11
4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.26495873632286865,484,0.26495873632286865,0,484,1,True,True,-0.023895868644038601,0.28885460496690724,11
