diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,zero_lag_specificity,specificity_min,specificity_max,number_positive_specificity,number_peak_within_pm2,number_peak_within_pm5,high_region_target_count
235,absolute,6,detrended_51,mean,4,3,0.5,0.66666666666666663,0.58333333333333337,50,75,62.5,0.21276595744680851,0.31914893617021278,0.26595744680851063,0.16726828521814258,0.11384397692265169,0.20220968601157122,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.17317724820301172}, {""flow_mm_s"": 3.0, ""rho"": 0.16726828521814258}, {""flow_mm_s"": 5.0, ""rho"": 0.12036059003801743}, {""flow_mm_s"": 7.0, ""rho"": 0.11384397692265169}, {""flow_mm_s"": 10.0, ""rho"": 0.20220968601157122}]",0.12844876792040347,0.079723342518950677,0.18377846325090566,5,3,5,8
235,absolute,6,detrended_51,mean,5,4,0.66666666666666663,0.83333333333333337,0.75,75,100,87.5,0.31914893617021278,0.42553191489361702,0.37234042553191488,0.16135635653954802,0.11004236915186635,0.19372691104549764,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.19372691104549764}, {""flow_mm_s"": 3.0, ""rho"": 0.13408968535610608}, {""flow_mm_s"": 5.0, ""rho"": 0.18065073176989396}, {""flow_mm_s"": 7.0, ""rho"": 0.11004236915186635}, {""flow_mm_s"": 10.0, ""rho"": 0.16135635653954802}]",0.1379851156109981,0.10483067075043706,0.20901263335958331,5,3,4,8
235,absolute,6,detrended_51,mean,5,5,0.66666666666666663,0.83333333333333337,0.75,100,125,112.5,0.42553191489361702,0.53191489361702127,0.47872340425531917,0.16008615881425967,0.14428280921732814,0.22847445636360858,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.22847445636360858}, {""flow_mm_s"": 3.0, ""rho"": 0.2237987383512896}, {""flow_mm_s"": 5.0, ""rho"": 0.1483492527409584}, {""flow_mm_s"": 7.0, ""rho"": 0.16008615881425967}, {""flow_mm_s"": 10.0, ""rho"": 0.14428280921732814}]",0.17061710175121425,0.13442164205407492,0.24791983698838449,5,4,5,8
235,normalized,6,detrended_51,mean,3,1,0.33333333333333331,0.5,0.41666666666666669,0,47,23.5,0,0.20000000000000001,0.10000000000000001,0.23298141832119529,0.19620447083393724,0.41932214328308931,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.21131808400883392}, {""flow_mm_s"": 3.0, ""rho"": 0.19620447083393724}, {""flow_mm_s"": 5.0, ""rho"": 0.2365158727367475}, {""flow_mm_s"": 7.0, ""rho"": 0.2329814183211953}, {""flow_mm_s"": 10.0, ""rho"": 0.4193221432830893}]",0.2276255165322647,0.19519542925913161,0.34796051441471021,5,5,5,3
235,normalized,6,detrended_51,mean,4,1,0.5,0.66666666666666663,0.58333333333333337,0,47,23.5,0,0.20000000000000001,0.10000000000000001,0.22286647703367513,0.18475135454881639,0.29330660601976871,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.22286647703367513}, {""flow_mm_s"": 3.0, ""rho"": 0.23105379667260406}, {""flow_mm_s"": 5.0, ""rho"": 0.1847513545488164}, {""flow_mm_s"": 7.0, ""rho"": 0.21156129977105054}, {""flow_mm_s"": 10.0, ""rho"": 0.2933066060197687}]",0.20461791024121542,0.17457864312921648,0.25274621611693587,5,2,3,3
235,normalized,6,detrended_51,mean,5,3,0.66666666666666663,0.83333333333333337,0.75,94,141,117.5,0.40000000000000002,0.59999999999999998,0.5,0.20770965807867298,0.16463002004233376,0.27191345815576468,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.2156926112203336}, {""flow_mm_s"": 3.0, ""rho"": 0.2719134581557647}, {""flow_mm_s"": 5.0, ""rho"": 0.16463002004233376}, {""flow_mm_s"": 7.0, ""rho"": 0.17010853983209295}, {""flow_mm_s"": 10.0, ""rho"": 0.20770965807867298}]",0.17923110272733425,0.15179152444887231,0.29304769633692501,5,4,5,3
285,absolute,6,detrended_51,mean,3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.08771929824561403,0.043859649122807015,0.25936704730940241,0.10958194311881703,0.28889411271493404,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.28889411271493404}, {""flow_mm_s"": 3.0, ""rho"": 0.10958194311881703}, {""flow_mm_s"": 5.0, ""rho"": 0.22147246137859805}, {""flow_mm_s"": 7.0, ""rho"": 0.2593670473094024}, {""flow_mm_s"": 10.0, ""rho"": 0.26059674860062176}]",0.24653124617652028,0.13117898872018033,0.26207961411735198,5,4,4,10
285,absolute,6,detrended_51,mean,4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.08771929824561403,0.043859649122807015,0.21955653416274434,0.07570927637587474,0.33745873733590515,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.2437819480605488}, {""flow_mm_s"": 3.0, ""rho"": 0.07570927637587474}, {""flow_mm_s"": 5.0, ""rho"": 0.20027471836433178}, {""flow_mm_s"": 7.0, ""rho"": 0.21955653416274434}, {""flow_mm_s"": 10.0, ""rho"": 0.33745873733590515}]",0.20456288140538317,0.092203790440534228,0.32796916916377172,5,3,5,10
285,absolute,6,detrended_51,mean,4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.08771929824561403,0.17543859649122806,0.13157894736842105,0.16449000826663199,0.093984706721716105,0.23860980445762553,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.22302614916246483}, {""flow_mm_s"": 3.0, ""rho"": 0.164490008266632}, {""flow_mm_s"": 5.0, ""rho"": 0.1419500973280428}, {""flow_mm_s"": 7.0, ""rho"": 0.0939847067217161}, {""flow_mm_s"": 10.0, ""rho"": 0.23860980445762553}]",0.14685460817145676,0.063638384680993323,0.24566381708807644,5,5,5,10
285,absolute,6,detrended_51,mean,2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.08771929824561403,0.043859649122807015,0.16387729068221693,0.026082163780157572,0.17955562056275703,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.17602618812995957}, {""flow_mm_s"": 3.0, ""rho"": 0.026082163780157572}, {""flow_mm_s"": 5.0, ""rho"": 0.16387729068221693}, {""flow_mm_s"": 7.0, ""rho"": 0.17955562056275703}, {""flow_mm_s"": 10.0, ""rho"": 0.07536807143995697}]",0.14128072956660168,0.021245623227245405,0.19175429641991704,5,5,5,10
