scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count,comparison,map_similarity_to_6bin_51
D128_F10_V01,128,10,common_grid,normalized,6,detrended_101,mean,0.15352398216481269,-0.011098207825025852,0.31246929492609565,30,29,1,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.31246929492609565,,,,,29,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.29241471704435601,,,,,detrend_window,0.95461624026696357
D128_F10_V01,128,10,common_grid,normalized,6,detrended_31,mean,0.1650283050254639,0.0026817916008592124,0.3102178888926867,30,30,0,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.3102178888926867,,,,,30,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.30974436031102048,,,,,detrend_window,0.93770856507230271
D128_F10_V01,128,10,common_grid,normalized,6,raw,mean,0.16077737917516249,0.011277602231516075,0.32564163760936493,30,30,0,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.32564163760936493,,,,,30,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.2962668886469873,,,,,detrend_window,0.95906562847608456
D235_F01_V01,235,1,common_grid,absolute,6,detrended_101,mean,0.058830589976349039,-0.29498086291290104,0.37218116859804812,120,81,39,0.75,5,5,112.5,0.47872340425531917,0.37218116859804812,,,,,81,9,9,0.75,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,62.5,12.5,112.5,0,125,0.26595744680851063,0,0.53191489361702127,0.30228895761906677,,,,,detrend_window,0.96608792277241495
D235_F01_V01,235,1,common_grid,absolute,6,detrended_31,mean,0.029194896592267258,-0.15342731909861712,0.17293351796270615,120,73,47,0.41666666666666669,3,6,137.5,0.58510638297872342,0.17293351796270615,,,,,73,8,8,0.75,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,125,12.5,212.5,0,225,0.53191489361702127,0,0.95744680851063835,0.13562270938113641,,,,,detrend_window,0.9329814570456284
D235_F01_V01,235,1,common_grid,absolute,6,raw,mean,0.048058618598483475,-0.31946831885920984,0.33526351303738788,120,81,39,0.75,5,5,112.5,0.47872340425531917,0.33526351303738788,,,,,81,9,9,0.75,0.58333333333333337,0.91666666666666663,0.5,1,62.5,12.5,112.5,0,125,0.26595744680851063,0,0.53191489361702127,0.29255808689598917,,,,,detrend_window,0.96174039863879446
D235_F01_V01,235,1,common_grid,normalized,6,detrended_101,mean,0.21600138934397881,-0.30320052857963253,0.36176848896805741,30,25,5,0.75,5,3,117.5,0.5,0.36176848896805741,,,,,25,3,3,0.75,0.75,0.91666666666666663,0.66666666666666663,1,70.5,70.5,117.5,47,141,0.29999999999999999,0.20000000000000001,0.59999999999999998,0.34024030717037845,,,,,detrend_window,0.96440489432703025
D235_F01_V01,235,1,common_grid,normalized,6,detrended_31,mean,0.078254516222214854,-0.16651898417701438,0.15506822899262276,30,24,6,0.91666666666666663,6,5,211.5,0.90000000000000002,0.15506822899262276,,,,,24,3,3,0.91666666666666663,0.75,0.91666666666666663,0.66666666666666663,1,211.5,23.5,211.5,0,235,0.90000000000000002,0,1,0.15138859815229944,,,,,detrend_window,0.92436040044493895
D235_F01_V01,235,1,common_grid,normalized,6,raw,mean,0.18896011323768372,-0.3619308487808211,0.33542179595863403,30,24,6,0.75,5,2,70.5,0.29999999999999999,0.33542179595863403,,,,,24,3,3,0.75,0.75,0.75,0.66666666666666663,0.83333333333333337,70.5,23.5,117.5,0,141,0.29999999999999999,0,0.59999999999999998,0.33056614037372928,,,,,detrend_window,0.93503893214683009
D235_F03_V01,235,3,common_grid,absolute,6,detrended_101,mean,0.030743359330280044,-0.12872534215091314,0.29999711727563322,120,74,46,0.75,5,5,112.5,0.47872340425531917,0.29999711727563322,,,,,74,8,8,0.66666666666666674,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.21276595744680851,0,0.63829787234042556,0.25975535701816077,,,,,detrend_window,0.93145357316480326
