file_name,relative_path_from_RAW_ROOT,extension,size_bytes,sha256,last_modified_time,inferred_asset_type,oct_header_status,NumberOfFrames,Rows,Columns,pixel_spacing,dicom_header_status
7.oct,235/7.oct,.oct,1536021062,58e51eb1999f3b8acc17aeddf7b5771d69655376158cbd8fa5243a5465ceed33,2026-09-07T05:22:51.027275+00:00,raw_oct,readable,,,,,
7.oct-Flow_ed.dcm,235/7.oct-Flow_ed.dcm,.dcm,175505836,a57a149c4c41390ddac05aeb129ee0507f9bb046a77a7587a10e236e0062af63,2026-09-07T08:38:25.512942+00:00,localization_flow_dicom,,500,351,500,,readable
1.oct,285/1.oct,.oct,1536021062,580b26e6bc676217c8092868dbcc352392b472a5f31f20725f579d7e875c3639,2026-09-07T05:43:09.160399+00:00,raw_oct,readable,,,,,
1.oct-Flow_ed.dcm,285/1.oct-Flow_ed.dcm,.dcm,175505836,7e3c5f19404f4d412b41501312711688c8bdd9fb52a63088114901ce4f09e63e,2026-09-07T08:37:25.554044+00:00,localization_flow_dicom,,500,351,500,,readable
10.oct,285/10.oct,.oct,1536021062,2cef8ab88761e783190f0531e3084f46076beaba3ae6e80329ed0294dc03d385,2026-09-07T05:44:19.833620+00:00,raw_oct,readable,,,,,
10.oct-Flow_ed.dcm,285/10.oct-Flow_ed.dcm,.dcm,175505836,f1de38788f7a8a7f453f6505e429ef5eb6bdaa16eadba455a0d8a94c66147721,2026-09-07T08:37:34.985246+00:00,localization_flow_dicom,,500,351,500,,readable
3.oct,285/3.oct,.oct,1536021062,f977eb755cb8d237417d66a87e33f95ee6168df7a0d35fd1c469b94f276c2433,2026-09-07T05:43:18.307728+00:00,raw_oct,readable,,,,,
3.oct-Flow_ed(1).dcm,285/3.oct-Flow_ed(1).dcm,.dcm,175505836,849bff76b6c4583cb569daf0bf6f0ba988058bdd6cf785373e81c15a0de65f07,2026-04-23T12:14:34.727656+00:00,localization_flow_dicom,,500,351,500,,readable
5.oct,285/5.oct,.oct,1536021062,4457befa1309470b5f0b8547e46f98f4712381a9f481871fb9a2dd3d8d379e07,2026-09-07T05:43:50.794340+00:00,raw_oct,readable,,,,,
5.oct-Flow_ed(1).dcm,285/5.oct-Flow_ed(1).dcm,.dcm,175505836,8736cdadc29f01133f98ff821084e2820a48a982beaeaca1bb339e031cc4e809,2026-04-23T12:14:36.451068+00:00,localization_flow_dicom,,500,351,500,,readable
7.oct,285/7.oct,.oct,1536021062,d996d4ae5db91bec2ecebaa186a95de39caa19efc02e4bd4a659874b213aa78e,2026-09-07T05:44:11.062459+00:00,raw_oct,readable,,,,,
7.oct-Flow_ed.dcm,285/7.oct-Flow_ed.dcm,.dcm,175505836,f21ec916c5351202a8ccbd48975884013658849a2ab529790c1a1032e310f26f,2026-09-07T08:37:33.883927+00:00,localization_flow_dicom,,500,351,500,,readable
