panel,scan_id,flow_speed_mm_s,frame_index,alpha,noise_multiplier,z_peak_px,seed_z_upper_px,z_upper_px,upper_component_width_px,peak_snr,z_candidate_accepted,tracking_class,qc_valid,qc_flags
5x3,flow10,10,499,0.2,4.0,195.0,,194.0,0,3.8386794936270903,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x1,flow10,10,0,0.25,4.0,220.0,214.0,213.0,21,4.9337748976829765,True,high_confidence,True,
5x2,flow10,10,249,0.25,4.0,200.0,197.0,194.0,19,4.720767944297356,True,high_confidence,True,
5x3,flow10,10,499,0.25,4.0,195.0,,194.0,0,3.8386794936270903,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x1,flow10,10,0,0.15,5.0,220.0,,189.0,0,4.9337748976829765,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x2,flow10,10,249,0.15,5.0,200.0,,187.0,0,4.720767944297356,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x3,flow10,10,499,0.15,5.0,195.0,,190.0,0,3.8386794936270903,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x1,flow10,10,0,0.2,5.0,220.0,,190.0,0,4.9337748976829765,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x2,flow10,10,249,0.2,5.0,200.0,,186.0,0,4.720767944297356,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x3,flow10,10,499,0.2,5.0,195.0,,190.0,0,3.8386794936270903,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x1,flow10,10,0,0.25,5.0,220.0,,209.0,0,4.9337748976829765,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x2,flow10,10,249,0.25,5.0,200.0,,187.0,0,4.720767944297356,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x3,flow10,10,499,0.25,5.0,195.0,,190.0,0,3.8386794936270903,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
