scan_id,frame_id,variant,q_vessel,q_tail,ratio_tail_to_vessel,q_tail_direct_check,source_area_um2,tail_area_um2,requested_tail_area_um2,source_mean,tail_window_complete,source_window_complete,source_qc_valid,background_complete,background_excluded_side,valid,invalid_reason,tail_gap_um,requested_tail_length_um,lateral_width_um,x_left_edge_px,x_right_edge_px,z_top_edge_px,diameter_um,dx_um,dz_um,z_bottom_edge_px
flow03,flow03_Bscan249,x_minus_1px,2020030874770.9392,1704543956293.9912,0.8438207443177211,1704543956293.9915,16598.2005078125,82549.99999999999,82550.0,121701799.77161644,True,True,True,True,,True,ok,0.0,500.0,165.1,236.0800684548155,249.0800684548155,188.5,128.0,12.7,6.7,207.6044776119403
flow03,flow03_Bscan249,x_plus_1px,2208943578514.664,1762120747168.3293,0.7977210302280392,1762120747168.3296,16598.2005078125,82549.99999999999,82550.0,133083316.92191274,True,True,True,True,,True,ok,0.0,500.0,165.1,238.0800684548155,251.0800684548155,188.5,128.0,12.7,6.7,207.6044776119403
flow03,flow03_Bscan249,z_minus_1px,1955798249178.8875,1979620712587.373,1.0121804298671844,1979620712587.3733,16598.2005078125,82549.99999999999,82550.0,117831944.9905624,True,True,True,True,,True,ok,0.0,500.0,165.1,237.0800684548155,250.0800684548155,187.5,128.0,12.7,6.7,206.6044776119403
flow03,flow03_Bscan249,z_plus_1px,2314757208997.99,1625283527880.9307,0.7021399572979327,1625283527880.931,16598.2005078125,82549.99999999999,82550.0,139458323.0819794,True,True,True,True,,True,ok,0.0,500.0,165.1,237.0800684548155,250.0800684548155,189.5,128.0,12.7,6.7,208.6044776119403
flow03,flow03_Bscan249,background_skip_plus_2px,2222206692705.1914,1822561739955.3542,0.8201585144794378,1822561739955.3547,16598.2005078125,82549.99999999999,82550.0,133882386.32611018,True,True,True,True,,True,ok,0.0,500.0,165.1,237.0800684548155,250.0800684548155,188.5,128.0,12.7,6.7,207.6044776119403
flow03,flow03_Bscan499,x_minus_1px,2118141135123.101,1389483844897.378,0.6559920969650705,1389483844897.378,17875.2152734375,88899.99999999999,88899.99999999999,118495979.08175407,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,237.10703861307277,251.10703861307277,195.5,128.0,12.7,6.7,214.6044776119403
flow03,flow03_Bscan499,x_plus_1px,2067237294682.199,1283605698827.7603,0.6209280870317754,1283605698827.76,17875.2152734375,88899.99999999999,88899.99999999999,115648246.08037618,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,239.10703861307277,253.10703861307277,195.5,128.0,12.7,6.7,214.6044776119403
flow03,flow03_Bscan499,z_minus_1px,2023429112778.8184,1354915689586.6658,0.6696136183026107,1354915689586.666,17875.2152734375,88899.99999999999,88899.99999999999,113197468.21654372,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,238.10703861307277,252.10703861307277,194.5,128.0,12.7,6.7,213.6044776119403
flow03,flow03_Bscan499,z_plus_1px,2164198863377.655,1272070294843.6453,0.587778838797804,1272070294843.6453,17875.2152734375,88899.99999999999,88899.99999999999,121072604.17689323,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,238.10703861307277,252.10703861307277,196.5,128.0,12.7,6.7,215.6044776119403
flow03,flow03_Bscan499,background_skip_plus_2px,2149718181795.9507,1409455176492.3179,0.655646488189819,1409455176492.3174,17875.2152734375,88899.99999999999,88899.99999999999,120262505.87261029,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,238.10703861307277,252.10703861307277,195.5,128.0,12.7,6.7,214.6044776119403
flow05,flow05_Bscan000,x_minus_1px,2792090008910.1895,865235660447.3148,0.3098881689652384,865235660447.3147,17879.53625,88899.99999999999,88899.99999999999,156161209.65722415,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,225.30743484044365,239.30743484044365,210.5,128.0,12.7,6.7,229.6044776119403
flow05,flow05_Bscan000,x_plus_1px,2867754767052.0376,1208105216536.2893,0.4212721500514438,1208105216536.2896,17879.53625,88899.99999999999,88899.99999999999,160393129.15915465,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,227.30743484044365,241.30743484044365,210.5,128.0,12.7,6.7,229.6044776119403
flow05,flow05_Bscan000,z_minus_1px,2774677476116.34,1036617533625.2656,0.37359928948433974,1036617533625.2655,17879.53625,88899.99999999999,88899.99999999999,155187329.0962085,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,226.30743484044365,240.30743484044365,209.5,128.0,12.7,6.7,228.6044776119403
flow05,flow05_Bscan000,z_plus_1px,2947515900444.463,865338891336.0912,0.2935824336708768,865338891336.0913,17879.53625,88899.99999999999,88899.99999999999,164854158.36467585,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,226.30743484044365,240.30743484044365,211.5,128.0,12.7,6.7,230.6044776119403
flow05,flow05_Bscan000,background_skip_plus_2px,2915017855669.9478,819449630380.1367,0.2811130740713098,819449630380.1366,17879.53625,88899.99999999999,88899.99999999999,163036547.19623658,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,226.30743484044365,240.30743484044365,210.5,128.0,12.7,6.7,229.6044776119403
flow05,flow05_Bscan249,x_minus_1px,2168724215770.0823,1383224449691.471,0.6378056000081634,1383224449691.4705,21706.9243359375,107949.99999999999,107949.99999999999,99909327.6507898,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,230.8842750001511,247.8842750001511,195.5,128.0,12.7,6.7,214.6044776119403
flow05,flow05_Bscan249,x_plus_1px,2220048924030.2847,1307790754629.514,0.5890819524172224,1307790754629.514,21706.9243359375,107949.99999999999,107949.99999999999,102273767.10181005,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,232.8842750001511,249.8842750001511,195.5,128.0,12.7,6.7,214.6044776119403
flow05,flow05_Bscan249,z_minus_1px,2137794000963.4324,1527955936892.376,0.714734879134181,1527955936892.376,21706.9243359375,107949.99999999999,107949.99999999999,98484426.8068023,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,231.8842750001511,248.8842750001511,194.5,128.0,12.7,6.7,213.6044776119403
flow05,flow05_Bscan249,z_plus_1px,2270600755785.8506,1395544582582.5422,0.6146146912998569,1395544582582.5422,21706.9243359375,107949.99999999999,107949.99999999999,104602601.48540227,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,231.8842750001511,248.8842750001511,196.5,128.0,12.7,6.7,215.6044776119403
flow05,flow05_Bscan249,background_skip_plus_2px,2189922120806.4727,1363244244554.7747,0.6225080935995746,1363244244554.7747,21706.9243359375,107949.99999999999,107949.99999999999,100885878.02284299,True,True,True,True,,True,ok,0.0,500.0,215.89999999999998,231.8842750001511,248.8842750001511,195.5,128.0,12.7,6.7,214.6044776119403
