pair,left_algorithm,right_algorithm,scan_id,diameter_um,flow_mm_s,metric,n_left_native,n_right_native,n_common,n_left_only,n_right_only,left_native_median,right_native_median,left_common_median,right_common_median,frame_support_sha256
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F07_V01,128,7,raw_AUC_200,495,500,495,0,5,6080152885.590909,759880.8689109096,6080152885.590909,760082.2208783985,068a91939ea8bf3daff0f39eaaed6fb88b7a6f01fb2c00354fc3aee907e7f9cd
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F07_V01,128,7,vessel_core_P95,494,500,494,0,6,259468653.51495877,13488.694776241136,259468653.51495877,13485.320721544156,7c37a15279357350fbdc9bb23b36b0932e84a9d70814dd95377548a72bffbdf8
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F07_V01,128,7,normalized_AUC_um,494,500,494,0,6,23.807715115622432,55.44125355945329,23.807715115622432,55.44125355945329,7c37a15279357350fbdc9bb23b36b0932e84a9d70814dd95377548a72bffbdf8
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F10_V01,128,10,raw_AUC_200,500,500,500,0,0,5723795197.017642,759220.7089170888,5723795197.017642,759220.7089170888,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F10_V01,128,10,vessel_core_P95,500,500,500,0,0,450901830.93028146,17961.4634796769,450901830.93028146,17961.4634796769,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F10_V01,128,10,normalized_AUC_um,500,500,500,0,0,12.749459080251354,42.61594691547,12.749459080251354,42.61594691547,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F01_V01,235,1,raw_AUC_200,500,500,500,0,0,1656171786.9803572,438950.89107471483,1656171786.9803572,438950.89107471483,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F01_V01,235,1,vessel_core_P95,500,500,500,0,0,447089226.5138801,20567.881188530428,447089226.5138801,20567.881188530428,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F01_V01,235,1,normalized_AUC_um,500,500,500,0,0,3.6814654082227642,21.694280896219574,3.6814654082227642,21.694280896219574,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F03_V01,235,3,raw_AUC_200,500,500,500,0,0,1651697304.1294405,442101.28457302053,1651697304.1294405,442101.28457302053,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F03_V01,235,3,vessel_core_P95,500,500,500,0,0,457030939.5860659,21036.247827472893,457030939.5860659,21036.247827472893,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F03_V01,235,3,normalized_AUC_um,500,500,500,0,0,3.6084042957891924,21.42343799825708,3.6084042957891924,21.42343799825708,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F05_V01,235,5,raw_AUC_200,500,500,500,0,0,1675636514.3535805,434875.09375927143,1675636514.3535805,434875.09375927143,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F05_V01,235,5,vessel_core_P95,500,500,500,0,0,481266174.9123955,21313.059145832623,481266174.9123955,21313.059145832623,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F05_V01,235,5,normalized_AUC_um,500,500,500,0,0,3.358982033218644,20.585198743293375,3.358982033218644,20.585198743293375,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F07_V01,235,7,raw_AUC_200,500,500,500,0,0,1631062292.0144114,441035.7192060107,1631062292.0144114,441035.7192060107,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F07_V01,235,7,vessel_core_P95,500,500,500,0,0,498846391.7177758,21187.563742238242,498846391.7177758,21187.563742238242,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F07_V01,235,7,normalized_AUC_um,500,500,500,0,0,3.3304806039140082,20.757380253012947,3.3304806039140082,20.757380253012947,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F10_V01,235,10,raw_AUC_200,500,500,500,0,0,1642792358.866777,430848.5502806134,1642792358.866777,430848.5502806134,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F10_V01,235,10,vessel_core_P95,500,500,500,0,0,493660986.70574594,21824.446539002034,493660986.70574594,21824.446539002034,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D235_F10_V01,235,10,normalized_AUC_um,500,500,500,0,0,3.3069223012717988,19.74819949022104,3.3069223012717988,19.74819949022104,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F01_V01,285,1,raw_AUC_200,500,500,500,0,0,1320713566.8110375,432782.537705828,1320713566.8110375,432782.537705828,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F01_V01,285,1,vessel_core_P95,500,500,500,0,0,514161498.6434149,22955.229033864896,514161498.6434149,22955.229033864896,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F01_V01,285,1,normalized_AUC_um,500,500,500,0,0,2.5694674334550065,18.68628119326021,2.5694674334550065,18.68628119326021,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F03_V01,285,3,raw_AUC_200,500,500,500,0,0,1395195471.716782,424336.9579001737,1395195471.716782,424336.9579001737,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F03_V01,285,3,vessel_core_P95,500,500,500,0,0,499015929.0610413,23089.74615585751,499015929.0610413,23089.74615585751,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F03_V01,285,3,normalized_AUC_um,500,500,500,0,0,2.73358220919786,18.09382415778287,2.73358220919786,18.09382415778287,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F05_V01,285,5,raw_AUC_200,500,500,500,0,0,1373135549.8529155,422893.6348709355,1373135549.8529155,422893.6348709355,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F05_V01,285,5,vessel_core_P95,500,500,500,0,0,516226380.18895674,23022.139495914686,516226380.18895674,23022.139495914686,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F05_V01,285,5,normalized_AUC_um,500,500,500,0,0,2.581298185012725,18.28909267194607,2.581298185012725,18.28909267194607,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F07_V01,285,7,raw_AUC_200,500,500,500,0,0,1364722434.361315,415324.1063340706,1364722434.361315,415324.1063340706,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F07_V01,285,7,vessel_core_P95,500,500,500,0,0,533019755.5802419,22872.247352362723,533019755.5802419,22872.247352362723,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D285_F07_V01,285,7,normalized_AUC_um,500,500,500,0,0,2.5295604911263094,18.032501586732984,2.5295604911263094,18.032501586732984,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
